ACCE_ABSORB_COST	Kombinations omkostninger: %d
AURA_ITEM_NEED_REGISTER	[Aura] Genstande skal blive indsat.
AURA_LEVEL_STEP	Lvl%d (Stadie %d)
AURA_MAX_LEVEL	[Aura] Aura Outfitet har nået det maksimale level.
AURA_NOTICE_DEL_ABSORDITEM	[Aura] Det overførte genstand vil blive ødelagt.
AURA_OPEN_OTHER_WINDOW	Du kan ikke gøre dette mens vinduet til forbedring, udvikling eller overførelse af stats er åbent.
AURA_POSSIBLE_AURAITEM	[Aura] Kun Aura Outfit kan blive brugt.
AURA_POSSIBLE_REGISTER_AURAITEM	[Aura] Aura Outfit skal blive indsat først.
AURA_TITLE_ABSORB	Overfør værdierne over på Aura Outfit
AURA_TITLE_EVOLUTION	Udvikl Aura Outfit
AURA_TITLE_GROWTH	Forbedre Aura Outfit
AURA_TOOLTIP_EXP	EXP (%d%% / 100%%)
AURA_TOOLTIP_LEVEL	Lvl%d (Stadie %d) (Absorberings sats %.1f%%)
AURA_TOOLTIP_NEED_YANG	%s Yang
AURA_TOOLTIP_NEXT	Ny
AURA_TOOLTIP_NOW	Nuværende
AURA_TOOLTIP_RESOURCE	Forbrugsartikler
AURA_TOOLTIP_RESOURCE_ITEM	%s * %d
AUTO_HUNTING_MSG_CANNOT_CHANGE_NON_WEAPON	Du kan ikke udstyre det mens Auto-Jagt er aktivt.
AUTO_HUNTING_MSG_CANNOT_START_WITHOUT_WEAPON	Du kan ikke aktivere Auto-Jagt mens denne genstand er udstyret.
AUTO_HUNTING_OPTION_BOSS	Boss
AUTO_HUNTING_OPTION_KING	Level 5
AUTO_HUNTING_OPTION_KNIGHT	Level 3
AUTO_HUNTING_OPTION_PAWN	Level 1
AUTO_HUNTING_OPTION_STONE	Metin-Sten
AUTO_HUNTING_OPTION_S_KNIGHT	Level 4
AUTO_HUNTING_OPTION_S_PAWN	Level 2
AUTO_TOOLTIP_CLEAR	Nulstil
AUTO_TOOLTIP_LINE1	Færdigheder: Vælg færdigheder til kamp og træk dem over i bjælken. (Premium)
AUTO_TOOLTIP_LINE2	Tip: Du kan skifte aktiverings intervallet (i sekunderr) under hver færdighed.
AUTO_TOOLTIP_LINE3	Eliksirer: Vælg eliksirer til kamp og træk dem over i bjælken. (Premium)
AUTO_TOOLTIP_LINE4	Tip: HP og MP eliksirer vil blive aktiveret så snart niveauet falder under den % værdi under hver eliksir.
AUTO_TOOLTIP_LINE5	Bemærk: automatisk brug af færdigheder, eliksirer og genopstandelse kan blive aktiveret i Item Shoppen.
AUTO_TOOLTIP_LINE6	5. Valgte eliksirer og genstande vil automatisk blive indtaget efter buffen udløber, uden at der bliver vist en resterende varighed.
AUTO_TOOLTIP_LINE7	6. Brug af pilen ved siden af Angrib, tillader dig at finde ud af styrken på de monstre du angriber (+/- levels fra dine egne).
AUTO_TOOLTIP_LINE8	7. Brug af pilen ved siden af Fokus, tillader dig at finde ud af, indenfor hvilken rækkevidde monstrene skal angribes.
AUTO_TOOLTIP_TITLE	Auto-Jagt hjælp
BATTLE_MAP_NAME_AREA_1	Zone 1
BATTLE_MAP_NAME_AREA_2	Zone 2
BATTLE_MAP_NAME_AREA_3	Zone 3
BATTLE_MAP_NAME_AREA_4	Zone 4
BATTLE_MAP_NAME_AREA_5	Zone 5
BATTLE_MAP_NAME_AREA_6	Zone 6
BATTLE_MAP_NAME_AREA_7	Zone 7
BATTLE_MAP_NAME_AREA_8	Zone 8
BATTLE_MAP_NAME_AREA_9	Zone 9
BATTLE_POINT	Kamp Point
BATTLE_ROYALE_ALIVE_COUNT	Overlevende: %d
BATTLE_ROYALE_APPLICATION_TITLE	Battle Royale
BATTLE_ROYALE_CANNOT_OPEN_MALL	Du kan ikke åbne den her.
BATTLE_ROYALE_KILL_COUNT	Fjender besejret: %d
BATTLE_ROYALE_MAINBUTTON_APPLICATION	Deltag
BATTLE_ROYALE_MAINBUTTON_CANCEL	Annuller
BATTLE_ROYALE_MAINBUTTON_EXIT	Forlad
BATTLE_ROYALE_MAINBUTTON_STARTABLE	Start
BATTLE_ROYALE_NOTIFY_APPLICATED	Du har registreret dig til Battle Royale. Du kan komme ind, så snart der er nok deltagere.
BATTLE_ROYALE_NOTIFY_ENTRY_CLOSED	Registreringen til Battle Royale er blevet lukket.
BATTLE_ROYALE_NOTIFY_STARTABLE	Du kan nu komme ind til Battle Royale. Klik på event knappen for at deltage.
BATTLE_ROYALE_NOTIFY_WINNER	Du vandt.
BATTLE_ROYALE_PERSONAL_RANK	Personlig Rang: %d
BATTLE_ROYALE_QUESTION_USE_INFINITE_STAMINA	Ønsker du at bruge Uendelig Udholdenhed?
BATTLE_ROYALE_WHO_KILLED	Spilleren der dræbte dig: %s
BATTLE_ROYALE_WINNER_1	Du vandt Battle Royale!
BATTLE_ROYALE_WINNER_2	Du vil snart blive teleporteret til landsbyen.
BEAD	Animasphere
BEAD_TIME_REMAINING_TO_GET	Animasphere opladt om: %d min.
BELT_RENEWAL_BANN_SIGN	Kan ikke fortsætte.
BELT_RENEWAL_INVENTORY_FULL	Der er ikke nok plads i dit inventar.
BNW_COIN	Seer Mønt
BUTTON_TOOLTIP_GUILD_SHOP	Tapperheds Medalje Butikken
BUY_LIMIT_LEVEL	Købs grænse: %s
CANNOT_ATTACK_DEST_IN_SAFE	Afstanden til fjenden er for stor.
CANNOT_ATTACK_SELF_IN_SAFE	Jeg kan ikke angribe fjenden herfra.
CANNOT_DOING_PRIVATE_SHOP_OPEN	Du kan ikke gøre noget andet mens du har åbnet for en privat butik.
CANNOT_EQUIP_IN_EXCHANGE	Du kan ikke skifte din udrustning mens du handler.
CANNOT_EQUIP_IN_SHOP	Du kan ikke skifte din udrustning mens du handler.
CANNOT_FISHING_RIDE_MOUNT	Du kan ikke fiske, mens du er monteret.
CANNOT_FISHING_WHILE_POLY	Du kan ikke fiske, mens du er transformeret.
CANNOT_ILLUSTRATIONPAGE_WARP	Du kan ikke bruge Monster Kort teleporterings funktionen her.
CANNOT_MOVE_DRAGON_SOUL_WHILE_ATTACK	Du kan ikke gøre dette mens du bevæger dig.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	Du kan ikke åbne en privat butik på et offentligt areal.
CANNOT_POLY_STATUS	Du kan ikke transformere dig i øjeblikket.
CANNOT_PVP_MAP_MESSAGE	Du kan ikke gøre dette i denne område.
CANNOT_SHOOT_DEST_IN_SAFE	Afstanden til fjenden er for stor.
CANNOT_SHOOT_EMPTY_ARROW	Jeg har brug for en pil.
CANNOT_SHOOT_SELF_IN_SAFE	Jeg kan ikke angribe fjenden herfra.
CANNOT_SKILL_APPROACH	Jeg er sikker på, at jeg ikke kan komme tættere på.
CANNOT_SKILL_ATTACK	Det kan jeg ikke angribe.
CANNOT_SKILL_BLUE	Du kan ikke bruge Indigo Ulve sjæl når højrød Ulve sjæl er aktiveret.
CANNOT_SKILL_DEST_IN_SAFE	Afstanden til fjenden er for stor.
CANNOT_SKILL_EQUIP_FISHING_ROD	Du kan ikke fiske uden en udstyret fiskestang.
CANNOT_SKILL_HAVE_TO_RIDE	Jeg har brug for en hest for at kunne anvende det.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	Jeg har ingen tom flaske.
CANNOT_SKILL_NEED_POISON_BOTTLE	Jeg har ingen giftflaske.
CANNOT_SKILL_NEED_TARGET	Hvem er målet?
CANNOT_SKILL_NOT_ENOUGH_HP	Jeg har ikke nok HP!
CANNOT_SKILL_NOT_ENOUGH_SP	Jeg har ikke nok MP!
CANNOT_SKILL_NOT_HORSE_SKILL	Jeg kan ikke bruge det, mens jeg ridder.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	Denne færdighed kan jeg ikke bruge med mit våben.
CANNOT_SKILL_NOT_STANDING_HORSE_SKILL	Du kan ikke bruge denne færdighed på denne ganger.
CANNOT_SKILL_NOT_YET_LEARN	Denne færdighed har jeg ikke lært.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	Det virker kun på gruppemedlemmer.
CANNOT_SKILL_ONLY_FOR_CORPSE	Det virker kun på døde.
CANNOT_SKILL_RED	Du kan ikke bruge højrød ulve sjæl når Indigo Ulve sjæl er aktiveret.
CANNOT_SKILL_REMOVE_FISHING_ROD	Denne færdighed kan jeg ikke bruge med en fiskestang.
CANNOT_SKILL_SELF_IN_SAFE	Jeg kan ikke angribe fjenden herfra.
CANNOT_SKILL_USE_SELF	Jeg kan ikke bruge det på mig selv.
CANNOT_SKILL_WAIT_COOLTIME	Denne færdighed er ikke klar.
CANNOT_UNEQUIP_IN_BATTLE	Du skal stå stille for at afudstyre genstanden.
CANNOT_USE	Du kan ikke bruge denne.
CANNOT_USE_SUTRA_TO_GOOD_ALIGNMENT	Du kan ikke bruge Zen Bønnen, da din onde disposition ikke kan blive reduceret yderligere.
CANNOT_WHISPER_BLOCKED_TARGET	Du skal først fjerne %s fra din blokerings liste.	SA
CANNOT_WHISPER_DEST_REFUSE	%s har blokeret hvisken.	SA
CANNOT_WHISPER_NOT_LOGON	%s er ikke online.	SA
CANNOT_WHISPER_SELF_REFUSE	Du kan ikke hviske med nogen, når du selv har blokeret for hvisken.	SNA
CANNOT_WHISPER_TARGET_BLOCKED_ME	%s har blokeret dig.	SA
CANT_ATTACH_DUPLICATED_METIN_STONE	Du kan ikke tilføje flere åndesten af samme type.
CANT_USE_MESSAGE_WHEN_EQUIP	Du kan ikke bruge det på et udstyret genstand.
CATCHKING_EVENT_MESSAGE_CARD_GAIN	Du modtager Kongens Dæk.
CATCHKING_EVENT_MESSAGE_CARD_PEICE_GAIN	Du modtager Kongens Kort.
CATCHKING_EVENT_MESSAGE_NOT_ENOUGHT_ITEM	Du har ikke de tilstrækkelige genstande, eller penge for at spille.
CATCHKING_EVENT_MESSAGE_NO_MORE_GAIN	Du kan ikke modtage flere Konge Dæk.
CATEGORY_ARMOR_ARMOR_BODY	Rustning
CATEGORY_ARMOR_ARMOR_GLOVE	Handsker
CATEGORY_ARMOR_ARMOR_HEAD	Hjelme
CATEGORY_ARMOR_ARMOR_SHIELD	Skjolde
CATEGORY_COSTUMES	Kostumer
CATEGORY_COSTUMES_AURA	Aura Outfits
CATEGORY_COSTUMES_COSTUME_BODY	Kostumer
CATEGORY_COSTUMES_COSTUME_HAIR	Frisurer
CATEGORY_COSTUMES_COSTUME_WEAPON	Våbenskin
CATEGORY_COSTUMES_ETC	Andet
CATEGORY_COSTUMES_SASH	Skulder Bånd
CATEGORY_DRAGON_STONE	Dragesten alkymi
CATEGORY_DRAGON_STONE_DEMON	Ametyst
CATEGORY_DRAGON_STONE_DRAGON_DIAMOND	Diamant
CATEGORY_DRAGON_STONE_DRAGON_GARNET	Granat
CATEGORY_DRAGON_STONE_DRAGON_JADE	Jade
CATEGORY_DRAGON_STONE_DRAGON_ONYX	Onyx
CATEGORY_DRAGON_STONE_DRAGON_RUBY	Rubin
CATEGORY_DRAGON_STONE_DRAGON_SAPPHIRE	Safir
CATEGORY_DRAGON_STONE_ETC	Andet
CATEGORY_EQUIPMENT_ARMOR	Udrustning
CATEGORY_EQUIPMENT_JEWELRY	Smykker
CATEGORY_EQUIPMENT_WEAPON	Våben
CATEGORY_ETC	Andet
CATEGORY_ETC_ALL	Alle
CATEGORY_ETC_ETC	Andet
CATEGORY_ETC_EVENT	Event Genstande
CATEGORY_ETC_GIFTBOX	Kister | Bokse
CATEGORY_ETC_MATRIMORY	Gift
CATEGORY_ETC_PARTI	Krigens Kunst Bøger
CATEGORY_ETC_POLYMORPH	Forvandlingskugler
CATEGORY_ETC_RECIPE	Drik Fremstilling
CATEGORY_ETC_SEAL	Sjælebinding
CATEGORY_FISHING_PICK	Fiske | Mine
CATEGORY_FISHING_PICK_EQUIPMENT_PICK	Hakker
CATEGORY_FISHING_PICK_ETC	Andet
CATEGORY_FISHING_PICK_FISHING_POLE	Fiskestænger
CATEGORY_FISHING_PICK_FOOD	Fisk
CATEGORY_FISHING_PICK_PICK_BOOK	Minedrift Bøger
CATEGORY_FISHING_PICK_STONE	Malm
CATEGORY_JEWELRY_ARMOR_EAR	Øreringe
CATEGORY_JEWELRY_ARMOR_FOOTS	Sko
CATEGORY_JEWELRY_ARMOR_NECK	Halskæder
CATEGORY_JEWELRY_ARMOR_PENDANT	Talisman
CATEGORY_JEWELRY_ARMOR_WRIST	Armbånd
CATEGORY_JEWELRY_ITEM_BELT	Belter
CATEGORY_MOUNT_PET	Ganger | Kæledyr
CATEGORY_MOUNT_PET_CHARGED_PET	Kæledyr
CATEGORY_MOUNT_PET_EGG	Kæledyrs Æg
CATEGORY_MOUNT_PET_FREE_PET	Udviklings Kæledyr
CATEGORY_MOUNT_PET_MOUNT	Gangere
CATEGORY_POTION	Drikke
CATEGORY_POTION_ABILITY	Forbrugsgenstande
CATEGORY_POTION_ETC	Andet
CATEGORY_POTION_HAIRDYE	Hårfarve
CATEGORY_SKILL	Færdigheder
CATEGORY_SKILL_BOOK_OF_OBLIVION	Glemsomhedens Bøger
CATEGORY_SKILL_ETC	Andet
CATEGORY_SKILL_HORSE_SKILL_BOOK	Hestefærdigheds Bog
CATEGORY_SKILL_PAHAE	Beskyttelse | Boost
CATEGORY_SKILL_SKILL_BOOK	Færdighedsbøger
CATEGORY_SORT_LOWEST_ALL_PRICE	Laveste samlede pris
CATEGORY_SORT_LOWEST_COUNT	Mængde (lav til høj)
CATEGORY_SORT_LOWEST_PER_PRICE	Laveste enheds pris
CATEGORY_SORT_MAXIMUN_ALL_PRICE	Højeste samlede pris
CATEGORY_SORT_MAXIMUN_COUNT	Mængde (høj til lav)
CATEGORY_SORT_MAXIMUN_PER_PRICE	Højeste enheds pris
CATEGORY_SORT_RECENT	Nyeste
CATEGORY_TUNING	Opgraderinger
CATEGORY_TUNING_ALCHEMY	Øg Chancerne
CATEGORY_TUNING_ETC	Andet
CATEGORY_TUNING_RESOURCE	Materialer
CATEGORY_TUNING_STONE	Åndesten
CATEGORY_UNIQUE	Specielle Genstande
CATEGORY_UNIQUE_ABILITY	Forbrugsgenstande
CATEGORY_UNIQUE_ETC	Andet
CATEGORY_WEAPON_WEAPON_ARROW	Pile
CATEGORY_WEAPON_WEAPON_BELL	Klokker
CATEGORY_WEAPON_WEAPON_BOW	Buer
CATEGORY_WEAPON_WEAPON_CLAW	Kløer
CATEGORY_WEAPON_WEAPON_DAGGER	Daggerter
CATEGORY_WEAPON_WEAPON_FAN	Vifter
CATEGORY_WEAPON_WEAPON_MOUNT_SPEAR	Spyd
CATEGORY_WEAPON_WEAPON_QUIVER	Kogger
CATEGORY_WEAPON_WEAPON_SWORD	Et-hånds Våben
CATEGORY_WEAPON_WEAPON_TWO_HANDED	To-hånds Våben
CHANGE_ALREADY_REGISTER	[Transmutation] Denne genstand er allerede tilføjet.
CHANGE_LOOK_CHANGE_ITEM	Ønsker du at transmutere denne genstand?
CHANGE_LOOK_CHECK_OUT_REGISTER_ITEM	[Transmutation] Fjern venligst først den genstand som du ønsker at transmutere.
CHANGE_LOOK_COST	Pris på transmutation: %s Yang
CHANGE_LOOK_DEL_ITEM	Den absorberede genstand vil blive slettet.
CHANGE_LOOK_DO_NOT_CHANGE_LOOK_ITEM	[Transmutation] Denne genstand kan ikke transmuteres.
CHANGE_LOOK_DO_NOT_EQUIP_ITEM	[Transmutation] Du kan ikke transmutere en genstand mens den bæres.
CHANGE_LOOK_DO_NOT_REGISTER_ITEM	[Transmutation] Du kan ikke tilføje denne genstand.
CHANGE_LOOK_DO_NOT_SEAL_ITEM	[Transmutation] Denne genstand er sjælebunden.
CHANGE_LOOK_INSERT_CHANGE_LOOK_ITEM	[Transmutation] Tilføj venligst den genstand som du ønsker at transmutere.
CHANGE_LOOK_INSERT_ITEM	[Transmutation] Du skal tilføje genstanden først.
CHANGE_LOOK_NEED_MONEY	Du har enten ikke nok Yang, eller ikke nok genstande.
CHANGE_LOOK_OPEN_OTHER_WINDOW	[Transmutation] Denne handling er ikke mulig mens Transmutation vinduet er åbent.
CHANGE_LOOK_TITLE	Transmutation
CHANGE_LOOK_TITLE2	Ganger Transformation
CHANGE_PET_PLEASE_APPEND_FIRST	Kæledyret skal være valgt først.
CHANGE_TOOLTIP2_LINE1	Tilføj mål genstanden til venstre og materialet til højre.
CHANGE_TOOLTIP2_LINE2	Klik på feltet for at bruge Yang, eller en Transformations Polet og ændre din gangers udseende.
CHANGE_TOOLTIP2_LINE3	Ved at bruge en Transformations Polet, ændre det din gangers udseende uden det koster noget Yang (dette bruger poletten).
CHANGE_TOOLTIP2_LINE4	Hvis man ændre på en gangers udseende med en varighed, så forbliver gangerens varighed uændret.
CHANGE_TOOLTIP2_LINE5	Hvis mål gangeren er permanent og den materiale ganger har en varighed, vil gangeren have den ændrede udseende så længe den materiale ganger varer.
CHANGE_TOOLTIP_LINE1	Placer den genstand du ønsker til transmutere i venstre side.
CHANGE_TOOLTIP_LINE2	Placer den anden genstand i højre side.
CHANGE_TOOLTIP_LINE3	Udseendet på genstanden i venstre side vil ændres.
CHANGE_TOOLTIP_LINE4	så snart du bekræfter transmutationen (V) og betaler med Yang.
CHANGE_TOOLTIP_LINE5	Brug af denne genstand tillader dig
CHANGE_TOOLTIP_LINE6	at transmutere din genstand uden at bruge Yang.
CHANGE_TOOLTIP_TITLE	Transmutation
CHANNEL	Kanal
CHANNELING_CANNOT_LOGOUT	Du kan ikke gå tilbage til startskærmen.
CHANNEL_EMPTY_SERVER	Ingen server
CHANNEL_NORMAL	Kanal %d
CHANNEL_NOTIFY_FULL	Denne kanal er fyldt. Vælg venligst en anden.
CHANNEL_NOT_FIND_INFO	Du får ingen kanal-informationer.
CHANNEL_PVP	Fri duel
CHANNEL_SELECT_CHANNEL	Vælg en kanal
CHANNEL_SELECT_REGION	Vælg området for regningen
CHANNEL_SELECT_SERVER	Vælg server
CHANNEL_STATUS_BUSY	Optaget
CHANNEL_STATUS_FULL	Fyldt
CHANNEL_STATUS_OFFLINE	Ukendt
CHANNEL_STATUS_RECOMMENDED	Anbefalet
CHANNEL_STATUS_VACANT	Lav
CHANNEL_TEST_SERVER	Test server
CHANNEL_TEST_SERVER_ADDR	Test %s:%d
CHARACTER_CREATE_MODE	Opret karakter
CHARACTER_NAME	Navn
CHARACTER_SELECT_MODE	Vælg karakter
CHARGE_BEAD_QUESTION	Animasphere krævet: %d. Ønsker du at fortsætte?
CHATTING_SETTING_ADD	Tilføj fane
CHATTING_SETTING_ADD_MAX	Du kan ikke tilføje flere.
CHATTING_SETTING_CHANGE_TITLE_NAME	Vil du gerne gemme navnet på denne chat?
CHATTING_SETTING_CHANGE_TITLE_NOT	Navnet på den generelle chat kan ikke ændres.
CHATTING_SETTING_CLEAR_QUESTION	Nulstil?
CHATTING_SETTING_DEL	Slet felt
CHATTING_SETTING_LANGUAGE_OFF	Fra
CHATTING_SETTING_LANGUAGE_ON	Til
CHATTING_SETTING_QUESTION_DESC_1	1. Sæt en besked for den EXP man får, for at dræbe monstre, eller tabt EXP.
CHATTING_SETTING_QUESTION_DESC_2	2. Sæt en besked for smidt bytte eller optjent Yang.
CHATTING_SETTING_RETURN	Gendan felt
CHATTING_SETTING_SETTING	Indstillinger
CHAT_ALL	Alle
CHAT_BLOCK	Bloker
CHAT_DICE_INFO	Kast
CHAT_GUILD	Orden
CHAT_INFORMATION	Info
CHAT_INSULT_STRING	Sætningen indeholder spærrede ord.
CHAT_LOG	Vis gamle meddelelser [L]
CHAT_LOG_TITLE	Chat-log
CHAT_MESSAGE_CLIENT_VERSION_NOT_MATCH	Du er blevet logget ud, da din klient version ikke matcher. Opdater venligst din version og log ind igen.
CHAT_NORMAL	Normal
CHAT_NOTICE	Server
CHAT_PARTY	Gruppe
CHAT_SEND_CHAT	Send chat
CHAT_SEND_MEMO	Send hvisken [Shift+Enter]
CHAT_SHOUT	Råbe
CHAT_SHOUT_LIMIT	Du kan kun råbe alle 15 sekunder.
CHAT_WHISPER	Hviske
CHEQUE_SYSTEM_DO_NOT_DROP_MONEY	Du kan ikke smide penge.
CHEQUE_SYSTEM_PICK_WON	Du har modtaget %s Won.
CHEQUE_SYSTEM_SELL_PRICE	[Salgspris]
CHEQUE_SYSTEM_UNIT_WON	Won
CHEQUE_SYSTEM_UNIT_YANG	Yang
CHEQUE_SYSTEM_WON	%s Won
CHEQUE_SYSTEM_YANG	%s Yang
CHEQUE_USE_WON	%s Won er blevet modregnet.
CLEAR_FLOOR	Level
CLEAR_TIME	Tid
CLICK_BEAD_DESCRIPTION	Der kræves Animasphere til at få adgang til Zodiac Templet. Tag hen til Teleporteren i landsbyen for at gøre det.
ClosePetChangeWndButton	Luk
COMB_ACCE_IS_CONTINUE_PROCESS	Ønsker du at fortsætte?
COMB_ACCE_WARNING_MESSAGE	Kilden vil blive ødelagt på fuld eller delvis succes. Overførslen kan mislykkes. Mål genstandendes absorberings sats vil blive reduceret ved en delvis succes eller hvis det mislykkes.
COMB_ACCE_WARNING_MESSAGE1	Kilden vil blive ødelagt på fuld eller delvis succes.
COMB_ACCE_WARNING_MESSAGE2	Overførslen kan mislykkes.
COMB_ACCE_WARNING_MESSAGE3	Mål genstandendes absorberings sats vil blive reduceret ved en delvis succes eller hvis det mislykkes.
COMB_ACCE_WILL_REMOVE_MATERIAL	Kilden vil blive ødelagt på fuld eller delvis succes.
COMB_ALREADY_APPEND	Denne genstand er allerede blevet valgt.
COMB_CANT_APPEND_ITEM	Denne genstand kan ikke bruges.
COMB_CANT_APPEND_SEALED_ITEM	Du kan ikke bruge en sjælebunden genstand.
COMB_CANT_BASE_ITEM	En skærf som allerede har en bonus, kan ikke blive brugt som mål.
COMB_CANT_MATCH_DRAINRATE	Absorberings satsen for begge genstande skal være den samme til en bonus overførsel.
COMB_CANT_MATCH_GRADE	Karakteren for begge genstande skal være den samme til en bonus overførsel.
COMB_CANT_MATERIAL_ITEM	Kilde genstanden skal have en bonus.
COMB_COST	Pris: %s
COMB_IS_CONTINUE_PROCESS	Ønsker du at fortsætte?
COMB_NOTICE	Du kan ikke åbne en privat shop mens du bytter bøger.
COMB_NOTICE_NOT_OPEN	Du kan ikke bytte bøger mens du har en privat shop åben.
COMB_NOT_ALL_SLOT_APPEND_ITEM	Du skal bruge en kilde og mål genstand, plus overførelses genstanden for at overføre bonusser.
COMB_NOT_FULL_BOOK	Nej, vi kan ikke gøre forretning på denne måde. Som jeg allerede fortalte dig, så er jeg kun klar på at bytte hvis du giver mig 10 bøger igen.
COMB_NOT_ITEM_IN_INVENTORY	Du kan ikke aktivere genstande der er i brug.
COMB_NOT_MEDIUM_ITEM	Denne genstand kan ikke bruges.
COMB_WILL_REMOVE_MATERIAL	Kilde genstanden vil blive ødelagt ved succes.
COMMUNITY_ADD_BLOCK	%s er blevet blokeret.
COMMUNITY_ADD_FRIEND	%s er blevet tilføjet til din venne liste.
COMMUNITY_ALREADY_BLOCKED	Blokeret allerede.
COMMUNITY_ALREADY_FRIEND	I er allerede venner.
COMMUNITY_ALREADY_REQUESTED_BEFORE	Du har allerede sendt en ven anmodning.
COMMUNITY_BLOCKED_ALREADY	%s er allerede blokeret.
COMMUNITY_BLOCKED_EXCHANGE	Handel
COMMUNITY_BLOCKED_FRIEND_REQUEST	Ven Anmodning
COMMUNITY_BLOCKED_FUNCTION	Blokerede:
COMMUNITY_BLOCKED_GUILD_INVITE	Ordens Invitation
COMMUNITY_BLOCKED_PARTY_INVITE	Inviter til Gruppen
COMMUNITY_BLOCKED_PARTY_JOIN	Deltag i Gruppen
COMMUNITY_BLOCKED_PARTY_WHISPER	Hvisk
COMMUNITY_CANT_ACTION_TIMER	Prøv venligst igen senere.
COMMUNITY_CANT_ADD_BLOCK_ANYMORE	Du kan ikke blokere flere spillere (maks. %d).
COMMUNITY_CANT_ADD_FRIEND_ANYMORE	Du kan ikke have flere venner (maks. %d).
COMMUNITY_CANT_ADD_FRIEND_SELF	Du kan ikke blive venner med dig selv.
COMMUNITY_CANT_ADD_GM	Du kan ikke tilføje GMs som venner.
COMMUNITY_CANT_BLOCK_FAMILY	Du kan ikke blokere din ægtefælle.
COMMUNITY_CANT_BLOCK_FRIEND	Du skal først fjerne %s som ven.
COMMUNITY_CANT_BLOCK_REQUEST_FRIEND	Du kan ikke blokere nogen som du har sendt en ven anmodning til.
COMMUNITY_CANT_BLOCK_SELF	Du kan ikke blokere dig selv.
COMMUNITY_CANT_REGISTER_NOT_INSURT	Du kan ikke bruge upassende sprog.
