ACCE_ABSORB_COST	Combinatiekosten: %d
AURA_TOOLTIP_LEVEL	Lvl%d (Stap %d) (Absorberingswaarde %.1f%%)
AURA_TOOLTIP_NEED_YANG	%s Yang
AURA_TOOLTIP_NEXT	Nieuw
AURA_TOOLTIP_NOW	Huidig
AURA_TOOLTIP_RESOURCE	Gebruiksvoorwerpen
AURA_TOOLTIP_RESOURCE_ITEM	%s * %d
AUTO_HUNTING_MSG_CANNOT_CHANGE_NON_WEAPON	Je kunt dat niet aandoen zolang Auto-Jacht actief is.
AUTO_HUNTING_MSG_CANNOT_START_WITHOUT_WEAPON	Je kunt Auto-Jacht niet activeren zolang je dit item draagt.
AUTO_HUNTING_OPTION_BOSS	Baas
AUTO_HUNTING_OPTION_KING	Niveau 5
AUTO_HUNTING_OPTION_KNIGHT	Niveau 3
AUTO_HUNTING_OPTION_PAWN	Niveau 1
AUTO_HUNTING_OPTION_STONE	Metin Steen
AUTO_HUNTING_OPTION_S_KNIGHT	Niveau 4
AUTO_HUNTING_OPTION_S_PAWN	Niveau 2
AUTO_TOOLTIP_CLEAR	Reset
AUTO_TOOLTIP_LINE1	Vaardigheden: Kies vaardigheden voor de strijd en sleep ze naar de sloten. (Premium)
AUTO_TOOLTIP_LINE2	Hint: Je kunt de activeringsinterval (in seconden) onder elke vaardigheid aanpassen.
AUTO_TOOLTIP_LINE3	Drankjes: Kies drankjes voor de strijd en sleep ze naar de sloten. (Premium)
AUTO_TOOLTIP_LINE4	Hint: LP- en TP-drankjes worden geactiveerd zodra het niveau zakt onder de %-waarde die onder elk drankje staat aangegeven.
AUTO_TOOLTIP_LINE5	Noot: het automatisch gebruiken van vaardigheden, drankjes en wederopwekking kan geactiveerd worden in de item shop.
AUTO_TOOLTIP_LINE6	5. Drankjes en items die geselecteerd zijn, worden automatisch geconsumeerd nadat de buff verloopt, zonder dat de resterende duur wordt weergegeven.
AUTO_TOOLTIP_LINE7	6. Door de pijl naast Aanval te gebruiken, kun je de kracht van de monsters die je aanvalt bepalen (+/- levels ten opzichte van jouw level).
AUTO_TOOLTIP_LINE8	7. Door de pijl naast Focus te gebruiken, kun je bepalen binnen welk bereik je monsters aanvalt.
AUTO_TOOLTIP_TITLE	Auto-Jacht Hulp
BATTLE_MAP_NAME_AREA_1	Zone 1
BATTLE_MAP_NAME_AREA_2	Zone 2
BATTLE_MAP_NAME_AREA_3	Zone 3
BATTLE_MAP_NAME_AREA_4	Zone 4
BATTLE_MAP_NAME_AREA_5	Zone 5
BATTLE_MAP_NAME_AREA_6	Zone 6
BATTLE_MAP_NAME_AREA_7	Zone 7
BATTLE_MAP_NAME_AREA_8	Zone 8
BATTLE_MAP_NAME_AREA_9	Zone 9
BATTLE_POINT	Strijdpunten
BATTLE_ROYALE_ALIVE_COUNT	Overlevenden: %d
BATTLE_ROYALE_APPLICATION_TITLE	Battle Royale
BATTLE_ROYALE_CANNOT_OPEN_MALL	Je kunt dat hier niet openen.
BATTLE_ROYALE_KILL_COUNT	Tegenstanders verslagen: %d
BATTLE_ROYALE_MAINBUTTON_APPLICATION	Deelnemen
BATTLE_ROYALE_MAINBUTTON_CANCEL	Annuleren
BATTLE_ROYALE_MAINBUTTON_EXIT	Verlaten
BATTLE_ROYALE_MAINBUTTON_STARTABLE	Starten
BATTLE_ROYALE_NOTIFY_APPLICATED	Je hebt je geregistreerd voor Battle Royale. Je kunt naar binnen zodra er genoeg deelnemers samengekomen zijn.
BATTLE_ROYALE_NOTIFY_ENTRY_CLOSED	De registratie voor de Battle Royale is gesloten.
BATTLE_ROYALE_NOTIFY_STARTABLE	Je kunt de Battle Royale nu binnengaan. Klik op de evenementknop om deel te nemen.
BATTLE_ROYALE_NOTIFY_WINNER	Je hebt gewonnen.
BATTLE_ROYALE_PERSONAL_RANK	Persoonlijke Rang: %d
BATTLE_ROYALE_QUESTION_USE_INFINITE_STAMINA	Wil je Oneindige Uithouding inzetten?
BATTLE_ROYALE_WHO_KILLED	Speler die jou heeft gedood: %s
BATTLE_ROYALE_WINNER_1	Je hebt de Battle Royale gewonnen!
BATTLE_ROYALE_WINNER_2	Je wordt spoedig naar het dorp geteleporteerd.
BEAD	Animasphere
BEAD_TIME_REMAINING_TO_GET	Animasphere opgeladen over: %d min.
BELT_RENEWAL_BANN_SIGN	Kan niet doorgaan.
BELT_RENEWAL_INVENTORY_FULL	Er is niet genoeg ruimte in je inventaris.
BNW_COIN	Ziener Munt
BUTTON_TOOLTIP_GUILD_SHOP	Medaille van Heldhaftigheid Shop
BUY_LIMIT_LEVEL	Kooplimiet: %s
CANNOT_ATTACK_DEST_IN_SAFE	De Tegenstander is te ver weg.
CANNOT_ATTACK_SELF_IN_SAFE	Ik kan niet aanvallen.
CANNOT_DOING_PRIVATE_SHOP_OPEN	Je kunt niets anders doen zolang je een privé warenhuis open hebt staan.
CANNOT_EQUIP_IN_EXCHANGE	Je kunt wat je draagt niet veranderen wanneer je aan het handelen bent.
CANNOT_EQUIP_IN_SHOP	Je kunt wat je draagt niet veranderen wanneer je aan het handelen bent.
CANNOT_FISHING_RIDE_MOUNT	Je kunt niet vissen zolang je aan het rijden bent.
CANNOT_FISHING_WHILE_POLY	Je kunt niet vissen zolang je getransformeerd bent.
CANNOT_ILLUSTRATIONPAGE_WARP	Je kunt de Monsterkaart-teleporteerfunctie hier niet gebruiken.
CANNOT_MOVE_DRAGON_SOUL_WHILE_ATTACK	Je kunt dat niet doen zolang je beweegt.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	Je kunt geen privé Warenhuis openen in een openbaar gebied.
CANNOT_POLY_STATUS	Je kan op dit moment niet transformeren.
CANNOT_PVP_MAP_MESSAGE	Je kunt dat niet doen in dit gebied.
CANNOT_SHOOT_DEST_IN_SAFE	De vijand is te ver weg.
CANNOT_SHOOT_EMPTY_ARROW	Ik heb een Pijl nodig.
CANNOT_SHOOT_SELF_IN_SAFE	Ik kan dit niet doen.
CANNOT_SKILL_APPROACH	Ik weet zeker dat ik niet dichterbij kan komen.
CANNOT_SKILL_ATTACK	Ik kan niet aanvallen.
CANNOT_SKILL_BLUE	Je kunt Indigo Wolf Ziel niet gebruiken wanneer Bloedrode Wolf Ziel actief is.
CANNOT_SKILL_DEST_IN_SAFE	De vijand is te ver weg.
CANNOT_SKILL_EQUIP_FISHING_ROD	Je kunt niet vissen als je geen vishengel draagt.
CANNOT_SKILL_HAVE_TO_RIDE	Ik heb eerst een Paard nodig voordat ik dit kan gebruiken.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	Ik heb geen Lege Fles.
CANNOT_SKILL_NEED_POISON_BOTTLE	Ik heb geen Gif Fles.
CANNOT_SKILL_NEED_TARGET	Wie is het doelwit?
CANNOT_SKILL_NOT_ENOUGH_HP	Ik heb niet genoeg LP!
CANNOT_SKILL_NOT_ENOUGH_SP	Ik heb niet genoeg TP!
CANNOT_SKILL_NOT_HORSE_SKILL	Ik kan dit niet gebruiken tijdens het rijden.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	Ik kan deze Vaardigheid niet met dit wapen gebruiken.
CANNOT_SKILL_NOT_STANDING_HORSE_SKILL	Je kunt deze vaardigheid niet gebruiken op dit rijdier.
CANNOT_SKILL_NOT_YET_LEARN	Ik heb deze Vaardigheid nog niet geleerd.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	Dit beïnvloedt alleen groepsleden.
CANNOT_SKILL_ONLY_FOR_CORPSE	Dit beïnvloedt alleen dode mensen.
CANNOT_SKILL_RED	Je kunt Bloedrode Wolf Ziel niet gebruiken wanneer Indigo Wolf Ziel actief is.
CANNOT_SKILL_REMOVE_FISHING_ROD	Ik kan deze Vaardigheid niet met een Hengel gebruiken.
CANNOT_SKILL_SELF_IN_SAFE	Ik kan vanaf hier niet aanvallen.
CANNOT_SKILL_USE_SELF	Ik kan dit niet op mijzelf gebruiken.
CANNOT_SKILL_WAIT_COOLTIME	Ik kan deze Vaardigheid nog niet gebruiken.
CANNOT_UNEQUIP_IN_BATTLE	Je moet stilstaan om het gedragen item uit te doen.
CANNOT_USE	Je kan dit niet gebruiken.
CANNOT_USE_SUTRA_TO_GOOD_ALIGNMENT	Je kunt de Zen Boon niet gebruiken omdat jouw kwaadaardige aard niet verder verlaagd kan worden.
CANNOT_WHISPER_BLOCKED_TARGET	Je moet %s eerst van jouw blokkeerlijst verwijderen.	SA
CANNOT_WHISPER_DEST_REFUSE	%s blokkeert fluisteren compleet.	SA
CANNOT_WHISPER_NOT_LOGON	%s is niet online.	SA
CANNOT_WHISPER_SELF_REFUSE	Je kunt niet naar iemand fluisteren wanneer je het fluisteren geblokkeerd hebt.	SNA
CANNOT_WHISPER_TARGET_BLOCKED_ME	%s heeft jou geblokkeerd.	SA
CANT_ATTACH_DUPLICATED_METIN_STONE	Je kunt niet meerdere geestenstenen van het zelfde type bevestigen.
CANT_USE_MESSAGE_WHEN_EQUIP	Je kunt dat niet gebruiken op een gedragen item.
CATCHKING_EVENT_MESSAGE_CARD_GAIN	Je ontvangt Koningsstok(ken).
CATCHKING_EVENT_MESSAGE_CARD_PEICE_GAIN	Je ontvangt Koningskaarten.
CATCHKING_EVENT_MESSAGE_NOT_ENOUGHT_ITEM	Je hebt niet genoeg items of geld om te spelen.
CATCHKING_EVENT_MESSAGE_NO_MORE_GAIN	Je kunt geen Koningsstokken meer ontvangen.
CATEGORY_ARMOR_ARMOR_BODY	Pantsers
CATEGORY_ARMOR_ARMOR_GLOVE	Handschoenen
CATEGORY_ARMOR_ARMOR_HEAD	Helmen
CATEGORY_ARMOR_ARMOR_SHIELD	Schilden
CATEGORY_COSTUMES	Kostuums
CATEGORY_COSTUMES_AURA	Aura Outfits
CATEGORY_COSTUMES_COSTUME_BODY	Kostuums
CATEGORY_COSTUMES_COSTUME_HAIR	Haardracht
CATEGORY_COSTUMES_COSTUME_WEAPON	Wapen-skins
CATEGORY_COSTUMES_ETC	Overig
CATEGORY_COSTUMES_SASH	Schoudergordels
CATEGORY_DRAGON_STONE	Drakensteen Alchemie
CATEGORY_DRAGON_STONE_DEMON	Amethist
CATEGORY_DRAGON_STONE_DRAGON_DIAMOND	Diamant
CATEGORY_DRAGON_STONE_DRAGON_GARNET	Granaat
CATEGORY_DRAGON_STONE_DRAGON_JADE	Jade
CATEGORY_DRAGON_STONE_DRAGON_ONYX	Onyx
CATEGORY_DRAGON_STONE_DRAGON_RUBY	Robijn
CATEGORY_DRAGON_STONE_DRAGON_SAPPHIRE	Saffier
CATEGORY_DRAGON_STONE_ETC	Overig
CATEGORY_EQUIPMENT_ARMOR	Uitrusting
CATEGORY_EQUIPMENT_JEWELRY	Sieraden
CATEGORY_EQUIPMENT_WEAPON	Wapens
CATEGORY_ETC	Overig
CATEGORY_ETC_ALL	Alle
CATEGORY_ETC_ETC	Overig
CATEGORY_ETC_EVENT	Event Items
CATEGORY_ETC_GIFTBOX	Kisten | Dozen
CATEGORY_ETC_MATRIMORY	Huwelijk
CATEGORY_ETC_PARTI	Kunst van de Oorlog Boeken
CATEGORY_ETC_POLYMORPH	Metamorfose Bollen
CATEGORY_ETC_RECIPE	Drankjes Productie
CATEGORY_ETC_SEAL	Zielbinding
CATEGORY_FISHING_PICK	Visserij | Mijnbouw
CATEGORY_FISHING_PICK_EQUIPMENT_PICK	Pikhouwelen
CATEGORY_FISHING_PICK_ETC	Overig
CATEGORY_FISHING_PICK_FISHING_POLE	Vishengels
CATEGORY_FISHING_PICK_FOOD	Vissen
CATEGORY_FISHING_PICK_PICK_BOOK	Mijnbouw Boeken
CATEGORY_FISHING_PICK_STONE	Ertsen
CATEGORY_JEWELRY_ARMOR_EAR	Oorbellen
CATEGORY_JEWELRY_ARMOR_FOOTS	Schoenen
CATEGORY_JEWELRY_ARMOR_NECK	Kettingen
CATEGORY_JEWELRY_ARMOR_PENDANT	Talisman
CATEGORY_JEWELRY_ARMOR_WRIST	Armbanden
CATEGORY_JEWELRY_ITEM_BELT	Riemen
CATEGORY_MOUNT_PET	Rijdieren | Huisdieren
CATEGORY_MOUNT_PET_CHARGED_PET	Huisdieren
CATEGORY_MOUNT_PET_EGG	Huisdiereieren
CATEGORY_MOUNT_PET_FREE_PET	Evolueerbare Huisdieren
CATEGORY_MOUNT_PET_MOUNT	Rijdieren
CATEGORY_POTION	Drankjes
CATEGORY_POTION_ABILITY	Verbruiksartikelen
CATEGORY_POTION_ETC	Overig
CATEGORY_POTION_HAIRDYE	Haarverf
CATEGORY_SKILL	Vaardigheden
CATEGORY_SKILL_BOOK_OF_OBLIVION	Boeken der Vergetelheid
CATEGORY_SKILL_ETC	Overig
CATEGORY_SKILL_HORSE_SKILL_BOOK	Paardenvaardighedenboek
CATEGORY_SKILL_PAHAE	Bescherming | Boost
CATEGORY_SKILL_SKILL_BOOK	Vaardigheden Boeken
CATEGORY_SORT_LOWEST_ALL_PRICE	Laagste totaalprijs
CATEGORY_SORT_LOWEST_COUNT	Aantal (laag naar hoog)
CATEGORY_SORT_LOWEST_PER_PRICE	Laagste stukprijs
CATEGORY_SORT_MAXIMUN_ALL_PRICE	Hoogste totaalprijs
CATEGORY_SORT_MAXIMUN_COUNT	Aantal (hoog naar laag)
CATEGORY_SORT_MAXIMUN_PER_PRICE	Hoogste stukprijs
CATEGORY_SORT_RECENT	Nieuwste
CATEGORY_TUNING	Verbeteringen
CATEGORY_TUNING_ALCHEMY	Kansen Verhogen
CATEGORY_TUNING_ETC	Overig
CATEGORY_TUNING_RESOURCE	Materialen
CATEGORY_TUNING_STONE	Geestenstenen
CATEGORY_UNIQUE	Speciale Items
CATEGORY_UNIQUE_ABILITY	Verbruiksartikelen
CATEGORY_UNIQUE_ETC	Overig
CATEGORY_WEAPON_WEAPON_ARROW	Pijlen
CATEGORY_WEAPON_WEAPON_BELL	Bellen
CATEGORY_WEAPON_WEAPON_BOW	Bogen
CATEGORY_WEAPON_WEAPON_CLAW	Klauwen
CATEGORY_WEAPON_WEAPON_DAGGER	Dolken
CATEGORY_WEAPON_WEAPON_FAN	Waaiers
CATEGORY_WEAPON_WEAPON_MOUNT_SPEAR	Speren
CATEGORY_WEAPON_WEAPON_QUIVER	Pijlkokers
CATEGORY_WEAPON_WEAPON_SWORD	Eenhandswapens
CATEGORY_WEAPON_WEAPON_TWO_HANDED	Tweehandswapens
CHANGE_ALREADY_REGISTER	[Transmutatie] Dit item is al toegevoegd.
CHANGE_LOOK_CHANGE_ITEM	Wil je dit item transmuteren?
CHANGE_LOOK_CHECK_OUT_REGISTER_ITEM	[Transmutatie] Verwijder eerst het item dat je wil transmuteren a.u.b.
CHANGE_LOOK_COST	Kosten van transmutatie: %s Yang
CHANGE_LOOK_DEL_ITEM	Het geabsorbeerde item zal verwijderd worden.
CHANGE_LOOK_DO_NOT_CHANGE_LOOK_ITEM	[Transmutatie] Dit item kan niet getransmuteerd worden.
CHANGE_LOOK_DO_NOT_EQUIP_ITEM	[Transmutatie] Je kunt geen item transmuteren dat je momenteel draagt.
CHANGE_LOOK_DO_NOT_REGISTER_ITEM	[Transmutatie] Je kunt dit item niet toevoegen.
CHANGE_LOOK_DO_NOT_SEAL_ITEM	[Transmutatie] Het item is zielsgebonden.
CHANGE_LOOK_INSERT_CHANGE_LOOK_ITEM	[Transmutatie] Voeg het item dat je wil transmuteren toe a.u.b.
CHANGE_LOOK_INSERT_ITEM	[Transmutatie] Je moet het item eerst toevoegen.
CHANGE_LOOK_NEED_MONEY	Je hebt of niet genoeg Yang of niet voldoende items.
CHANGE_LOOK_OPEN_OTHER_WINDOW	[Transmutatie] Deze actie is niet mogelijk als het Transmutatie-scherm geopend is.
CHANGE_LOOK_TITLE	Transmutatie
CHANGE_LOOK_TITLE2	Rijdiertransformatie
CHANGE_PET_PLEASE_APPEND_FIRST	Het huisdier moet eerst geselecteerd zijn.
CHANGE_TOOLTIP2_LINE1	Voeg het doelitem toe aan de linkerkant en het materiaal aan de rechterkant.
CHANGE_TOOLTIP2_LINE2	Klik op het vakje om Yang of een Transformatiepenning te gebruiken en verander het uiterlijk van je rijdier.
CHANGE_TOOLTIP2_LINE3	Door gebruik te maken van een Transformatiepenning kun je het uiterlijk van je rijdier aanpassen zonder dat het je Yang kost (dit verbruikt wel de penning).
CHANGE_TOOLTIP2_LINE4	Als je het uiterlijk aanpast van een rijdier met een gebruiksduur, dan blijft de gebruiksduur van dit rijdier ongewijzigd.
CHANGE_TOOLTIP2_LINE5	Als het doelrijdier permanent is en het materialenrijdier een gebruiksduur heeft, dan blijft het rijdier dit uiterlijk houden zolang de gebruiksduur van het materialenrijdier loopt.
CHANGE_TOOLTIP_LINE1	Plaats het item dat je wilt transmuteren links.
CHANGE_TOOLTIP_LINE2	Plaats het andere item rechts.
CHANGE_TOOLTIP_LINE3	Het uiterlijk van het item aan de linkerkant zal veranderen
CHANGE_TOOLTIP_LINE4	zodra je de transmutatie bevestigt (V) en het Yang betaald hebt.
CHANGE_TOOLTIP_LINE5	Met dit item kun je
CHANGE_TOOLTIP_LINE6	jouw item transmuteren zonder Yang te spenderen.
CHANGE_TOOLTIP_TITLE	Transmutatie
CHANNEL	Kanaal
CHANNELING_CANNOT_LOGOUT	Je kunt niet terug gaan naar het login scherm.
CHANNEL_EMPTY_SERVER	Geen server
CHANNEL_NORMAL	Kanaal %d
CHANNEL_NOTIFY_FULL	Dit kanaal is vol! Kies een andere alstublieft.
CHANNEL_NOT_FIND_INFO	Geen informatie gevonden via het kanaal.
CHANNEL_PVP	Vrije duel
CHANNEL_SELECT_CHANNEL	Kies een kanaal
CHANNEL_SELECT_REGION	Kies een regio.
CHANNEL_SELECT_SERVER	Kies een server
CHANNEL_STATUS_BUSY	Druk
CHANNEL_STATUS_FULL	Vol
CHANNEL_STATUS_OFFLINE	Onbekend
CHANNEL_STATUS_RECOMMENDED	Aanbevolen
CHANNEL_STATUS_VACANT	Rustig
CHANNEL_TEST_SERVER	Test Server
CHANNEL_TEST_SERVER_ADDR	Test %s:%d
CHARACTER_CREATE_MODE	Karakter aanmaken
CHARACTER_NAME	Naam
CHARACTER_SELECT_MODE	Karakter selecteren
CHARGE_BEAD_QUESTION	Animaspheres benodigd: %d Wil je doorgaan?
CHATTING_SETTING_ADD	Tab toevoegen
CHATTING_SETTING_ADD_MAX	Je kunt er geen meer toevoegen.
CHATTING_SETTING_CHANGE_TITLE_NAME	Wil je de naam voor deze chat opslaan?
CHATTING_SETTING_CHANGE_TITLE_NOT	De naam van de algemene chat kan niet veranderd worden.
CHATTING_SETTING_CLEAR_QUESTION	Resetten?
CHATTING_SETTING_DEL	Veld verwijderen
CHATTING_SETTING_LANGUAGE_OFF	Uit
CHATTING_SETTING_LANGUAGE_ON	Aan
CHATTING_SETTING_QUESTION_DESC_1	1. Stel een bericht in voor ERV ontvangen voor het doden van monsters of verloren ERV.
CHATTING_SETTING_QUESTION_DESC_2	2. Stel een bericht in voor verloren buit of verdiende Yang.
CHATTING_SETTING_RETURN	Veld herstellen
CHATTING_SETTING_SETTING	Instellingen
CHAT_ALL	Alles
CHAT_BLOCK	Blokkeren
CHAT_DICE_INFO	Werpen
CHAT_GUILD	Gilde
CHAT_INFORMATION	Info
CHAT_INSULT_STRING	Deze zin bevat ongeldige woorden.
CHAT_LOG	Laat oude berichten zien [L]
CHAT_LOG_TITLE	Chat-log
CHAT_MESSAGE_CLIENT_VERSION_NOT_MATCH	Je bent uitgelogd omdat je client-versie niet overeenkomt. Werk alsjeblieft je versie bij en log opnieuw in.
CHAT_NORMAL	Normaal
CHAT_NOTICE	Server
CHAT_PARTY	Groep
CHAT_SEND_CHAT	Stuur Chat
CHAT_SEND_MEMO	Stuur Fluister[Shift+Enter]
CHAT_SHOUT	Roep
CHAT_SHOUT_LIMIT	Je kunt slechts elke 15 seconden roepen.
CHAT_WHISPER	Fluisteren
CHEQUE_SYSTEM_DO_NOT_DROP_MONEY	Je kunt geen geld laten vallen.
CHEQUE_SYSTEM_PICK_WON	Je hebt %s Won ontvangen.
CHEQUE_SYSTEM_SELL_PRICE	[Verkoopsprijs]
CHEQUE_SYSTEM_UNIT_WON	Won
CHEQUE_SYSTEM_UNIT_YANG	Yang
CHEQUE_SYSTEM_WON	%s Won
CHEQUE_SYSTEM_YANG	%s Yang
CHEQUE_USE_WON	%s Won is in mindering gebracht.
CLEAR_FLOOR	Level
CLEAR_TIME	Tijd
CLICK_BEAD_DESCRIPTION	Animaspheres zijn vereist om toegang te kunnen krijgen tot de Zodiac Tempel. Ga naar de Teleporter in het dorp om dit te doen.
ClosePetChangeWndButton	Sluiten
COMB_ACCE_IS_CONTINUE_PROCESS	Wil je doorgaan?
COMB_ACCE_WARNING_MESSAGE	Het bron-item wordt vernietigd bij een volledig of gedeeltelijk succes. De overdracht kan mislukken. De absorberingswaarde van het doel-item zal verminderd worden bij een gedeeltelijk succes of bij mislukking.
COMB_ACCE_WARNING_MESSAGE1	De bron wordt vernietigd bij een volledig of gedeeltelijk succes.
COMB_ACCE_WARNING_MESSAGE2	De overdracht kan mislukken.
COMB_ACCE_WARNING_MESSAGE3	De absorberingswaarde van het doel-item zal verminderd worden bij een gedeeltelijk succes of bij mislukking.
COMB_ACCE_WILL_REMOVE_MATERIAL	De bron wordt vernietigd bij een volledig of gedeeltelijk succes.
COMB_ALREADY_APPEND	Dit item is al geselecteerd.
COMB_CANT_APPEND_ITEM	Dit item kan niet gebruikt worden.
COMB_CANT_APPEND_SEALED_ITEM	Je kunt geen zielsgebonden items gebruiken.
COMB_CANT_BASE_ITEM	Een gordel die al een bonus heeft kan niet als doel gebruikt worden.
COMB_CANT_MATCH_DRAINRATE	De absorberingswaarde van beide items moet identiek zijn voor een bonusoverdracht.
COMB_CANT_MATCH_GRADE	De kwaliteit van beide items moet identiek zijn voor een bonusoverdracht.
COMB_CANT_MATERIAL_ITEM	Het bron-item moet een bonus hebben.
COMB_COST	Prijs: %s
COMB_IS_CONTINUE_PROCESS	Wil je doorgaan?
COMB_NOTICE	Je kunt geen privé warenhuis openen wanneer je boeken aan het verhandelen bent.
COMB_NOTICE_NOT_OPEN	Je kunt geen boeken verhandelen als je een privé warenhuis open hebt staan.
COMB_NOT_ALL_SLOT_APPEND_ITEM	Je hebt een bron- en doel-item nodig plus het item voor de overdracht om bonussen over te kunnen dragen.
COMB_NOT_FULL_BOOK	Nee, zo doen we geen zaken. Zoals ik al zei: ik sta alleen open om te handelen als je 10 boeken in te ruilen hebt.
COMB_NOT_ITEM_IN_INVENTORY	Je kunt geen items gebruiken die je aan hebt.
COMB_NOT_MEDIUM_ITEM	Dit item kan niet gebruikt worden.
COMB_WILL_REMOVE_MATERIAL	Het bron-item wordt vernietigd bij succes.
COMMUNITY_ADD_BLOCK	%s is geblokkeerd.
COMMUNITY_ADD_FRIEND	%s is toegevoegd aan jouw vriendenlijst.
COMMUNITY_ALREADY_BLOCKED	Al geblokkeerd.
COMMUNITY_ALREADY_FRIEND	Je hebt al vrienden.
COMMUNITY_ALREADY_REQUESTED_BEFORE	Je hebt al een vriendschapsverzoek gestuurd.
COMMUNITY_BLOCKED_ALREADY	%s is al geblokkeerd.
COMMUNITY_BLOCKED_EXCHANGE	Handelen
COMMUNITY_BLOCKED_FRIEND_REQUEST	Vriendschapsverzoek
COMMUNITY_BLOCKED_FUNCTION	Geblokkeerd:
COMMUNITY_BLOCKED_GUILD_INVITE	Gilde Uitnodiging
COMMUNITY_BLOCKED_PARTY_INVITE	Uitnodigen bij Groep
