ACCE_ABSORB_COST	Combination costs: %d
CATEGORY_ARMOR_ARMOR_BODY	Armour
CATEGORY_ARMOR_ARMOR_GLOVE	Gloves
CATEGORY_ARMOR_ARMOR_HEAD	Helmets
CATEGORY_ARMOR_ARMOR_SHIELD	Shields
CATEGORY_COSTUMES	Costumes
CATEGORY_COSTUMES_AURA	Aura Outfits
CATEGORY_COSTUMES_COSTUME_BODY	Costumes
CATEGORY_COSTUMES_COSTUME_HAIR	Hairstyles
CATEGORY_COSTUMES_COSTUME_WEAPON	Weapon Skins
CATEGORY_COSTUMES_ETC	Other
CATEGORY_COSTUMES_SASH	Shoulder Sashes
CATEGORY_DRAGON_STONE	Dragon Stone Alchemy
CATEGORY_DRAGON_STONE_DEMON	Amethyst
CATEGORY_DRAGON_STONE_DRAGON_DIAMOND	Diamond
CATEGORY_DRAGON_STONE_DRAGON_GARNET	Garnet
CATEGORY_DRAGON_STONE_DRAGON_JADE	Jade
CATEGORY_DRAGON_STONE_DRAGON_ONYX	Onyx
CATEGORY_DRAGON_STONE_DRAGON_RUBY	Ruby
CATEGORY_DRAGON_STONE_DRAGON_SAPPHIRE	Sapphire
CATEGORY_DRAGON_STONE_ETC	Other
CATEGORY_EQUIPMENT_ARMOR	Equipment
CATEGORY_EQUIPMENT_JEWELRY	Jewellery
CATEGORY_EQUIPMENT_WEAPON	Weapons
CATEGORY_ETC	Other
CATEGORY_ETC_ALL	All
CATEGORY_ETC_ETC	Other
CATEGORY_ETC_EVENT	Event Items
CATEGORY_ETC_GIFTBOX	Chests | Boxes
CATEGORY_ETC_MATRIMORY	Marriage
CATEGORY_ETC_PARTI	Art of War Books
CATEGORY_ETC_POLYMORPH	Polymorph Marbles
CATEGORY_ETC_RECIPE	Potion Production
CATEGORY_ETC_SEAL	Soulbinding
CATEGORY_FISHING_PICK	Fishing | Mining
CATEGORY_FISHING_PICK_EQUIPMENT_PICK	Pickaxes
CATEGORY_FISHING_PICK_ETC	Other
CATEGORY_FISHING_PICK_FISHING_POLE	Fishing Rods
CATEGORY_FISHING_PICK_FOOD	Fish
CATEGORY_FISHING_PICK_PICK_BOOK	Mining Guides
CATEGORY_FISHING_PICK_STONE	Ores
CATEGORY_JEWELRY_ARMOR_EAR	Earrings
CATEGORY_JEWELRY_ARMOR_FOOTS	Shoes
CATEGORY_JEWELRY_ARMOR_NECK	Necklaces
CATEGORY_JEWELRY_ARMOR_PENDANT	Talisman
CATEGORY_JEWELRY_ARMOR_WRIST	Bracelets
CATEGORY_JEWELRY_ITEM_BELT	Belts
CATEGORY_MOUNT_PET	Mounts | Pets
CATEGORY_MOUNT_PET_CHARGED_PET	Pets
CATEGORY_MOUNT_PET_EGG	Pet Eggs
CATEGORY_MOUNT_PET_FREE_PET	Evolvable Pets
CATEGORY_MOUNT_PET_MOUNT	Mounts
CATEGORY_POTION	Potions
CATEGORY_POTION_ABILITY	Consumables
CATEGORY_POTION_ETC	Other
CATEGORY_POTION_HAIRDYE	Hair Dyes
CATEGORY_SKILL	Skills
CATEGORY_SKILL_BOOK_OF_OBLIVION	Books of Forgetfulness
CATEGORY_SKILL_ETC	Other
CATEGORY_SKILL_HORSE_SKILL_BOOK	Horse Skill Book
CATEGORY_SKILL_PAHAE	Ward | Boost
CATEGORY_SKILL_SKILL_BOOK	Skill Books
CATEGORY_SORT_LOWEST_ALL_PRICE	Lowest total price
CATEGORY_SORT_LOWEST_COUNT	Amount (low to high)
CATEGORY_SORT_LOWEST_PER_PRICE	Lowest unit price
CATEGORY_SORT_MAXIMUN_ALL_PRICE	Highest total price
CATEGORY_SORT_MAXIMUN_COUNT	Amount (high to low)
CATEGORY_SORT_MAXIMUN_PER_PRICE	Highest unit price
CATEGORY_SORT_RECENT	Newest
CATEGORY_TUNING	Upgrades
CATEGORY_TUNING_ALCHEMY	Increase Chances
CATEGORY_TUNING_ETC	Other
CATEGORY_TUNING_RESOURCE	Materials
CATEGORY_TUNING_STONE	Spirit Stones
CATEGORY_UNIQUE	Special Items
CATEGORY_UNIQUE_ABILITY	Consumables
CATEGORY_UNIQUE_ETC	Other
CATEGORY_WEAPON_WEAPON_ARROW	Arrows
CATEGORY_WEAPON_WEAPON_BELL	Bells
CATEGORY_WEAPON_WEAPON_BOW	Bows
CATEGORY_WEAPON_WEAPON_CLAW	Claws
CATEGORY_WEAPON_WEAPON_DAGGER	Daggers
CATEGORY_WEAPON_WEAPON_FAN	Fans
CATEGORY_WEAPON_WEAPON_MOUNT_SPEAR	Spears
CATEGORY_WEAPON_WEAPON_QUIVER	Quivers
CATEGORY_WEAPON_WEAPON_SWORD	One-handed Weapons
CATEGORY_WEAPON_WEAPON_TWO_HANDED	Two-handed Weapons
CHANGE_ALREADY_REGISTER	[Transmutation] This item has already been submitted.
CHANGE_LOOK_CHANGE_ITEM	Do you want to transmute this item?
CHANGE_LOOK_CHECK_OUT_REGISTER_ITEM	[Transmutation] Please first remove the item which you want to transmute.
CHANGE_LOOK_COST	Cost of transmutation: %s Yang
CHANGE_LOOK_DEL_ITEM	The absorbed item will be deleted.
CHANGE_LOOK_DO_NOT_CHANGE_LOOK_ITEM	[Transmutation] This item cannot be transmuted.
CHANGE_LOOK_DO_NOT_EQUIP_ITEM	[Transmutation] You cannot transmute an item while it is equipped.
CHANGE_LOOK_DO_NOT_REGISTER_ITEM	[Transmutation] You cannot submit this item.
CHANGE_LOOK_DO_NOT_SEAL_ITEM	[Transmutation] The item is soulbound.
CHANGE_LOOK_INSERT_CHANGE_LOOK_ITEM	[Transmutation] Please submit the item you want to transmute.
CHANGE_LOOK_INSERT_ITEM	[Transmutation] You must submit the item first.
CHANGE_LOOK_NEED_MONEY	You either have insufficient Yang or insufficient items.
CHANGE_LOOK_OPEN_OTHER_WINDOW	[Transmutation] This action is not possible while the Transmutation window is open.
CHANGE_LOOK_TITLE	Transmutation
CHANGE_LOOK_TITLE2	Mount Transformation
CHANGE_PET_PLEASE_APPEND_FIRST	The pet must be selected first.
CHANGE_TOOLTIP2_LINE1	Add the target item on the left and the material on the right.
CHANGE_TOOLTIP2_LINE2	Click the tick to use Yang or a Transformation Token and alter your mount's appearance.
CHANGE_TOOLTIP2_LINE3	Using a Transformation Token changes the appearance of your mount without costing any Yang (this consumes the token).
CHANGE_TOOLTIP2_LINE4	If changing the appearance of a mount with a duration, the mount's duration remains unchanged.
CHANGE_TOOLTIP2_LINE5	If the target mount is permanent and the material mount has a duration, the mount will maintain the changed appearance for the duration of the material mount.
CHANGE_TOOLTIP_LINE1	Place the item you want to transmute on the left.
CHANGE_TOOLTIP_LINE2	Place the other item on the right.
CHANGE_TOOLTIP_LINE3	The appearance of the item on the left will change
CHANGE_TOOLTIP_LINE4	once you confirm the transmutation (V) and pay the Yang.
CHANGE_TOOLTIP_LINE5	Using this item allows you
CHANGE_TOOLTIP_LINE6	to transmute your item without spending Yang.
CHANGE_TOOLTIP_TITLE	Transmutation
CHANNEL	Channel
CHANNELING_CANNOT_LOGOUT	You cannot go back to the login screen.
CHANNEL_EMPTY_SERVER	No server
CHANNEL_NORMAL	Channel %d
CHANNEL_NOTIFY_FULL	This channel is full! Please choose another one.
CHANNEL_NOT_FIND_INFO	No information found via the Channel.
CHANNEL_PVP	Free duel
CHANNEL_SELECT_CHANNEL	Choose the channel
CHANNEL_SELECT_REGION	Choose region.
CHANNEL_SELECT_SERVER	Choose server
CHANNEL_STATUS_BUSY	Busy
CHANNEL_STATUS_FULL	Full
CHANNEL_STATUS_OFFLINE	Unknown
CHANNEL_STATUS_RECOMMENDED	Recommended
CHANNEL_STATUS_VACANT	Low
CHANNEL_TEST_SERVER	Test server
CHANNEL_TEST_SERVER_ADDR	Test %s:%d
CHARACTER_CREATE_MODE	Create character
CHARACTER_NAME	Name
CHARACTER_SELECT_MODE	Select character
CHARGE_BEAD_QUESTION	Animaspheres required: %d. Do you want to continue?
CHATTING_SETTING_ADD	Add tab
CHATTING_SETTING_ADD_MAX	You cannot add any more.
CHATTING_SETTING_CHANGE_TITLE_NAME	Would you like to save the name for this chat?
CHATTING_SETTING_CHANGE_TITLE_NOT	The name of the general chat cannot be changed.
CHATTING_SETTING_CLEAR_QUESTION	Reset?
CHATTING_SETTING_DEL	Delete field
CHATTING_SETTING_LANGUAGE_OFF	Off
CHATTING_SETTING_LANGUAGE_ON	On
CHATTING_SETTING_QUESTION_DESC_1	1. Set a message for EXP gained from killing monsters or lost EXP.
CHATTING_SETTING_QUESTION_DESC_2	2. Set a message for dropped loot and earned Yang.
CHATTING_SETTING_RETURN	Restore field
CHATTING_SETTING_SETTING	Settings
CHAT_ALL	All
CHAT_BLOCK	Block
CHAT_DICE_INFO	Throw
CHAT_GUILD	Guild
CHAT_INFORMATION	Info
CHAT_INSULT_STRING	This sentence has invalid words in it.
CHAT_LOG	Show old messages [L]
CHAT_LOG_TITLE	Chat-log
CHAT_MESSAGE_CLIENT_VERSION_NOT_MATCH	You have been logged out as your client version does not match. Please update your version and log in again.
CHAT_NORMAL	Normal
CHAT_NOTICE	Server
CHAT_PARTY	Group
CHAT_SEND_CHAT	Send chat
CHAT_SEND_MEMO	Send whisper [Shift+Enter]
CHAT_SHOUT	Call
CHAT_SHOUT_LIMIT	You can only call every 15 seconds.
CHAT_WHISPER	Whispering
CHEQUE_SYSTEM_DO_NOT_DROP_MONEY	You cannot drop money.
CHEQUE_SYSTEM_PICK_WON	You have received %s Won.
CHEQUE_SYSTEM_SELL_PRICE	[Sales price]
CHEQUE_SYSTEM_UNIT_WON	Won
CHEQUE_SYSTEM_UNIT_YANG	Yang
CHEQUE_SYSTEM_WON	%s Won
CHEQUE_SYSTEM_YANG	%s Yang
CHEQUE_USE_WON	%s Won has been deducted.
CLEAR_FLOOR	Level
CLEAR_TIME	Time
CLICK_BEAD_DESCRIPTION	Animaspheres are required to gain entry to the Zodiac Temple. Head to the Teleporter in the village to do so.
ClosePetChangeWndButton	Close
COMB_ACCE_IS_CONTINUE_PROCESS	Do you want to continue?
COMB_ACCE_WARNING_MESSAGE	The source will be destroyed on complete or partial success. The transfer can fail. The target item's absorption rate will be reduced on a partial success or failure.
COMB_ACCE_WARNING_MESSAGE1	The source will be destroyed on complete or partial success.
COMB_ACCE_WARNING_MESSAGE2	The transfer can fail.
COMB_ACCE_WARNING_MESSAGE3	The target item's absorption rate will be reduced on a partial success or failure.
COMB_ACCE_WILL_REMOVE_MATERIAL	The source will be destroyed on complete or partial success.
COMB_ALREADY_APPEND	This item has already been selected.
COMB_CANT_APPEND_ITEM	This item cannot be used.
COMB_CANT_APPEND_SEALED_ITEM	You cannot use any soulbound items.
COMB_CANT_BASE_ITEM	A sash which already has a bonus cannot be used as the target.
COMB_CANT_MATCH_DRAINRATE	The absorption rate of both items must be identical for a bonus transfer.
COMB_CANT_MATCH_GRADE	The grade of both items must be identical for a bonus transfer.
COMB_CANT_MATERIAL_ITEM	The source item must have a bonus.
COMB_COST	Price: %s
COMB_IS_CONTINUE_PROCESS	Do you want to continue?
COMB_NOTICE	You cannot open a private shop whilst you're trading books.
COMB_NOTICE_NOT_OPEN	You cannot trade books whilst you have a private shop open.
COMB_NOT_ALL_SLOT_APPEND_ITEM	You require a source and target item plus the transfer item to transfer bonuses.
COMB_NOT_FULL_BOOK	No, we can't do business like this. As I told you already, I'm only open to trade if you offer me 10 books in exchange.
COMB_NOT_ITEM_IN_INVENTORY	You cannot use equipped items.
COMB_NOT_MEDIUM_ITEM	This item cannot be used.
COMB_WILL_REMOVE_MATERIAL	The source item will be destroyed on success.
COMMUNITY_ADD_BLOCK	%s has been blocked.
COMMUNITY_ADD_FRIEND	%s has been added to your friends list.
COMMUNITY_ALREADY_BLOCKED	Already blocked.
COMMUNITY_ALREADY_FRIEND	You are already friends.
COMMUNITY_ALREADY_REQUESTED_BEFORE	You have already sent a friends request.
COMMUNITY_BLOCKED_ALREADY	%s is already blocked.
COMMUNITY_BLOCKED_EXCHANGE	Trade
COMMUNITY_BLOCKED_FRIEND_REQUEST	Friend Request
COMMUNITY_BLOCKED_FUNCTION	Blocked:
COMMUNITY_BLOCKED_GUILD_INVITE	Guild Invitation
COMMUNITY_BLOCKED_PARTY_INVITE	Invite to Group
COMMUNITY_BLOCKED_PARTY_JOIN	Join Group
COMMUNITY_BLOCKED_PARTY_WHISPER	Whisper
COMMUNITY_CANT_ACTION_TIMER	Please try again later.
COMMUNITY_CANT_ADD_BLOCK_ANYMORE	You cannot block any more players (max. %d).
COMMUNITY_CANT_ADD_FRIEND_ANYMORE	You cannot have any more friends (max. %d).
COMMUNITY_CANT_ADD_FRIEND_SELF	You cannot befriend yourself.
COMMUNITY_CANT_ADD_GM	You cannot add GMs as friends.
COMMUNITY_CANT_BLOCK_FAMILY	You cannot block your spouse.
COMMUNITY_CANT_BLOCK_FRIEND	You must unfriend %s first.
COMMUNITY_CANT_BLOCK_REQUEST_FRIEND	You cannot block someone you have sent a friend request to.
COMMUNITY_CANT_BLOCK_SELF	You cannot block yourself.
COMMUNITY_CANT_REGISTER_NOT_INSURT	You cannot use inappropriate language.
COMMUNITY_CANT_REQUEST_BLOCKED_USER	Remove the player from your block list first.
COMMUNITY_CANT_REQUEST_DUPLICATE	Please try again, as %s cannot currently add any friends.
COMMUNITY_CANT_REQUEST_FRIEND_SELF	You cannot befriend yourself.
COMMUNITY_CANT_REQUEST_SAME_ACCOUNT	You cannot befriend another character on your own account.
COMMUNITY_DELETE	Delete
COMMUNITY_DELETE_BLOCK	%s has been removed from your block list.
COMMUNITY_DELETE_BLOCK_FIRST	Remove the player from your block list first.
COMMUNITY_DELETE_FRIEND	%s has been removed from your friends list.
COMMUNITY_DELETE_FRIEND_FIRST	You must unfriend %s first.
COMMUNITY_DELETE_REQUEST_LIST_FIRST	Remove the player from your friend requests first.
COMMUNITY_INVALID_NAME	This name could not be found or does not exist.
COMMUNITY_INVITE_PARTY	You have sent a request to join %s's group.
COMMUNITY_LOGIN_MEMBER	%s is online.
COMMUNITY_MEMBER_LEVEL	(Lvl. %d)
COMMUNITY_REGISTER_COMMENT	Send
COMMUNITY_REGISTER_COMPLETE	You have published a new message.
COMMUNITY_REQUESTED_ALREADY	This player is already on your request list.
COMMUNITY_REQUEST_ALARM_AT_LOGIN	You have received a friend request. Check the Community window.
COMMUNITY_REQUEST_FRIEND	%s has sent you a friend request.
COMMUNITY_REQUEST_FRIEND_SUCCESS	You have sent a friend request to %s.
COMMUNITY_REQUEST_LIST_OVER_MAX	You cannot send a friend request to %s as your friends list is full.
COMMUNITY_TARGET_BLOCKED_YOU	%s has blocked you.
COMMUNITY_TARGET_EXIST_REQUEST_LIST	This player is already on your request list.
COMMUNITY_TARGET_MAX_FRIEND_COUNT	%s's friends list is full. The request could not be sent.
COMMUNITY_TARGET_REFUSE_REQUEST	%s has rejected your friend request.
COMMUNITY_TARGET_REQUEST_FRIEND_BLOCK_MODE	The player has blocked your friend request.
COMMUNITY_TARGET_RUNNING_QUEST	The player cannot currently accept your friend request.
CRAFT_INTEGRATE_CRAFTING_QUESTION_1	Do you want to continue?
CRAFT_INTEGRATE_CRAFTING_QUESTION_2	Try to upgrade %s %d times.
CRAFT_INTEGRATE_CRAFTING_QUESTION_3	Success Chance: %d%%
CRAFT_INTEGRATE_CRAFTING_QUESTION_4	Costs: %s Yang
CRAFT_INTEGRATE_DISMANTLE_ASK_AGAIN_1	Do you really want to dismantle it?
CRAFT_INTEGRATE_DISMANTLE_ASK_AGAIN_2	Dismantled items cannot be restored.
CRAFT_INTEGRATE_DISMANTLE_ASK_AGAIN_3	Dismantle: %s, %d
CRAFT_INTEGRATE_DISMANTLE_ASK_AGAIN_4	Results: %s, %s
CRAFT_INTEGRATE_DISMANTLE_ASK_ATTR_1	This has 3 or more properties.
CRAFT_INTEGRATE_DISMANTLE_ASK_ATTR_2	Do you really want to dismantle it into Energy Fragments?
CRAFT_INTEGRATE_DISMANTLE_FAIL_ITEM_LIMIT_LEVEL	Only level 35+ items can be dismantled.
CRAFT_INTEGRATE_DISMANTLE_FAIL_NOT_ALLOWED_UI_OPEN	This cannot be performed while another action is active.
CRAFT_INTEGRATE_DISMANTLE_FAIL_PLAYER_LEVEL_NOT_ENOUGH	Available for level 35+ characters.
CRAFT_INTEGRATE_DISMANTLE_FAIL_WRONG_BEHAVIOR	This action is not permitted.
CRAFT_INTEGRATE_DISMANTLE_FAIL_WRONG_ITEM	This item cannot be dismantled.
