ACCE_ABSORB_COST	Coste de combinación: %d
AURA_EVOLUTION_GOLD	[Aura] No hay suficiente Yang para desarrollar.
AURA_IMPOSSIBLE_ABSORBITEM	[Aura] No es posible transferir más bonificaciones.
AURA_IMPOSSIBLE_EQUIPITEM	[Aura] No se pueden utilizar objetos equipados.
AURA_IMPOSSIBLE_EVOLUTION_ITEM	[Aura] No se puede desarrollar.
AURA_IMPOSSIBLE_EVOLUTION_ITEMCOUNT	[Aura] La cantidad de objetos no es suficiente para desarrollar.
AURA_IMPOSSIBLE_GROWTHITEM	[Aura] No se puede mejorar.
AURA_IMPOSSIBLE_REFINEITEM	[Aura] Solo es posible para Vestimenta del aura, Escudo, Collar, Pendientes y Pulsera.
AURA_IMPOSSIBLE_SEALITEM	[Aura] Los objetos unidos al alma no se pueden transferir.
AURA_ITEM_NEED_REGISTER	[Aura] Tienes que añadir objetos.
AURA_LEVEL_STEP	Nv. %d (evolución %d)
AURA_MAX_LEVEL	[Aura] La Vestimenta del aura ha llegado al nivel máximo.
AURA_NOTICE_DEL_ABSORDITEM	[Aura] Se destruirá el objeto transferido.
AURA_OPEN_OTHER_WINDOW	No puedes realizar esta acción mientras esté abierta una ventana de mejora, desarrollo o transferencia de valores.
AURA_POSSIBLE_AURAITEM	[Aura] Solo es posible para la Vestimenta del aura.
AURA_POSSIBLE_REGISTER_AURAITEM	[Aura] Primero tienes que asignar la Vestimenta del aura.
AURA_TITLE_ABSORB	Transferir valores a la Vestimenta del aura
AURA_TITLE_EVOLUTION	Desarrollar la Vestimenta del aura
AURA_TITLE_GROWTH	Mejorar la Vestimenta del aura
AURA_TOOLTIP_EXP	EXP (%d %% / 100 %%)
AURA_TOOLTIP_LEVEL	Nv. %d (nivel %d) (Tasa de absorción %.1f %%)
AURA_TOOLTIP_NEED_YANG	%s Yang
AURA_TOOLTIP_NEXT	Nuevo
AURA_TOOLTIP_NOW	Novedad
AURA_TOOLTIP_RESOURCE	Objeto de consumo
AURA_TOOLTIP_RESOURCE_ITEM	%s * %d
AUTO_HUNTING_MSG_CANNOT_CHANGE_NON_WEAPON	No puedes equiparte esto mientras la Autocaza esté activa.
AUTO_HUNTING_MSG_CANNOT_START_WITHOUT_WEAPON	Mientras tengas este objeto equipado, no podrás utilizar la Autocaza.
AUTO_HUNTING_OPTION_BOSS	Jefe
AUTO_HUNTING_OPTION_KING	Nivel 5
AUTO_HUNTING_OPTION_KNIGHT	Nivel 3
AUTO_HUNTING_OPTION_PAWN	Nivel 1
AUTO_HUNTING_OPTION_STONE	Piedra Metin
AUTO_HUNTING_OPTION_S_KNIGHT	Nivel 4
AUTO_HUNTING_OPTION_S_PAWN	Nivel 2
AUTO_TOOLTIP_CLEAR	Restablecer
AUTO_TOOLTIP_LINE1	Habilidades: selecciona habilidades para el combate y arrástralas a las casillas. (Premium)
AUTO_TOOLTIP_LINE2	Atención: Debajo de cada habilidad puedes editar su intervalo de activación (en segundos).
AUTO_TOOLTIP_LINE3	Pociones: selecciona pociones para el combate y arrástralas a las casillas. (Premium)
AUTO_TOOLTIP_LINE4	Atención: Las pociones de HP y de SP se activan cuando se sobrepasa el valor (en porcentaje) introducido debajo de la poción.
AUTO_TOOLTIP_LINE5	Consejo: En la tienda de objetos se puede activar el uso automático de habilidades, pociones y resurrección.
AUTO_TOOLTIP_LINE6	5) Las pociones y objetos seleccionados se utilizarán automáticamente una vez que haya expirado el potenciador, sin que aparezca la duración restante.
AUTO_TOOLTIP_LINE7	6) Utiliza la flecha junto a "Atacar" para determinar lo fuertes que deberían ser los monstruos a los que atacar (+/- nivel con respecto a tu nivel).
AUTO_TOOLTIP_LINE8	7) Utiliza la flecha junto a "Alcance" para determinar la distancia a la que quieras que estén los monstruos para atacarlos.
AUTO_TOOLTIP_TITLE	Ayuda de la autocaza
BATTLE_MAP_NAME_AREA_1	Zona 1
BATTLE_MAP_NAME_AREA_2	Zona 2
BATTLE_MAP_NAME_AREA_3	Zona 3
BATTLE_MAP_NAME_AREA_4	Zona 4
BATTLE_MAP_NAME_AREA_5	Zona 5
BATTLE_MAP_NAME_AREA_6	Zona 6
BATTLE_MAP_NAME_AREA_7	Zona 7
BATTLE_MAP_NAME_AREA_8	Zona 8
BATTLE_MAP_NAME_AREA_9	Zona 9
BATTLE_POINT	Puntos de combate
BATTLE_ROYALE_ALIVE_COUNT	Supervivientes: %d
BATTLE_ROYALE_APPLICATION_TITLE	Battle Royale
BATTLE_ROYALE_CANNOT_OPEN_MALL	Eso no se puede abrir aquí.
BATTLE_ROYALE_KILL_COUNT	Adversarios derrotados: %d
BATTLE_ROYALE_MAINBUTTON_APPLICATION	Participar
BATTLE_ROYALE_MAINBUTTON_CANCEL	Cancelar
BATTLE_ROYALE_MAINBUTTON_EXIT	Abandonar
BATTLE_ROYALE_MAINBUTTON_STARTABLE	Empezar
BATTLE_ROYALE_NOTIFY_APPLICATED	Te has registrado en Battle Royale. Podrás entrar en cuanto haya suficientes participantes.
BATTLE_ROYALE_NOTIFY_ENTRY_CLOSED	Ha concluido el registro en Battle Royale.
BATTLE_ROYALE_NOTIFY_STARTABLE	Ya puedes acceder a Battle Royale. Para participar, haz clic en el botón de evento.
BATTLE_ROYALE_NOTIFY_WINNER	¡Victoria!
BATTLE_ROYALE_PERSONAL_RANK	Puesto personal: %d
BATTLE_ROYALE_QUESTION_USE_INFINITE_STAMINA	¿Quieres activar resistencia infinita?
BATTLE_ROYALE_WHO_KILLED	Te ha derrotado: %s
BATTLE_ROYALE_WINNER_1	¡Has ganado el Battle Royale!
BATTLE_ROYALE_WINNER_2	Se te teletransportará a la aldea en un momento.
BEAD	Esfera ánima
BEAD_TIME_REMAINING_TO_GET	La Esfera ánima se recargará en %d min.
BELT_RENEWAL_BANN_SIGN	No es posible continuar.
BELT_RENEWAL_INVENTORY_FULL	No hay espacio suficiente en tu inventario.
BNW_COIN	Moneda de vidente
BUTTON_TOOLTIP_GUILD_SHOP	Comercio de Medallas del valor
BUY_LIMIT_LEVEL	Límite de compra: %s
CANNOT_ATTACK_DEST_IN_SAFE	El combatiente está demasiado lejos.
CANNOT_ATTACK_SELF_IN_SAFE	No puedo atacar.
CANNOT_DOING_PRIVATE_SHOP_OPEN	No puedes realizar ninguna otra acción mientras tengas abierta una tienda privada.
CANNOT_EQUIP_IN_EXCHANGE	No puedes cambiar ningún equipamiento mientras comercias.
CANNOT_EQUIP_IN_SHOP	No puedes cambiar ningún equipamiento mientras comercias.
CANNOT_FISHING_RIDE_MOUNT	No se puede pescar a lomos de una montura.
CANNOT_FISHING_WHILE_POLY	No se puede pescar si se está transformado.
CANNOT_ILLUSTRATIONPAGE_WARP	Aquí no se puede utilizar el teletransporte de carta de monstruo.
CANNOT_MOVE_DRAGON_SOUL_WHILE_ATTACK	No puedes hacer eso mientras te estés moviendo.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	No puedes abrir un almacén privado en un área pública.
CANNOT_POLY_STATUS	Ahora no puedes transformarte.
CANNOT_PVP_MAP_MESSAGE	Eso no se puede hacer en esta área.
CANNOT_SHOOT_DEST_IN_SAFE	El enemigo está demasiado lejos.
CANNOT_SHOOT_EMPTY_ARROW	Necesito una flecha.
CANNOT_SHOOT_SELF_IN_SAFE	No puedo hacer eso.
CANNOT_SKILL_APPROACH	Estoy seguro de que no puedo acercarme más.
CANNOT_SKILL_ATTACK	No puedo atacar.
CANNOT_SKILL_BLUE	Si el Alma lobuna escarlata se encuentra activa, no puedes utilizar el Alma lobuna índigo.
CANNOT_SKILL_DEST_IN_SAFE	El enemigo está demasiado lejos.
CANNOT_SKILL_EQUIP_FISHING_ROD	No puedes pescar peces si no tienes equipada una caña.
CANNOT_SKILL_HAVE_TO_RIDE	Necesito un caballo antes de poder usar esto.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	No tengo una botella vacia.
CANNOT_SKILL_NEED_POISON_BOTTLE	No tengo una botella de veneno.
CANNOT_SKILL_NEED_TARGET	¿Quiénl es el objetivo?
CANNOT_SKILL_NOT_ENOUGH_HP	¡No tengo suficiente HP!
CANNOT_SKILL_NOT_ENOUGH_SP	¡No tengo suficiente SP!
CANNOT_SKILL_NOT_HORSE_SKILL	No puedo usar esto mientras cabalgo.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	No puedo usar esta habilidad con este arma.
CANNOT_SKILL_NOT_STANDING_HORSE_SKILL	No puedes utilizar esta habilidad sobre esta montura.
CANNOT_SKILL_NOT_YET_LEARN	No he aprendido esta habilidad.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	Esto sólo afecta a los miembros del grupo.
CANNOT_SKILL_ONLY_FOR_CORPSE	Esto sólo afecta a los muertos.
CANNOT_SKILL_RED	Si el Alma lobuna índigo se encuentra activa, no puedes utilizar el Alma lobuna escarlata.
CANNOT_SKILL_REMOVE_FISHING_ROD	No puedo usar esta habilidad con una caña.
CANNOT_SKILL_SELF_IN_SAFE	No puedo atacar desde aquí.
CANNOT_SKILL_USE_SELF	No puedo usar esto conmigo mismo.
CANNOT_SKILL_WAIT_COOLTIME	Aún no puedo usar esta habilidad.
CANNOT_UNEQUIP_IN_BATTLE	Debes estar inmóvil para poder quitarte el objeto.
CANNOT_USE	No se puede usar.
CANNOT_USE_SUTRA_TO_GOOD_ALIGNMENT	No puedes utilizar la Alubia zen, ya que tu malévola disposición no puede reducirse más.
CANNOT_WHISPER_BLOCKED_TARGET	Primero debes eliminar a %s de tu lista de bloqueos.	SA
CANNOT_WHISPER_DEST_REFUSE	%s ha bloqueado el susurro.	SA
CANNOT_WHISPER_NOT_LOGON	%s no está conectado.	SA
CANNOT_WHISPER_SELF_REFUSE	No puedes susurrar algo a alguien si has bloqueado el susurro.	SNA
CANNOT_WHISPER_TARGET_BLOCKED_ME	%s te ha bloqueado.	SA
CANT_ATTACH_DUPLICATED_METIN_STONE	No puedes insertarle a un objeto varias Piedras Espíritu del mismo tipo.
CANT_USE_MESSAGE_WHEN_EQUIP	No se puede utilizar con un objeto equipado.
CATCHKING_EVENT_MESSAGE_CARD_GAIN	Recibes Baraja/s del rey.
CATCHKING_EVENT_MESSAGE_CARD_PEICE_GAIN	Recibes Cartas del rey.
CATCHKING_EVENT_MESSAGE_NOT_ENOUGHT_ITEM	No tienes suficientes objetos/dinero para jugar.
CATCHKING_EVENT_MESSAGE_NO_MORE_GAIN	Ya no puedes recibir más Barajas del rey.
CATEGORY_ARMOR_ARMOR_BODY	Armaduras
CATEGORY_ARMOR_ARMOR_GLOVE	Guantes
CATEGORY_ARMOR_ARMOR_HEAD	Cascos
CATEGORY_ARMOR_ARMOR_SHIELD	Escudos
CATEGORY_COSTUMES	Atuendos
CATEGORY_COSTUMES_AURA	Vestimentas del aura
CATEGORY_COSTUMES_COSTUME_BODY	Atuendos
CATEGORY_COSTUMES_COSTUME_HAIR	Peinados
CATEGORY_COSTUMES_COSTUME_WEAPON	Aspectos para armas
CATEGORY_COSTUMES_ETC	Otros
CATEGORY_COSTUMES_SASH	Estolas
CATEGORY_DRAGON_STONE	Alquimia de Piedras dragón
CATEGORY_DRAGON_STONE_DEMON	Amatista
CATEGORY_DRAGON_STONE_DRAGON_DIAMOND	Diamante
CATEGORY_DRAGON_STONE_DRAGON_GARNET	Granate
CATEGORY_DRAGON_STONE_DRAGON_JADE	Jade
CATEGORY_DRAGON_STONE_DRAGON_ONYX	Ónice
CATEGORY_DRAGON_STONE_DRAGON_RUBY	Rubí
CATEGORY_DRAGON_STONE_DRAGON_SAPPHIRE	Zafiro
CATEGORY_DRAGON_STONE_ETC	Otros
CATEGORY_EQUIPMENT_ARMOR	Equipamiento
CATEGORY_EQUIPMENT_JEWELRY	Joyas
CATEGORY_EQUIPMENT_WEAPON	Armas
CATEGORY_ETC	Otros
CATEGORY_ETC_ALL	Todo
CATEGORY_ETC_ETC	Otros
CATEGORY_ETC_EVENT	Objetos de evento
CATEGORY_ETC_GIFTBOX	Baúles | Cajas
CATEGORY_ETC_MATRIMORY	Bodas
CATEGORY_ETC_PARTI	Manuales del arte de guerra
CATEGORY_ETC_POLYMORPH	Bolas polimorfas
CATEGORY_ETC_RECIPE	Creación de pociones
CATEGORY_ETC_SEAL	Unión al alma
CATEGORY_FISHING_PICK	Pesca | Minería
CATEGORY_FISHING_PICK_EQUIPMENT_PICK	Picos
CATEGORY_FISHING_PICK_ETC	Otros
CATEGORY_FISHING_PICK_FISHING_POLE	Cañas de pescar
CATEGORY_FISHING_PICK_FOOD	Peces
CATEGORY_FISHING_PICK_PICK_BOOK	Libros de minería
CATEGORY_FISHING_PICK_STONE	Minerales
CATEGORY_JEWELRY_ARMOR_EAR	Pendientes
CATEGORY_JEWELRY_ARMOR_FOOTS	Zapatos
CATEGORY_JEWELRY_ARMOR_NECK	Collares
CATEGORY_JEWELRY_ARMOR_PENDANT	Talismán
CATEGORY_JEWELRY_ARMOR_WRIST	Brazaletes
CATEGORY_JEWELRY_ITEM_BELT	Cinturones
CATEGORY_MOUNT_PET	Monturas | Mascotas
CATEGORY_MOUNT_PET_CHARGED_PET	Mascotas
CATEGORY_MOUNT_PET_EGG	Huevos de mascota
CATEGORY_MOUNT_PET_FREE_PET	Mascotas desarrollables
CATEGORY_MOUNT_PET_MOUNT	Monturas
CATEGORY_POTION	Pociones
CATEGORY_POTION_ABILITY	Consumibles
CATEGORY_POTION_ETC	Otros
CATEGORY_POTION_HAIRDYE	Tintes del pelo
CATEGORY_SKILL	Habilidades
CATEGORY_SKILL_BOOK_OF_OBLIVION	Libros del olvido
CATEGORY_SKILL_ETC	Otros
CATEGORY_SKILL_HORSE_SKILL_BOOK	Manual de habilidad de montura
CATEGORY_SKILL_PAHAE	Contraataque | Potenciación
CATEGORY_SKILL_SKILL_BOOK	Manuales de habilidad
CATEGORY_SORT_LOWEST_ALL_PRICE	Precio total más bajo
CATEGORY_SORT_LOWEST_COUNT	Cantidad (de baja a alta)
CATEGORY_SORT_LOWEST_PER_PRICE	Precio unitario más bajo
CATEGORY_SORT_MAXIMUN_ALL_PRICE	Precio total más alto
CATEGORY_SORT_MAXIMUN_COUNT	Cantidad (de alta a baja)
CATEGORY_SORT_MAXIMUN_PER_PRICE	Precio unitario más alto
CATEGORY_SORT_RECENT	Más nuevo
CATEGORY_TUNING	Mejoras
CATEGORY_TUNING_ALCHEMY	Aumentar probabilidad de éxito
CATEGORY_TUNING_ETC	Otros
CATEGORY_TUNING_RESOURCE	Materiales
CATEGORY_TUNING_STONE	Piedras espíritu
CATEGORY_UNIQUE	Objetos especiales
CATEGORY_UNIQUE_ABILITY	Consumibles
CATEGORY_UNIQUE_ETC	Otros
CATEGORY_WEAPON_WEAPON_ARROW	Flechas
CATEGORY_WEAPON_WEAPON_BELL	Campanas
CATEGORY_WEAPON_WEAPON_BOW	Arcos
CATEGORY_WEAPON_WEAPON_CLAW	Garras
CATEGORY_WEAPON_WEAPON_DAGGER	Puñales
CATEGORY_WEAPON_WEAPON_FAN	Abanicos
CATEGORY_WEAPON_WEAPON_MOUNT_SPEAR	Lanzas
CATEGORY_WEAPON_WEAPON_QUIVER	Carcajes
CATEGORY_WEAPON_WEAPON_SWORD	Armas a una mano
CATEGORY_WEAPON_WEAPON_TWO_HANDED	Armas a dos manos
CHANGE_ALREADY_REGISTER	[Transfiguración] Este objeto ya se ha registrado.
CHANGE_LOOK_CHANGE_ITEM	¿Quieres transfigurar el objeto?
CHANGE_LOOK_CHECK_OUT_REGISTER_ITEM	[Transfiguración] Por favor, retira primero el objeto sobre el que quieres aplicar la transfiguración.
CHANGE_LOOK_COST	Precio por transfiguración: %s Yang
CHANGE_LOOK_DEL_ITEM	El objeto en cuestión se borra.
CHANGE_LOOK_DO_NOT_CHANGE_LOOK_ITEM	[Transfiguración] Este objeto no se puede transfigurar.
CHANGE_LOOK_DO_NOT_EQUIP_ITEM	[Transfiguración] No puedes transfigurar el objeto mientras esté en uso.
CHANGE_LOOK_DO_NOT_REGISTER_ITEM	[Transfiguración] Este objeto no se puede registrar.
CHANGE_LOOK_DO_NOT_SEAL_ITEM	[Transfiguración] El objeto está unido al alma.
CHANGE_LOOK_INSERT_CHANGE_LOOK_ITEM	[Transfiguración] Por favor, registra el objeto que quieres transfigurar.
CHANGE_LOOK_INSERT_ITEM	[Transfiguración] Primero tienes que registrar el objeto.
CHANGE_LOOK_NEED_MONEY	No tienes suficiente Yang o suficientes objetos.
CHANGE_LOOK_OPEN_OTHER_WINDOW	[Transfiguración] Esta acción no es posible mientras esté abierta la ventana "Transfiguración".
CHANGE_LOOK_TITLE	Transfiguración
CHANGE_LOOK_TITLE2	Transformación de montura
CHANGE_PET_PLEASE_APPEND_FIRST	Primero hay que seleccionar una mascota.
CHANGE_TOOLTIP2_LINE1	Añade a la izquierda el objeto de destino y a la derecha, el material.
CHANGE_TOOLTIP2_LINE2	Marca la opción para utilizar Yang o una Marca de transformación y cambia la apariencia de tu montura.
CHANGE_TOOLTIP2_LINE3	La marca de transformación modifica la apariencia de tu montura sin gastar Yang. (La marca se destruirá).
CHANGE_TOOLTIP2_LINE4	Si se modifica la apariencia de la montura con una duración, se mantiene la duración original.
CHANGE_TOOLTIP2_LINE5	Si la montura de destino es permanente y el material dispone de una duración concreta, la montura mantendrá la nueva apariencia con la duración del material.
CHANGE_TOOLTIP_LINE1	Coloca el objeto que quieres transfigurar a la izquierda.
CHANGE_TOOLTIP_LINE2	Coloca el otro objeto a la derecha.
CHANGE_TOOLTIP_LINE3	El aspecto del objeto de la izquierda cambia cuando
CHANGE_TOOLTIP_LINE4	confirmas las transfiguración (V) y se te extrajo el Yang correspondiente.
CHANGE_TOOLTIP_LINE5	Cuando utilizas este objeto,
CHANGE_TOOLTIP_LINE6	puedes transfigurar objetos sin tener que usar Yang.
CHANGE_TOOLTIP_TITLE	Transfiguración
CHANNEL	Canal
CHANNELING_CANNOT_LOGOUT	No puedes regresar a la pantalla de registro.
CHANNEL_EMPTY_SERVER	No servidor
CHANNEL_NORMAL	Canal %d
CHANNEL_NOTIFY_FULL	¡Este canal está lleno! Por favor, selecciona otro.
CHANNEL_NOT_FIND_INFO	No se ha encontrado ninguna información a través de este canal.
CHANNEL_PVP	Duelo libre
CHANNEL_SELECT_CHANNEL	Elige el canal
CHANNEL_SELECT_REGION	Elegir la región.
CHANNEL_SELECT_SERVER	Elige servidor
CHANNEL_STATUS_BUSY	Muy frecuentado
CHANNEL_STATUS_FULL	Lleno
CHANNEL_STATUS_OFFLINE	Desconocido
CHANNEL_STATUS_RECOMMENDED	Recomendado
CHANNEL_STATUS_VACANT	Poco frecuentado
CHANNEL_TEST_SERVER	Test de servidor
CHANNEL_TEST_SERVER_ADDR	Test %s:%d
CHARACTER_CREATE_MODE	Crear personaje
CHARACTER_NAME	Nombre
CHARACTER_SELECT_MODE	Seleccionar personaje
CHARGE_BEAD_QUESTION	Esferas ánima necesarias: %d. ¿Deseas continuar?
CHATTING_SETTING_ADD	Añadir pestaña
CHATTING_SETTING_ADD_MAX	Ya no puedes añadir más.
CHATTING_SETTING_CHANGE_TITLE_NAME	¿Quieres guardar el nombre de este chat?
CHATTING_SETTING_CHANGE_TITLE_NOT	No se puede cambiar el nombre del chat general.
CHATTING_SETTING_CLEAR_QUESTION	¿Restablecer?
CHATTING_SETTING_DEL	Eliminar campo
CHATTING_SETTING_LANGUAGE_OFF	Desactivar
CHATTING_SETTING_LANGUAGE_ON	Activar
CHATTING_SETTING_QUESTION_DESC_1	1) Establece un mensaje para EXP recibida por acabar con monstruos o EXP perdida.
CHATTING_SETTING_QUESTION_DESC_2	2) Establece un mensaje para botines tirados y Yang obtenido.
CHATTING_SETTING_RETURN	Restaurar campo
CHATTING_SETTING_SETTING	Ajustes
CHAT_ALL	Todo
CHAT_BLOCK	Bloquear
CHAT_DICE_INFO	Tirada
CHAT_GUILD	Gremio
CHAT_INFORMATION	Info
CHAT_INSULT_STRING	Esta frase contiene palabras inválidas.
CHAT_LOG	Mostrar mensajes antiguos [L]
CHAT_LOG_TITLE	Protocolo del chat
CHAT_MESSAGE_CLIENT_VERSION_NOT_MATCH	Se ha cerrado tu sesión porque la versión de tu cliente no coincide. Actualiza tu versión y vuelve a iniciar tu sesión.
CHAT_NORMAL	Normal
CHAT_NOTICE	Servidor
CHAT_PARTY	Grupo
CHAT_SEND_CHAT	Enviar chat
CHAT_SEND_MEMO	Enviar susurro[Shift+Enter]
CHAT_SHOUT	Llamar
CHAT_SHOUT_LIMIT	Sólo puedes llamar cada 15 segundos.
CHAT_WHISPER	Conversación
CHEQUE_SYSTEM_DO_NOT_DROP_MONEY	No puedes tirar dinero.
CHEQUE_SYSTEM_PICK_WON	Has obtenido %s Won.
CHEQUE_SYSTEM_SELL_PRICE	[Precio de venta]
CHEQUE_SYSTEM_UNIT_WON	Won
CHEQUE_SYSTEM_UNIT_YANG	Yang
CHEQUE_SYSTEM_WON	%s Won
CHEQUE_SYSTEM_YANG	%s Yang
CHEQUE_USE_WON	Se ha gastado una cantidad de %s Won.
CLEAR_FLOOR	Nivel
CLEAR_TIME	Tiempo
CLICK_BEAD_DESCRIPTION	Necesitas Esferas ánima para acceder al Templo del Zodíaco. Dirígete al Teletransportador de la aldea.
ClosePetChangeWndButton	Cerrar
COMB_ACCE_IS_CONTINUE_PROCESS	¿Deseas continuar?
COMB_ACCE_WARNING_MESSAGE	El original se destruirá si el proceso se completa con éxito o parcialmente con éxito. La transferencia puede fallar. La tasa de absorción del receptor disminuirá en caso de fallo o éxito parcial.
COMB_ACCE_WARNING_MESSAGE1	El original se destruirá si el proceso se completa con éxito o parcialmente con éxito.
COMB_ACCE_WARNING_MESSAGE2	La transferencia puede fallar.
COMB_ACCE_WARNING_MESSAGE3	La tasa de absorción del receptor disminuirá en caso de fallo o éxito parcial.
COMB_ACCE_WILL_REMOVE_MATERIAL	El original se destruirá si el proceso se completa con éxito o parcialmente con éxito.
COMB_ALREADY_APPEND	Este objeto ya se ha seleccionado.
COMB_CANT_APPEND_ITEM	No se puede utilizar este objeto.
COMB_CANT_APPEND_SEALED_ITEM	No puedes usar objetos que se encuentren bajo el efecto de la Unión al alma.
COMB_CANT_BASE_ITEM	Si una estola ya tiene alguna bonificación, no podrá ser receptora.
COMB_CANT_MATCH_DRAINRATE	La tasa de absorción de ambos objetos tiene que ser idéntica para realizar una transferencia de bonificación.
COMB_CANT_MATCH_GRADE	El grado de ambos objetos tiene que ser idéntico para realizar una transferencia de bonificación.
COMB_CANT_MATERIAL_ITEM	El objeto original tiene que tener una bonificación.
COMB_COST	Precio: %s
COMB_IS_CONTINUE_PROCESS	¿Quieres continuar?
COMB_NOTICE	No puedes abrir una tienda privada mientras canjeas libros.
COMB_NOTICE_NOT_OPEN	No puedes canjear libros si has abierto una tienda privada.
COMB_NOT_ALL_SLOT_APPEND_ITEM	Para transferir bonificaciones se necesita un objeto original, un receptor y uno de transferencia.
COMB_NOT_FULL_BOOK	No, así no vamos a hacer negocios. Como ya te expliqué, solamente canjeo libros si me puedes traer al menos 10 de ellos.
COMB_NOT_ITEM_IN_INVENTORY	No puedes utilizar un objeto equipado.
COMB_NOT_MEDIUM_ITEM	No se puede utilizar este objeto.
COMB_WILL_REMOVE_MATERIAL	El original se destruirá en caso de éxito.
COMMUNITY_ADD_BLOCK	Se ha bloqueado a %s.
COMMUNITY_ADD_FRIEND	Se ha añadido a %s a la lista de amigos.
COMMUNITY_ALREADY_BLOCKED	Ya está bloqueado.
COMMUNITY_ALREADY_FRIEND	Ya sois amigos.
COMMUNITY_ALREADY_REQUESTED_BEFORE	Ya has enviado una solicitud de amistad.
COMMUNITY_BLOCKED_ALREADY	Ya se ha bloqueado a %s.
COMMUNITY_BLOCKED_EXCHANGE	Comercio
COMMUNITY_BLOCKED_FRIEND_REQUEST	Solicitud de amistad
COMMUNITY_BLOCKED_FUNCTION	Bloqueado:
COMMUNITY_BLOCKED_GUILD_INVITE	Invitación al gremio
COMMUNITY_BLOCKED_PARTY_INVITE	Solicitud de grupo
COMMUNITY_BLOCKED_PARTY_JOIN	Invitación de grupo
COMMUNITY_BLOCKED_PARTY_WHISPER	Susurrar
COMMUNITY_CANT_ACTION_TIMER	Inténtalo de nuevo más tarde.
COMMUNITY_CANT_ADD_BLOCK_ANYMORE	No puedes bloquear a más jugadores (máx. %d).
COMMUNITY_CANT_ADD_FRIEND_ANYMORE	No puedes tener más amigos (máx. %d).
COMMUNITY_CANT_ADD_FRIEND_SELF	No puedes añadirte a tu propia lista de amigos.
COMMUNITY_CANT_ADD_GM	No puedes añadir GMs como amigos.
COMMUNITY_CANT_BLOCK_FAMILY	No puedes bloquear a tu cónyuge.
COMMUNITY_CANT_BLOCK_FRIEND	Se debe eliminar primero a %s.
COMMUNITY_CANT_BLOCK_REQUEST_FRIEND	No puedes bloquear a nadie a quien hayas enviado una solicitud de amistad.
COMMUNITY_CANT_BLOCK_SELF	No puedes bloquearte a ti mismo.
COMMUNITY_CANT_REGISTER_NOT_INSURT	No puedes utilizar expresiones groseras.
COMMUNITY_CANT_REQUEST_BLOCKED_USER	Primero debes eliminar al jugador de tu lista de bloqueos.
COMMUNITY_CANT_REQUEST_DUPLICATE	Inténtalo de nuevo, porque %s no puede añadir amigos en este momento.
