ACCE_ABSORB_COST	Kombinationskosten: %d
AURA_ITEM_NEED_REGISTER	[Aura] Es müssen Gegenstände eingefügt werden.
AURA_LEVEL_STEP	Lvl %d (Stufe %d)
AURA_MAX_LEVEL	[Aura] Auragewand hat das maximale Level.
AURA_NOTICE_DEL_ABSORDITEM	[Aura] Übertragener Gegenstand wird zerstört.
AURA_OPEN_OTHER_WINDOW	Du kannst das nicht tun, während ein Fenster für Verbesserung, Entwicklung oder Werteübertragung geöffnet ist.
AURA_POSSIBLE_AURAITEM	[Aura] Nur Auragewand ist möglich.
AURA_POSSIBLE_REGISTER_AURAITEM	[Aura] Auragewand muss zuerst eingefügt werden.
AURA_TITLE_ABSORB	Werte auf Auragewand übertragen
AURA_TITLE_EVOLUTION	Auragewand entwickeln
AURA_TITLE_GROWTH	Auragewand verbessern
AURA_TOOLTIP_EXP	EXP (%d%% / 100%%)
AURA_TOOLTIP_LEVEL	Lvl %d (Stufe %d) (Aufnahmerate %.1f%%)
AURA_TOOLTIP_NEED_YANG	%s Yang
AURA_TOOLTIP_NEXT	Neu
AURA_TOOLTIP_NOW	Aktuell
AURA_TOOLTIP_RESOURCE	Verbrauchsgegenstand
AURA_TOOLTIP_RESOURCE_ITEM	%s * %d
AUTO_HUNTING_MSG_CANNOT_CHANGE_NON_WEAPON	Das kannst du nicht anlegen, während die Autojagd aktiv ist.
AUTO_HUNTING_MSG_CANNOT_START_WITHOUT_WEAPON	Solange du dieses Item ausgerüstet hast, kannst du die Autojagd nicht verwenden.
AUTO_HUNTING_OPTION_BOSS	Boss
AUTO_HUNTING_OPTION_KING	Stufe 5
AUTO_HUNTING_OPTION_KNIGHT	Stufe 3
AUTO_HUNTING_OPTION_PAWN	Stufe 1
AUTO_HUNTING_OPTION_STONE	Metinstein
AUTO_HUNTING_OPTION_S_KNIGHT	Stufe 4
AUTO_HUNTING_OPTION_S_PAWN	Stufe 2
AUTO_TOOLTIP_CLEAR	Zurücksetzen
AUTO_TOOLTIP_LINE1	Fertigkeiten: Wähle Fertigkeiten für den Kampf aus und ziehe sie in die Slots. (Premium)
AUTO_TOOLTIP_LINE2	Hinweis: Du kannst unter der jeweiligen Fertigkeit den Intervall der Aktivierung (in Sekunden) editieren.
AUTO_TOOLTIP_LINE3	Tränke: Wähle Tränke für den Kampf aus und ziehe sie in die Slots. (Premium)
AUTO_TOOLTIP_LINE4	Hinweis: TP- und MP-Tränke werden aktiviert, wenn der unter dem Trank angegebene Wert in % unterschritten wird.
AUTO_TOOLTIP_LINE5	Hinweis: Automatischer Einsatz von Fertigkeiten, Tränken und Wiederbelebung kann im Item-Shop aktiviert werden.
AUTO_TOOLTIP_LINE6	5. Tränke und Gegenstände, die ausgewählt sind, werden automatisch nach Ablauf des Buffs verwendet, ohne dass eine verbleibende Dauer angezeigt wird.
AUTO_TOOLTIP_LINE7	6. Über den Pfeil neben "Angreifen" kannst du festlegen, wie stark die Monster sein sollen, die du angreifst (+/- Level zu deinem Level).
AUTO_TOOLTIP_LINE8	7. Über den Pfeil neben "Fokus" kannst du festlegen, in welcher Entfernung du Monster angreifen willst.
AUTO_TOOLTIP_TITLE	Autojagd-Hilfe
BATTLE_MAP_NAME_AREA_1	Zone 1
BATTLE_MAP_NAME_AREA_2	Zone 2
BATTLE_MAP_NAME_AREA_3	Zone 3
BATTLE_MAP_NAME_AREA_4	Zone 4
BATTLE_MAP_NAME_AREA_5	Zone 5
BATTLE_MAP_NAME_AREA_6	Zone 6
BATTLE_MAP_NAME_AREA_7	Zone 7
BATTLE_MAP_NAME_AREA_8	Zone 8
BATTLE_MAP_NAME_AREA_9	Zone 9
BATTLE_POINT	Kampfpunkte
BATTLE_ROYALE_ALIVE_COUNT	Überlebende: %d
BATTLE_ROYALE_APPLICATION_TITLE	Battle Royale
BATTLE_ROYALE_CANNOT_OPEN_MALL	Das kannst du hier nicht öffnen.
BATTLE_ROYALE_KILL_COUNT	Gegner besiegt: %d
BATTLE_ROYALE_MAINBUTTON_APPLICATION	Teilnehmen
BATTLE_ROYALE_MAINBUTTON_CANCEL	Abbrechen
BATTLE_ROYALE_MAINBUTTON_EXIT	Verlassen
BATTLE_ROYALE_MAINBUTTON_STARTABLE	Start
BATTLE_ROYALE_NOTIFY_APPLICATED	Du hast dich für den Battle Royale angemeldet. Sobald genügend Teilnehmer beisammen sind, kannst du beitreten.
BATTLE_ROYALE_NOTIFY_ENTRY_CLOSED	Die Anmeldung für den Battle Royale wurde geschlossen.
BATTLE_ROYALE_NOTIFY_STARTABLE	Du kannst jetzt dem Battle Royale beitreten. Klicke auf die Event-Schaltfläche, um teilzunehmen.
BATTLE_ROYALE_NOTIFY_WINNER	Du hast gewonnen.
BATTLE_ROYALE_PERSONAL_RANK	Persönlicher Rang: %d
BATTLE_ROYALE_QUESTION_USE_INFINITE_STAMINA	Willst du endlose Ausdauer einsetzen?
BATTLE_ROYALE_WHO_KILLED	Spieler, der dich getötet hat: %s
BATTLE_ROYALE_WINNER_1	Du hast den Battle Royale gewonnen!
BATTLE_ROYALE_WINNER_2	In wenigen Augenblicken wirst du ins Dorf teleportiert.
BEAD	Animasphäre
BEAD_TIME_REMAINING_TO_GET	Animasphäre wird aufgeladen in: %d Min.
BELT_RENEWAL_BANN_SIGN	Fortfahren nicht möglich.
BELT_RENEWAL_INVENTORY_FULL	In deinem Inventar ist nicht genügend Platz vorhanden.
BNW_COIN	Sehermünze
BUTTON_TOOLTIP_GUILD_SHOP	Tapferkeitsmedaillen-Handel
BUY_LIMIT_LEVEL	Kauflimit: %s
CANNOT_ATTACK_DEST_IN_SAFE	Der Gegner ist zu weit weg.
CANNOT_ATTACK_SELF_IN_SAFE	Ich kann den Gegner von hier nicht angreifen.
CANNOT_DOING_PRIVATE_SHOP_OPEN	Du kannst nichts anderes tun, solange du einen privaten Laden geöffnet hast.
CANNOT_EQUIP_IN_EXCHANGE	Du kannst keine Ausrüstung wechseln, während du handelst.
CANNOT_EQUIP_IN_SHOP	Du kannst keine Ausrüstung wechseln, während du handelst.
CANNOT_FISHING_RIDE_MOUNT	Du kannst nicht angeln, während du auf einem Reittier sitzt.
CANNOT_FISHING_WHILE_POLY	Du kannst nicht angeln, während du verwandelt bist.
CANNOT_ILLUSTRATIONPAGE_WARP	Du kannst den Monsterkarten-Teleport hier nicht benutzen.
CANNOT_MOVE_DRAGON_SOUL_WHILE_ATTACK	Das kannst du nicht tun, während du dich bewegst.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	Du kannst einen privaten Laden nicht an einem öffentlichen Ort eröffnen.
CANNOT_POLY_STATUS	Du kannst dich gerade nicht verwandeln.
CANNOT_PVP_MAP_MESSAGE	Das kannst du in diesem Gebiet nicht tun.
CANNOT_SHOOT_DEST_IN_SAFE	Der Gegner ist zu weit weg.
CANNOT_SHOOT_EMPTY_ARROW	Ich benötige einen Pfeil.
CANNOT_SHOOT_SELF_IN_SAFE	Ich kann den Gegner von hier nicht angreifen.
CANNOT_SKILL_APPROACH	Ich bin mir sicher, dass ich nicht näher rankomme.
CANNOT_SKILL_ATTACK	Ich kann das nicht angreifen.
CANNOT_SKILL_BLUE	Wenn Purpurwolfseele aktiviert ist, kannst du Indigowolfseele nicht verwenden.
CANNOT_SKILL_DEST_IN_SAFE	Der Gegner ist zu weit weg.
CANNOT_SKILL_EQUIP_FISHING_ROD	Ohne ausgerüstete Angelrute kannst du keine Fische fangen.
CANNOT_SKILL_HAVE_TO_RIDE	Ich brauche ein Pferd, um das zu verwenden.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	Ich habe keine leere Flasche.
CANNOT_SKILL_NEED_POISON_BOTTLE	Ich habe keine Giftflasche.
CANNOT_SKILL_NEED_TARGET	Wer ist das Ziel?
CANNOT_SKILL_NOT_ENOUGH_HP	Ich habe nicht genug TP!
CANNOT_SKILL_NOT_ENOUGH_SP	Ich habe nicht genug MP!
CANNOT_SKILL_NOT_HORSE_SKILL	Das kann ich nicht verwenden, während ich reite.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	Diese Fertigkeit kann ich nicht mit dieser Waffe einsetzen.
CANNOT_SKILL_NOT_STANDING_HORSE_SKILL	Du kannst diese Fertigkeit auf diesem Reittier nicht einsetzen.
CANNOT_SKILL_NOT_YET_LEARN	Diese Fertigkeit habe ich nicht gelernt.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	Das wirkt nur bei Gruppenmitgliedern.
CANNOT_SKILL_ONLY_FOR_CORPSE	Das wirkt nur bei Toten.
CANNOT_SKILL_RED	Wenn Indigowolfseele aktiviert ist, kannst du Purpurwolfseele nicht verwenden.
CANNOT_SKILL_REMOVE_FISHING_ROD	Diese Fertigkeit kann ich nicht mit einer Angelrute einsetzen.
CANNOT_SKILL_SELF_IN_SAFE	Ich kann nicht von hier angreifen.
CANNOT_SKILL_USE_SELF	Das kann ich nicht auf mich selbst anwenden.
CANNOT_SKILL_WAIT_COOLTIME	Diese Fertigkeit kann ich noch nicht einsetzen.
CANNOT_UNEQUIP_IN_BATTLE	Du musst stillstehen, um den Gegenstand ablegen zu können.
CANNOT_USE	Du kannst ihn nicht verwenden.
CANNOT_USE_SUTRA_TO_GOOD_ALIGNMENT	Du kannst die Zen-Bohne nicht verwenden, da deine böse Gesinnung nicht weiter gesenkt werden kann.
CANNOT_WHISPER_BLOCKED_TARGET	%s muss zunächst von deiner Blockliste entfernt werden.	SA
CANNOT_WHISPER_DEST_REFUSE	%s hat Flüstern blockiert.	SA
CANNOT_WHISPER_NOT_LOGON	%s ist nicht online.	SA
CANNOT_WHISPER_SELF_REFUSE	Du kannst niemandem etwas zuflüstern, wenn du Flüstern blockiert hast.	SNA
CANNOT_WHISPER_TARGET_BLOCKED_ME	%s hat dich blockiert.	SA
CANT_ATTACH_DUPLICATED_METIN_STONE	Du kannst nicht mehrere Geiststeine der gleichen Art anbringen.
CANT_USE_MESSAGE_WHEN_EQUIP	Du kannst das nicht auf einen ausgerüsteten Gegenstand anwenden.
CATCHKING_EVENT_MESSAGE_CARD_GAIN	Du erhältst Königsdeck(s).
CATCHKING_EVENT_MESSAGE_CARD_PEICE_GAIN	Du erhältst Königskarten.
CATCHKING_EVENT_MESSAGE_NOT_ENOUGHT_ITEM	Du hast nicht genügend Gegenstände oder Geld um zu spielen.
CATCHKING_EVENT_MESSAGE_NO_MORE_GAIN	Du kannst keine weiteren Königsdecks erhalten.
CATEGORY_ARMOR_ARMOR_BODY	Rüstungen
CATEGORY_ARMOR_ARMOR_GLOVE	Handschuhe
CATEGORY_ARMOR_ARMOR_HEAD	Helme
CATEGORY_ARMOR_ARMOR_SHIELD	Schilde
CATEGORY_COSTUMES	Kostüme
CATEGORY_COSTUMES_AURA	Auragewänder
CATEGORY_COSTUMES_COSTUME_BODY	Kostüme
CATEGORY_COSTUMES_COSTUME_HAIR	Frisuren
CATEGORY_COSTUMES_COSTUME_WEAPON	Waffenskins
CATEGORY_COSTUMES_ETC	Sonstiges
CATEGORY_COSTUMES_SASH	Schulterbänder
CATEGORY_DRAGON_STONE	Drachensteinalchemie
CATEGORY_DRAGON_STONE_DEMON	Amethyst
CATEGORY_DRAGON_STONE_DRAGON_DIAMOND	Diamant
CATEGORY_DRAGON_STONE_DRAGON_GARNET	Granat
CATEGORY_DRAGON_STONE_DRAGON_JADE	Jade
CATEGORY_DRAGON_STONE_DRAGON_ONYX	Onyx
CATEGORY_DRAGON_STONE_DRAGON_RUBY	Rubin
CATEGORY_DRAGON_STONE_DRAGON_SAPPHIRE	Saphir
CATEGORY_DRAGON_STONE_ETC	Sonstiges
CATEGORY_EQUIPMENT_ARMOR	Ausrüstungen
CATEGORY_EQUIPMENT_JEWELRY	Schmuck
CATEGORY_EQUIPMENT_WEAPON	Waffen
CATEGORY_ETC	Sonstiges
CATEGORY_ETC_ALL	Alles
CATEGORY_ETC_ETC	Sonstiges
CATEGORY_ETC_EVENT	Eventitems
CATEGORY_ETC_GIFTBOX	Truhen | Boxen
CATEGORY_ETC_MATRIMORY	Hochzeit
CATEGORY_ETC_PARTI	Kriegskunstbücher
CATEGORY_ETC_POLYMORPH	Verwandlungskugeln
CATEGORY_ETC_RECIPE	Trankherstellung
CATEGORY_ETC_SEAL	Seelenbindung
CATEGORY_FISHING_PICK	Angeln | Bergbau
CATEGORY_FISHING_PICK_EQUIPMENT_PICK	Spitzhacken
CATEGORY_FISHING_PICK_ETC	Sonstiges
CATEGORY_FISHING_PICK_FISHING_POLE	Angelruten
CATEGORY_FISHING_PICK_FOOD	Fische
CATEGORY_FISHING_PICK_PICK_BOOK	Bergbaubücher
CATEGORY_FISHING_PICK_STONE	Erze
CATEGORY_JEWELRY_ARMOR_EAR	Ohrringe
CATEGORY_JEWELRY_ARMOR_FOOTS	Schuhe
CATEGORY_JEWELRY_ARMOR_NECK	Halsketten
CATEGORY_JEWELRY_ARMOR_PENDANT	Talisman
CATEGORY_JEWELRY_ARMOR_WRIST	Armbänder
CATEGORY_JEWELRY_ITEM_BELT	Gürtel
CATEGORY_MOUNT_PET	Mounts | Pets
CATEGORY_MOUNT_PET_CHARGED_PET	Pets
CATEGORY_MOUNT_PET_EGG	Pet-Eier
CATEGORY_MOUNT_PET_FREE_PET	Levelbare Pets
CATEGORY_MOUNT_PET_MOUNT	Mounts
CATEGORY_POTION	Tränke
CATEGORY_POTION_ABILITY	Verbrauchsgüter
CATEGORY_POTION_ETC	Sonstiges
CATEGORY_POTION_HAIRDYE	Haarfarben
CATEGORY_SKILL	Fertigkeiten
CATEGORY_SKILL_BOOK_OF_OBLIVION	Bücher des Vergessens
CATEGORY_SKILL_ETC	Sonstiges
CATEGORY_SKILL_HORSE_SKILL_BOOK	Pferde-Fertigkeitsbuch
CATEGORY_SKILL_PAHAE	Konter | Boost
CATEGORY_SKILL_SKILL_BOOK	Fertigkeitsbücher
CATEGORY_SORT_LOWEST_ALL_PRICE	Niedrigster Gesamtpreis
CATEGORY_SORT_LOWEST_COUNT	Menge (niedrig zu hoch)
CATEGORY_SORT_LOWEST_PER_PRICE	Niedrigster Einzelpreis
CATEGORY_SORT_MAXIMUN_ALL_PRICE	Höchster Gesamtpreis
CATEGORY_SORT_MAXIMUN_COUNT	Menge (hoch zu niedrig)
CATEGORY_SORT_MAXIMUN_PER_PRICE	Höchster Einzelpreis
CATEGORY_SORT_RECENT	Neueste
CATEGORY_TUNING	Verbesserungen
CATEGORY_TUNING_ALCHEMY	Erfolgschance erhöhen
CATEGORY_TUNING_ETC	Sonstiges
CATEGORY_TUNING_RESOURCE	Materialien
CATEGORY_TUNING_STONE	Geiststeine
CATEGORY_UNIQUE	Sonderitems
CATEGORY_UNIQUE_ABILITY	Konsumgüter
CATEGORY_UNIQUE_ETC	Sonstiges
CATEGORY_WEAPON_WEAPON_ARROW	Pfeile
CATEGORY_WEAPON_WEAPON_BELL	Glocken
CATEGORY_WEAPON_WEAPON_BOW	Bögen
CATEGORY_WEAPON_WEAPON_CLAW	Krallen
CATEGORY_WEAPON_WEAPON_DAGGER	Dolche
CATEGORY_WEAPON_WEAPON_FAN	Fächer
CATEGORY_WEAPON_WEAPON_MOUNT_SPEAR	Speere
CATEGORY_WEAPON_WEAPON_QUIVER	Köcher
CATEGORY_WEAPON_WEAPON_SWORD	Einhandwaffen
CATEGORY_WEAPON_WEAPON_TWO_HANDED	Zweihandwaffen
CHANGE_ALREADY_REGISTER	[Projektion] Dieser Gegenstand wurde bereits registriert.
CHANGE_LOOK_CHANGE_ITEM	Möchtest du den Gegenstand projizieren?
CHANGE_LOOK_CHECK_OUT_REGISTER_ITEM	[Projektion] Bitte entferne zuerst den Gegenstand, auf den die Projektion angewendet werden soll.
CHANGE_LOOK_COST	Preis für Projektion: %s Yang
CHANGE_LOOK_DEL_ITEM	Der aufgenommene Gegenstand wird gelöscht.
CHANGE_LOOK_DO_NOT_CHANGE_LOOK_ITEM	[Projektion] Dieser Gegenstand kann nicht projiziert werden.
CHANGE_LOOK_DO_NOT_EQUIP_ITEM	[Projektion] Du kannst den Gegenstand nicht projizieren, während er ausgerüstet ist.
CHANGE_LOOK_DO_NOT_REGISTER_ITEM	[Projektion] Dieser Gegenstand kann nicht registriert werden.
CHANGE_LOOK_DO_NOT_SEAL_ITEM	[Projektion] Der Gegenstand ist seelengebunden.
CHANGE_LOOK_INSERT_CHANGE_LOOK_ITEM	[Projektion] Bitte registriere den Gegenstand, den du projizieren möchtest.
CHANGE_LOOK_INSERT_ITEM	[Projektion] Du musst den Gegenstand zuerst registrieren.
CHANGE_LOOK_NEED_MONEY	Du hast entweder nicht genügend Yang oder nicht genügend Gegenstände.
CHANGE_LOOK_OPEN_OTHER_WINDOW	[Projektion] Die Aktion ist nicht möglich, wenn das Fenster "Projektion" geöffnet ist.
CHANGE_LOOK_TITLE	Projektion
CHANGE_LOOK_TITLE2	Reittier-Verwandlung
CHANGE_PET_PLEASE_APPEND_FIRST	Das Pet muss zuerst ausgewählt werden.
CHANGE_TOOLTIP2_LINE1	Füge links den Zielgegenstand und rechts das Material ein.
CHANGE_TOOLTIP2_LINE2	Klicke auf das Häkchen, um Yang oder eine Verwandlungsmarke zu verwenden und das Aussehen deines Reittiers zu ändern.
CHANGE_TOOLTIP2_LINE3	Eine Verwandlungsmarke ändert das Aussehen deines Reittiers, ohne Yang zu verbrauchen. (Die Marke wird dabei zerstört.)
CHANGE_TOOLTIP2_LINE4	Wird das Aussehen eines Reittiers mit einer Laufzeit geändert, bleibt die ursprüngliche Laufzeit bestehen.
CHANGE_TOOLTIP2_LINE5	Für den Fall, dass das Ziel-Reittier permanent ist und das Material-Reittier eine Laufzeit besitzt, behält das Reittier das geänderte Aussehen für die Laufzeit des Material-Reittiers.
CHANGE_TOOLTIP_LINE1	Lege den Gegenstand, auf den projiziert werden soll, links ab.
CHANGE_TOOLTIP_LINE2	Lege den anderen Gegenstand rechts ab.
CHANGE_TOOLTIP_LINE3	Das Aussehen des Gegenstands links ändert sich, wenn du
CHANGE_TOOLTIP_LINE4	die Projektion bestätigst (V) und dir Yang abgezogen wurde.
CHANGE_TOOLTIP_LINE5	Wenn du diesen Gegenstand benutzt,
CHANGE_TOOLTIP_LINE6	kannst du dein Item projizieren, ohne Yang einzusetzen.
CHANGE_TOOLTIP_TITLE	Projektion
CHANNEL	Channel
CHANNELING_CANNOT_LOGOUT	Du kannst nicht zurück zum Anmeldebildschirm.
CHANNEL_EMPTY_SERVER	Kein Server
CHANNEL_NORMAL	Channel %d
CHANNEL_NOTIFY_FULL	Dieser Channel ist voll! Wähle bitte einen anderen aus.
CHANNEL_NOT_FIND_INFO	Keine Informationen über den Channel gefunden.
CHANNEL_PVP	Freies Duell
CHANNEL_SELECT_CHANNEL	Wähle den Channel
CHANNEL_SELECT_REGION	Ort für die Rechnungsstellung wählen
CHANNEL_SELECT_SERVER	Server wählen
CHANNEL_STATUS_BUSY	Stark besucht
CHANNEL_STATUS_FULL	Voll
CHANNEL_STATUS_OFFLINE	Unbekannt
CHANNEL_STATUS_RECOMMENDED	Empfohlen
CHANNEL_STATUS_VACANT	Wenig besucht
CHANNEL_TEST_SERVER	Server testen
CHANNEL_TEST_SERVER_ADDR	Test %s:%d
CHARACTER_CREATE_MODE	Charakter erstellen
CHARACTER_NAME	Name
CHARACTER_SELECT_MODE	Charakter auswählen
CHARGE_BEAD_QUESTION	Benötige Animasphären: %d. Möchtest du fortfahren?
CHATTING_SETTING_ADD	Reiter hinzufügen
CHATTING_SETTING_ADD_MAX	Du kannst nicht mehr hinzufügen.
CHATTING_SETTING_CHANGE_TITLE_NAME	Möchtest du den Namen für diesen Chat speichern?
CHATTING_SETTING_CHANGE_TITLE_NOT	Der Name des Allgemein-Chats kann nicht geändert werden.
CHATTING_SETTING_CLEAR_QUESTION	Zurücksetzen?
CHATTING_SETTING_DEL	Feld entfernen
CHATTING_SETTING_LANGUAGE_OFF	Aus
CHATTING_SETTING_LANGUAGE_ON	An
CHATTING_SETTING_QUESTION_DESC_1	1. Lege eine Nachricht für erhaltene EXP für das Töten von Monstern oder verlorene EXP fest.
CHATTING_SETTING_QUESTION_DESC_2	2. Lege eine Nachricht für fallengelassene Beute und verdiente Yang fest.
CHATTING_SETTING_RETURN	Feld wiederherstellen
CHATTING_SETTING_SETTING	Einstellungen
CHAT_ALL	Alle
CHAT_BLOCK	Abblocken
CHAT_DICE_INFO	Wurf
CHAT_GUILD	Gilde
CHAT_INFORMATION	Info
CHAT_INSULT_STRING	Der Satz enthält unzulässige Wörter.
CHAT_LOG	Alte Nachrichten anzeigen [L]
CHAT_LOG_TITLE	Chat-Protokoll
CHAT_MESSAGE_CLIENT_VERSION_NOT_MATCH	Du bist ausgeloggt worden, weil deine Client-Version nicht übereinstimmt. Bitte aktualisiere deine Version und logge dich erneut ein.
CHAT_NORMAL	Normal
CHAT_NOTICE	Server
CHAT_PARTY	Gruppe
CHAT_SEND_CHAT	Chat senden
CHAT_SEND_MEMO	Flüstern senden [Umschalt+Eingabe]
CHAT_SHOUT	Rufen
CHAT_SHOUT_LIMIT	Du kannst nur alle 15 Sekunden rufen.
CHAT_WHISPER	Flüstern
CHEQUE_SYSTEM_DO_NOT_DROP_MONEY	Du kannst kein Geld fallen lassen.
CHEQUE_SYSTEM_PICK_WON	Du hast %s Won erhalten.
CHEQUE_SYSTEM_SELL_PRICE	[Verkaufspreis]
CHEQUE_SYSTEM_UNIT_WON	Won
CHEQUE_SYSTEM_UNIT_YANG	Yang
CHEQUE_SYSTEM_WON	%s Won
CHEQUE_SYSTEM_YANG	%s Yang
CHEQUE_USE_WON	%s Won wurden ausgegeben.
CLEAR_FLOOR	Ebene
CLEAR_TIME	Zeit
CLICK_BEAD_DESCRIPTION	Animasphären werden benötigt, um Eintritt in den Zodiak-Tempel zu erhalten. Begib dich dazu zum Teleporter im Dorf.
ClosePetChangeWndButton	Schließen
COMB_ACCE_IS_CONTINUE_PROCESS	Möchtest du fortfahren?
COMB_ACCE_WARNING_MESSAGE	Bei Erfolg oder Teilerfolg wird das Original zerstört. Der Transfer kann fehlschlagen. Bei Fehlschlag oder Teilerfolg wird die Aufnahmerate des Empfängers reduziert.
COMB_ACCE_WARNING_MESSAGE1	Bei Erfolg oder Teilerfolg wird das Original zerstört.
COMB_ACCE_WARNING_MESSAGE2	Der Transfer kann fehlschlagen.
COMB_ACCE_WARNING_MESSAGE3	Bei Fehlschlag oder Teilerfolg wird die Aufnahmerate des Empfängers reduziert.
COMB_ACCE_WILL_REMOVE_MATERIAL	Bei Erfolg oder Teilerfolg wird das Original zerstört.
COMB_ALREADY_APPEND	Dieser Gegenstand wurde bereits ausgewählt.
COMB_CANT_APPEND_ITEM	Dieser Gegenstand kann nicht verwendet werden.
COMB_CANT_APPEND_SEALED_ITEM	Du kannst keinen seelengebundenen Gegenstand verwenden.
COMB_CANT_BASE_ITEM	Ein Band, das bereits über einen Bonus verfügt, kann nicht Empfänger sein.
COMB_CANT_MATCH_DRAINRATE	Für einen Bonustransfer muss die Aufnahmerate beider Items identisch sein.
COMB_CANT_MATCH_GRADE	Für einen Bonustransfer muss der Grad beider Items identisch sein.
COMB_CANT_MATERIAL_ITEM	Das Original-Item muss über einen Bonus verfügen.
COMB_COST	Preis: %s
COMB_IS_CONTINUE_PROCESS	Möchtest du fortfahren?
COMB_NOTICE	Du kannst keinen privaten Laden öffnen, während du Bücher tauschen möchtest.
COMB_NOTICE_NOT_OPEN	Du kannst keine Bücher tauschen, wenn du einen privaten Laden geöffnet hast.
COMB_NOT_ALL_SLOT_APPEND_ITEM	Du benötigst Original, Empfänger sowie das Transfer-Item, um Boni übertragen zu können.
COMB_NOT_FULL_BOOK	Nein, so werden wir nicht ins Geschäft kommen. Wie ich dir bereits erklärt habe, tausche ich nur, wenn du mir 10 Bücher dafür gibst.
COMB_NOT_ITEM_IN_INVENTORY	Du kannst keine ausgerüsteten Gegenstände verwenden.
COMB_NOT_MEDIUM_ITEM	Dieser Gegenstand kann nicht verwendet werden.
COMB_WILL_REMOVE_MATERIAL	Original wird bei Erfolg zerstört.
COMMUNITY_ADD_BLOCK	%s wurde blockiert.
