ACCE_ABSORB_COST	ÊßÇáíİ ÇáÏãÌ: %d
BATTLE_ROYALE_NOTIFY_APPLICATED	áŞÏ ŞãÊ ÈÇáÊÓÌíá İí ÈÇÊá ÑæíÇá. ÈãÌÑÏ æÌæÏ ÚÏÏ ßÇİò ãä ÇáãÔÇÑßíä¡ íãßäß ÇáÇäÖãÇã.
BATTLE_ROYALE_NOTIFY_ENTRY_CLOSED	Êã ÅÛáÇŞ ÇáÊÓÌíá İí ÈÇÊá ÑæíÇá.
BATTLE_ROYALE_NOTIFY_STARTABLE	íãßäß ÇáÂä ÇáÏÎæá Åáì ÈÇÊá ÑæíÇá. ÇäŞÑ İæŞ ÒÑ ÇáÇÍÊİÇáíÉ ááãÔÇÑßÉ.
BATTLE_ROYALE_NOTIFY_WINNER	áŞÏ ÑÈÍÊ.
BATTLE_ROYALE_PERSONAL_RANK	ÇáÑÊÈÉ ÇáÔÎÕíÉ: %d
BATTLE_ROYALE_QUESTION_USE_INFINITE_STAMINA	åá ÊÑíÏ ÇÓÊÎÏÇã ÇáŞÏÑÉ Úáì ÇáÊÍãøá ÇáÊí áÇ äåÇíÉ áåÇ¿
BATTLE_ROYALE_WHO_KILLED	ÇááÇÚÈ ÇáĞí ŞÊáß: %s
BATTLE_ROYALE_WINNER_1	áŞÏ ÑÈÍÊ ÈÇÊá ÑæíÇá!
BATTLE_ROYALE_WINNER_2	İí ÛÖæä áÍÙÇÊ ŞáíáÉ ÓíÊã äŞáß ÇáİæÑí Åáì ÇáŞÑíÉ.
BEAD	ÇáäÌã ÇáÑæÍí
BEAD_TIME_REMAINING_TO_GET	ÓíÊã ÔÍä ÇáäÌã ÇáÑæÍí İí ÎáÇá: %d ÏŞíŞÉ/ÏŞÇÆŞ.
BELT_RENEWAL_BANN_SIGN	áÇ íãßäß ÇáÇÓÊãÑÇÑ.
BELT_RENEWAL_INVENTORY_FULL	áíÓ áÏíß ãÓÇÍÉ ßÇİíÉ İí ŞÇÆãÉ ÇáÌÑÏ.
BNW_COIN	ÚãáÉ ÇáÚÑÇİ
BUTTON_TOOLTIP_GUILD_SHOP	ÇÓÊÈÏÇá ãíÏÇáíÇÊ ÇáÔÑİ
BUY_LIMIT_LEVEL	ÍÏ ÇáÔÑÇÁ: %s
CANNOT_ATTACK_DEST_IN_SAFE	Åä ÇáÎÕã ÈÚíÏ ÌÏÇğ.
CANNOT_ATTACK_SELF_IN_SAFE	áÇ ÇÓÊØíÚ ãåÇÌãÉ ÇáÎÕã ãä åäÇ.
CANNOT_DOING_PRIVATE_SHOP_OPEN	áÇ íãßäß ÇáŞíÇã ÈÃí ÃãÑ ÂÎÑ ØÇáãÇ ÊŞæã ÈİÊÍ ãÊÌÑ ÎÇÕ.
CANNOT_EQUIP_IN_EXCHANGE	áÇ íãßäß ÇÓÊÈÏÇá ÇáÏÑÚ ÃËäÇÁ ÇáãÊÇÌÑÉ.
CANNOT_EQUIP_IN_SHOP	áÇ íãßäß ÇÓÊÈÏÇá ÇáÏÑÚ ÃËäÇÁ ÇáãÊÇÌÑÉ.
CANNOT_FISHING_RIDE_MOUNT	áÇ íãßäß ÇáÕíÏ ÃËäÇÁ ÑßæÈ ÇáÏÇÈÉ.
CANNOT_FISHING_WHILE_POLY	áÇ íãßäß ÇáÕíÏ ÃËäÇÁ ÇáÊÍæá.
CANNOT_ILLUSTRATIONPAGE_WARP	áÇ íãßäß ÇÓÊÚãÇá ÇáäŞá ÇáÂäí áÈØÇŞÇÊ ÇáæÍæÔ åäÇ.
CANNOT_MOVE_DRAGON_SOUL_WHILE_ATTACK	áÇ íãßäß ÇáŞíÇã ÈĞáß ÃËäÇÁ ÇáÊÍÑß.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	áÇ íãßäß İÊÍ ãÊÌÑ ÎÇÕ Èß İí ãßÇä ÚÇã.
CANNOT_POLY_STATUS	áÇ íãßäß ÇáÊÍæá ÇáÂä.
CANNOT_PVP_MAP_MESSAGE	áÇ íãßäß İÚá Ğáß İí åĞå ÇáãäØŞÉ.
CANNOT_SHOOT_DEST_IN_SAFE	Åä ÇáÎÕã ÈÚíÏ ÌÏÇğ.
CANNOT_SHOOT_EMPTY_ARROW	Åääí ÈÍÇÌÉ Åáì Óåã.
CANNOT_SHOOT_SELF_IN_SAFE	áÇ íãßääí ãåÇÌãÉ ÇáÎÕã ãä åäÇ.
CANNOT_SKILL_APPROACH	ÃäÇ ãÊÃßÏ ÈÃääí áä ÇŞÊÑÈ ãäå.
CANNOT_SKILL_ATTACK	áÇ íãßääí ãåÇÌãÊß.
CANNOT_SKILL_BLUE	áÇ íãßäß ÇÓÊÚãÇá ÑæÍ ÇáĞÆÈ Çáäøíáí ÅĞÇ ßÇäÊ ÑæÍ ÇáĞÆÈ ÇáßÑÒí ãõİÚøáÉ.
CANNOT_SKILL_DEST_IN_SAFE	Åä ÇáÎÕã ÈÚíÏ ÌÏÇğ.
CANNOT_SKILL_EQUIP_FISHING_ROD	Ïæä ÅÓÊÎÏÇã ÕäÇÑÉ ÕíÏ ãÌåÒÉ áÇ íãßäß ÕíÏ ÇáÓãß.
CANNOT_SKILL_HAVE_TO_RIDE	Åääí ÈÍÇÌÉ Åáì ÍÕÇä áÇÓÊÚãÇáå.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	Åääí áÇ Ããáß ŞÇÑæÑÉ İÇÑÛÉ.
CANNOT_SKILL_NEED_POISON_BOTTLE	Åääí áÇ Ããáß ŞÇÑæÑÉ Óã.
CANNOT_SKILL_NEED_TARGET	ãäö ÇáåÏİ¿
CANNOT_SKILL_NOT_ENOUGH_HP	Åääí áÇ Ããáß ãÇ íßİí ãä äŞÇØ ÇáÍíÇÉ!
CANNOT_SKILL_NOT_ENOUGH_SP	Åääí áÇ Ããáß äŞÇØ ÃÓáæÈ ßÇİíÉ!
CANNOT_SKILL_NOT_HORSE_SKILL	áÇ ÃÓÊØíÚ ÇÓÊÚãÇáå ÃËäÇÁ ÑßæÈí ÇáÍÕÇä.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	áÇ ÇÓÊØíÚ ÇÓÊÚãÇá åĞå ÇáãåÇÑÉ ÈåĞÇ ÇáÓáÇÍ.
CANNOT_SKILL_NOT_STANDING_HORSE_SKILL	áÇ íãßäß ÇÓÊÎÏÇã åĞå ÇáãåÇÑÉ Úáì åĞå ÇáÏÇÈÉ.
CANNOT_SKILL_NOT_YET_LEARN	Åääí áã ÃÊÚáã åĞå ÇáãåÇÑÉ ÈÚÏ.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	åĞÇ íÄËÑ İŞØ Úáì ÃÚÖÇÁ ÇáİÑíŞ.
CANNOT_SKILL_ONLY_FOR_CORPSE	Åä åĞÇ íÄËÑ İŞØ Úáì ÇáãæÊì.
CANNOT_SKILL_RED	áÇ íãßäß ÇÓÊÚãÇá ÑæÍ ÇáĞÆÈ ÇáßÑÒí ÅĞÇ ßÇäÊ ÑæÍ ÇáĞÆÈ Çáäøíáí ãõİÚøáÉ.
CANNOT_SKILL_REMOVE_FISHING_ROD	áÇ íãßääí ÇÓÊÚãÇá åĞå ÇáãåÇÑÉ ãÚ ÕäÇÑÉ ÕíÏ.
CANNOT_SKILL_SELF_IN_SAFE	áÇ ÇÓÊØíÚ ÇáãåÇÌãÉ ãä åäÇ.
CANNOT_SKILL_USE_SELF	áÇ íãßääí ÇÓÊÚãÇáå Úáì äİÓí.
CANNOT_SKILL_WAIT_COOLTIME	áÇ íãßääí ÇÓÊÚãÇá åĞå ÇáãåÇÑÉ ÈÚÏ.
CANNOT_UNEQUIP_IN_BATTLE	íÌÈ Ãä ÊŞİ ÈËÈÇÊ áÊÊãßä ãä ÅÓŞÇØ åĞÇ ÇáÈäÏ.
CANNOT_USE	áÇ íãßäß ÇÓÊÚãÇáå.
CANNOT_USE_SUTRA_TO_GOOD_ALIGNMENT	áÇ íãßäß ÇÓÊÎÏÇã ÍÈÉ İÇÕæáíÇ Òä áÃäå áÇ íãßä ÎİÖ áÊÕäíİ ÇáÚÏÇÆí ÇáÎÇÕ Èß ÃßËÑ ãä Ğáß.
CANNOT_WHISPER_BLOCKED_TARGET	íÌÈ ÃæáÇğ ÅÒÇáÉ %s ãä ŞÇÆãÉ ÇáÍÙÑ ÇáÎÇÕÉ Èß.	SA
CANNOT_WHISPER_DEST_REFUSE	ÃÛáŞ %s ÇáåãÓ ÈÇáßÇãá.	SA
CANNOT_WHISPER_NOT_LOGON	Åä %s ÛíÑ ãõÊÕá	SA
CANNOT_WHISPER_SELF_REFUSE	áÇ íãßäß ÇáåãÓ áÃÍÏ ÅĞÇ ÃÛáŞÊ ÇáåãÓ ÈÇáßÇãá.	SNA
CANNOT_WHISPER_TARGET_BLOCKED_ME	%s ŞÇã ÈÍÙÑß.	SA
CANT_ATTACH_DUPLICATED_METIN_STONE	áÇ íãßäß æÖÚ ÃÍÌÇÑ ÔÈÍíÉ ÚÏíÏÉ ãä äİÓ ÇáäæÚ.
CANT_USE_MESSAGE_WHEN_EQUIP	áÇ íãßäß ÊØÈíŞ åĞÇ Úáì ÈäÏ ãÌåÒ.
CATCHKING_EVENT_MESSAGE_CARD_GAIN	ÇÍÕá Úáì ØŞã æÑŞ áÚÈ.
CATCHKING_EVENT_MESSAGE_CARD_PEICE_GAIN	ÇÍÕá Úáì ÃæÑÇŞ áÚÈ ãáßíÉ.
CATCHKING_EVENT_MESSAGE_NOT_ENOUGHT_ITEM	áíÓ áÏíß ãÇ íßİí ãä ÇáÈäæÏ Ãæ ÇáãÇá ááÚÈ.
CATCHKING_EVENT_MESSAGE_NO_MORE_GAIN	áÇ íãßäß ÇáÍÕæá Úáì ÇáãÒíÏ ãä ÃØŞã æÑŞ ÇááÚÈ ÇáãáßíÉ.
CATEGORY_ARMOR_ARMOR_BODY	ÏÑæÚ
CATEGORY_ARMOR_ARMOR_GLOVE	ŞİÇÒÇÊ
CATEGORY_ARMOR_ARMOR_HEAD	ÎæĞ
CATEGORY_ARMOR_ARMOR_SHIELD	ÏÑæÚ
CATEGORY_COSTUMES	ÃÒíÇÁ
CATEGORY_COSTUMES_AURA	ãáÇÈÓ ÇáåÇáÉ
CATEGORY_COSTUMES_COSTUME_BODY	ÃÒíÇÁ
CATEGORY_COSTUMES_COSTUME_HAIR	ÊÓÑíÍÇÊ
CATEGORY_COSTUMES_COSTUME_WEAPON	ØÑÇÒ ÇáÃÓáÍÉ
CATEGORY_COSTUMES_ETC	ÛíÑå
CATEGORY_COSTUMES_SASH	ÃæÔÍÉ
CATEGORY_DRAGON_STONE	ßíãíÇÁ ÍÌÑ ÇáÊäíä
CATEGORY_DRAGON_STONE_DEMON	ÌãÔÊ
CATEGORY_DRAGON_STONE_DRAGON_DIAMOND	ãÇÓ
CATEGORY_DRAGON_STONE_DRAGON_GARNET	ÚŞíŞ
CATEGORY_DRAGON_STONE_DRAGON_JADE	íÔã
CATEGORY_DRAGON_STONE_DRAGON_ONYX	ÌÒÚ
CATEGORY_DRAGON_STONE_DRAGON_RUBY	íÇŞæÊ
CATEGORY_DRAGON_STONE_DRAGON_SAPPHIRE	íÇŞæÊ ÃÒÑŞ
CATEGORY_DRAGON_STONE_ETC	ÛíÑå
CATEGORY_EQUIPMENT_ARMOR	ÏÑæÚ æÚÊÇÏ
CATEGORY_EQUIPMENT_JEWELRY	Íáí
CATEGORY_EQUIPMENT_WEAPON	ÃÓáÍÉ
CATEGORY_ETC	ÛíÑå
CATEGORY_ETC_ALL	Çáßá
CATEGORY_ETC_ETC	ÛíÑå
CATEGORY_ETC_EVENT	ÈäæÏ ÇáÇÍÊİÇáíÉ
CATEGORY_ETC_GIFTBOX	ÕäÇÏíŞ | ÚáÈ
CATEGORY_ETC_MATRIMORY	ÚõÑÓ
CATEGORY_ETC_PARTI	ßÊÈ İäæä ÇáÍÑÈ
CATEGORY_ETC_POLYMORPH	ßÑÉ ÇáÊÍæá
CATEGORY_ETC_RECIPE	ÎáØ ÇáÌÑÚÇÊ
CATEGORY_ETC_SEAL	ÇáÑÈØ ÈÇáÑæÍ
CATEGORY_FISHING_PICK	ÕíÏ ÇáÓãß | ÇÓÊÛáÇá ÇáãäÇÌã
CATEGORY_FISHING_PICK_EQUIPMENT_PICK	ãäÇßíÔ
CATEGORY_FISHING_PICK_ETC	ÛíÑå
CATEGORY_FISHING_PICK_FISHING_POLE	ÕäÇÑÉ ÇáÕíÏ
CATEGORY_FISHING_PICK_FOOD	Óãß
CATEGORY_FISHING_PICK_PICK_BOOK	ßÊÈ ÇáÊÚÏíä
CATEGORY_FISHING_PICK_STONE	ãÚÇÏä
CATEGORY_JEWELRY_ARMOR_EAR	ÍáŞ
CATEGORY_JEWELRY_ARMOR_FOOTS	ÃÍĞíÉ
CATEGORY_JEWELRY_ARMOR_NECK	ŞáÇÆÏ
CATEGORY_JEWELRY_ARMOR_PENDANT	ÊÚæíĞÉ
CATEGORY_JEWELRY_ARMOR_WRIST	ÃÓÇæÑ
CATEGORY_JEWELRY_ITEM_BELT	ÃÍÒãÉ
CATEGORY_MOUNT_PET	ÏæÇÈ | ÑİÇŞ
CATEGORY_MOUNT_PET_CHARGED_PET	ÑİÇŞ
CATEGORY_MOUNT_PET_EGG	ÈíÖ ÇáÑøİÇŞ
CATEGORY_MOUNT_PET_FREE_PET	ÑİÇŞ íãßä ÊØæíÑåÇ
CATEGORY_MOUNT_PET_MOUNT	ÏæÇÈ
CATEGORY_POTION	ÌÑÚÇÊ
CATEGORY_POTION_ABILITY	ãæÇÏ ÇÓÊåáÇßíÉ
CATEGORY_POTION_ETC	ÛíÑå
CATEGORY_POTION_HAIRDYE	ÕÈÇÛÉ ÔÚÑ
CATEGORY_SKILL	ãåÇÑÇÊ
CATEGORY_SKILL_BOOK_OF_OBLIVION	ßõÊÈ ÇáäÓíÇä
CATEGORY_SKILL_ETC	ÛíÑå
CATEGORY_SKILL_HORSE_SKILL_BOOK	ßÊÇÈ ãåÇÑÇÊ ÇáÍÕÇä
CATEGORY_SKILL_PAHAE	ÕÏ | ÏİÚ
CATEGORY_SKILL_SKILL_BOOK	ßõÊÈ ÇáãåÇÑÇÊ
CATEGORY_SORT_LOWEST_ALL_PRICE	ÃÏäì ÓÚÑ ÅÌãÇáí
CATEGORY_SORT_LOWEST_COUNT	ÇáßãíÉ (ãä ÇáÃŞá Åáì ÇáÃÚáì)
CATEGORY_SORT_LOWEST_PER_PRICE	ÃÏäì ÓÚÑ ááæÍÏÉ
CATEGORY_SORT_MAXIMUN_ALL_PRICE	ÃÚáì ÓÚÑ ÅÌãÇáí
CATEGORY_SORT_MAXIMUN_COUNT	ÇáßãíÉ (ãä ÇáÃÚáì Åáì ÇáÃŞá)
CATEGORY_SORT_MAXIMUN_PER_PRICE	ÃÚáì ÓÚÑ ááæÍÏÉ
CATEGORY_SORT_RECENT	ÇáÃÍÏË
CATEGORY_TUNING	ÊÍÓíäÇÊ
CATEGORY_TUNING_ALCHEMY	ÒíÇÏÉ İÑÕ ÇáäÌÇÍ
CATEGORY_TUNING_ETC	ÛíÑå
CATEGORY_TUNING_RESOURCE	ãæÇÏ
CATEGORY_TUNING_STONE	ÍÌÑ ÔÈÍí
