ACCEPT	Tamam
DRAGONSOUL_PAGE_BUTTON_2	Yontulmuş
DRAGONSOUL_PAGE_BUTTON_3	Ender
DRAGONSOUL_PAGE_BUTTON_4	Antika
DRAGONSOUL_PAGE_BUTTON_5	Efsanevi
DRAGONSOUL_PAGE_BUTTON_6	Mitsi
DRAGONSOUL_REFINE_WINDOW_TITLE	Arındırma Paneli
DRAGONSOUL_TAP_TITLE_1	Ejderha Elması
DRAGONSOUL_TAP_TITLE_2	Ejderha Yakutu
DRAGONSOUL_TAP_TITLE_3	Ejderha Yeşimi
DRAGONSOUL_TAP_TITLE_4	Ejderha Safiri
DRAGONSOUL_TAP_TITLE_5	Ejderha Grenası
DRAGONSOUL_TAP_TITLE_6	Ejderha Oniksi
DRAGONSOUL_TAP_TITLE_7	Ejderha Ametisti
DRAGONSOUL_TITLE	Ejderha Taşı Simyası
DRAGON_GATE_AUTO_REINFORCE_TEXT	
DRAGON_GATE_BASE_NAME	
DRAGON_GATE_NAME	
DRAGON_GATE_REINFORCE_TEXT	
DRAGON_GATE_SIDE_NAME	
DRAGON_GATE_SIDE_NAME_BY_INDEX	
DUTCHAUCTION_BUTTON	Git!
DUTCHAUCTION_TITLE	SALE
EMPIRE_A	Shinsoo
EMPIRE_ALL	Hepsi
EMPIRE_B	Chunjo
EMPIRE_C	Jinno
EMPIRE_EXIT	Çıkış
EMPIRE_NEXT	Sonraki
EMPIRE_PREV	Önceki
EMPIRE_SELECT	Seçim
END_TIME	Devam eden etkinlik
ENTER_BATTLE_FIELD	Katıl
EQUIPMENT_SLOT_1	İlk ekipman sayfası
EQUIPMENT_SLOT_2	İkinci ekipman sayfası
EVENT_ALARM_TITLE	Etkinlik genel görünümü
EVENT_NAME_TITLE	İsim
EVENT_REWARD_CHECK	Gör
EVENT_REWARD_LIST_TITLE	Ödül
EVENT_REWARD_TITLE	Ödül
EXCHANGE_ACCEPT	Kabul
EXCHANGE_TITLE	Ticaret
EXIT_BATTLE_FIELD	Savaş Bölgesi'ni terk etmek istediğine emin misin?
EXIT_BATTLE_FIELD_ON_DEAD	Savaş Bölgesi'nden %d puan ile ayrılmak istiyor musun?
EXPIRED_TIME	Etkinlik bitti.
FISHING_RENEWAL_TITLE	Balıkçılık
FLOWER_EVENT_EXCHANGE_BUTTON_TEXT	Değiştir
FLOWER_EVENT_SHOOT_CHRYSANTHEMUM_TEXT	Kasımpatı filizleri
FLOWER_EVENT_SHOOT_DAFFODIL_TEXT	Nergis filizleri
FLOWER_EVENT_SHOOT_LILY_TEXT	Zambak filizleri
FLOWER_EVENT_SHOOT_MAY_BELL_TEXT	İnci çiçeği filizleri
FLOWER_EVENT_SHOOT_SUNFLOWER_TEXT	Ayçiçeği filizleri
FLOWER_EVENT_TITLE	Envanterdeki filizler
FOOTBALL_EVENT_TITLE	Futbol Etkinliği
FOOTBALL_USE_BUTTON	Kullan
FORCE_EVENT_FORCE_MENU_TYPE	Yankılar
FORCE_EVENT_FORCE_PLAY_TIME	Oyun Süresi
FORCE_EVENT_TITLE	Kuvvet Yankıları
FRAGMENT_COMB_TITLE	Beceri kitaplarını birleştir
GAMEOPTION_TITLE	Seçenekler
GAME_EXIT_OBSERVER	İzlemeyi Bitir
GAME_GUILD_WAR_JOIN	Lonca savaşına katıl
GAME_HELP	Yardım
GAME_QUEST	Görevler
GAME_SKILL_UP	Becerileri Geliştir
GAME_STAT_UP	Statü Geliştir
GEMSHOP_LEFTTIME	Kalan süre
GEMSHOP_TITLA	GAYA MAĞAZASI
GOLDEN_LAND_EVENT_POSSESSION_COUNT	Miktar
GOLDEN_LAND_EVENT_TITLE	Primordis keşfi
GOLDEN_LAND_EVENT_TREE_FRUIT_TOOLTIP	Katlarda bulduğun acı dutları Kervan Tüccarı’nda altın dutlarla takas edebilirsin.
GOLDEN_LAND_EVENT_YELLOW_FRUIT_TOOLTIP	Katlarda bulduğun acı dutları Kervan Tüccarı’nda altın dutlarla takas edebilirsin.
GOLDEN_LAND_FIND_GOLDEN_FRUIT_FIND_CARD	Alan aç
GOLDEN_LAND_FIND_GOLDEN_FRUIT_NEED_YELLOW_FRUIT_COUNT	Gerekli altın dutlar:
GOLDEN_LAND_FIND_GOLDEN_FRUIT_REWARD	Ödül
GOLDEN_LAND_FIND_GOLDEN_FRUIT_TITLE	Altın dut avı
GOLDEN_LAND_FIND_GOLDEN_FRUIT_TOOLTIP_RESET	Sıfırla
GOLDEN_LAND_FIND_GOLDEN_FRUIT_YELLOW_FRUIT_COUNT	Sahip olduğun altın dutlar:
GOLDEN_LAND_STAGE_EXIT_BUTTON	Çık
GOLDEN_LAND_STAGE_EXIT_QUESTION	Pes etmek istediğinden emin misin? Altın Topraklar’a geri ışınlanacaksın.
GOLDEN_LAND_STAGE_NUMBER_TOOLTIP_1	1. kat
GOLDEN_LAND_STAGE_NUMBER_TOOLTIP_2	2. kat
GOLDEN_LAND_STAGE_NUMBER_TOOLTIP_3	3. kat
GOLDEN_LAND_STAGE_NUMBER_TOOLTIP_4	4. kat (Vaha)
GOLDEN_LAND_STAGE_NUMBER_TOOLTIP_5	5. kat
GOLDEN_LAND_STAGE_NUMBER_TOOLTIP_6	6. kat
GOLDEN_LAND_STAGE_NUMBER_TOOLTIP_7	7. kat
GOLDEN_LAND_STAGE_NUMBER_TOOLTIP_8	8. kat (Vaha)
GOLDEN_LAND_STAGE_NUMBER_TOOLTIP_9	9. kat
GOLDEN_LAND_STAGE_NUMBER_TOOLTIP_10	10. kat
GOLDEN_LAND_STAGE_NUMBER_TOOLTIP_11	11. kat
GOLDEN_LAND_STAGE_NUMBER_TOOLTIP_12	12. kat (Vaha)
GOLDEN_LAND_STAGE_REMAIN_TIME	%d dakika
GOLDEN_LAND_STAGE_REMAIN_TIME_1M	1 dakikanın altında
GRADE	Sınıf
GRADE_SELECT	Sınıf
GRAPHICONOFF_DROP_ITEM_APPLY	Uygula
GRAPHICONOFF_DROP_ITEM_LEVEL	Eşya düşürme
GRAPHICONOFF_DROP_ITEM_LEVEL1	1
GRAPHICONOFF_DROP_ITEM_LEVEL1_TOOLTIP	Efekt ve ismi göster
GRAPHICONOFF_DROP_ITEM_LEVEL2	2
GRAPHICONOFF_DROP_ITEM_LEVEL2_TOOLTIP	Efekti gizle
GRAPHICONOFF_DROP_ITEM_LEVEL3	3
GRAPHICONOFF_DROP_ITEM_LEVEL3_TOOLTIP	Efekt ve ismi gizle
GRAPHICONOFF_DROP_ITEM_LEVEL4	4
GRAPHICONOFF_DROP_ITEM_LEVEL4_TOOLTIP	Eşyaları gizle ve ismi fare ile göster
GRAPHICONOFF_DROP_ITEM_LEVEL5	5
GRAPHICONOFF_DROP_ITEM_LEVEL5_TOOLTIP	Eşyaları gizle ve ismi gösterme
GRAPHICONOFF_EFFECT_APPLY	Uygula
GRAPHICONOFF_EFFECT_LEVEL	Efektler
GRAPHICONOFF_EFFECT_LEVEL1	1
GRAPHICONOFF_EFFECT_LEVEL1_TOOLTIP	Tümünü göster
GRAPHICONOFF_EFFECT_LEVEL2	2
GRAPHICONOFF_EFFECT_LEVEL2_TOOLTIP	Sadece benimkileri ve canavar efektlerini
GRAPHICONOFF_EFFECT_LEVEL3	3
GRAPHICONOFF_EFFECT_LEVEL3_TOOLTIP	Sadece benimkileri ve diğer oyuncu efektlerini
GRAPHICONOFF_EFFECT_LEVEL4	4
GRAPHICONOFF_EFFECT_LEVEL4_TOOLTIP	Sadece benimkileri göster
GRAPHICONOFF_EFFECT_LEVEL5	5
GRAPHICONOFF_EFFECT_LEVEL5_TOOLTIP	Hiçbirini gösterme
GRAPHICONOFF_NPC_NAME_STATUS	YZK isimleri
GRAPHICONOFF_NPC_NAME_STATUS_OFF	Kapalı
GRAPHICONOFF_NPC_NAME_STATUS_OFF_TOOLTIP	YZK isimlerini gizle
GRAPHICONOFF_NPC_NAME_STATUS_ON	Alıcı
GRAPHICONOFF_NPC_NAME_STATUS_ON_TOOLTIP	YZK isimlerini görüntüle
GRAPHICONOFF_PET_STATUS	Petler
GRAPHICONOFF_PET_STATUS_OFF	Kapalı
GRAPHICONOFF_PET_STATUS_OFF_TOOLTIP	Peti gizle
GRAPHICONOFF_PET_STATUS_ON	Açık
GRAPHICONOFF_PET_STATUS_ON_TOOLTIP	Peti göster
GRAPHICONOFF_PRIVATE_SHOP_APPLY	Uygula
GRAPHICONOFF_PRIVATE_SHOP_LEVEL	Özel dükkanlar
GRAPHICONOFF_PRIVATE_SHOP_LEVEL1	1
GRAPHICONOFF_PRIVATE_SHOP_LEVEL1_TOOLTIP	Tümünü göster
GRAPHICONOFF_PRIVATE_SHOP_LEVEL2	2
GRAPHICONOFF_PRIVATE_SHOP_LEVEL2_TOOLTIP	Geniş çevredeki tümünü göster
GRAPHICONOFF_PRIVATE_SHOP_LEVEL3	3
GRAPHICONOFF_PRIVATE_SHOP_LEVEL3_TOOLTIP	Orta çevredeki tümünü göster
GRAPHICONOFF_PRIVATE_SHOP_LEVEL4	4
GRAPHICONOFF_PRIVATE_SHOP_LEVEL4_TOOLTIP	Yakın çevredeki tümünü göster
GRAPHICONOFF_PRIVATE_SHOP_LEVEL5	5
GRAPHICONOFF_PRIVATE_SHOP_LEVEL5_TOOLTIP	Direkt çevredeki tümünü göster
GUILDWINDOW_BASE_BUFF	Lonca avantajları
GUILD_ATTENDANCE_LOCA1	İlk katılım: 1x Onur madalyası
GUILD_ATTENDANCE_LOCA2	10 veya üstü: 1x Onur madalyası
GUILD_ATTENDANCE_LOCA3	20 veya üstü: 2x Onur madalyası
GUILD_ATTENDANCE_LOCA4	30 veya üstü: 4x Onur madalyası
GUILD_ATTENDANCE_LOCA5	40 veya üstü: 6x Onur madalyası
GUILD_ATTENDANCE_LOCA6	50 veya üstü: 8x Onur madalyası
GUILD_ATTENDANCE_LOCA7	60 veya üstü: 10x Onur madalyası
GUILD_ATTENDANCE_LOCA8	70 veya üstü: 12x Onur madalyası
GUILD_ATTENDANCE_LOCA9	Katılım başlangıcı: her gün saat 5:00'da
GUILD_ATTENDANCE_TITLE	Katılım ödülü
GUILD_BANKINFO_CLOSE	Kapat
GUILD_BANKINFO_NAME	Üye
GUILD_BANKINFO_TITLE	Lonca deposu geçmişi
GUILD_BANKINFO_TYPE	Nesne/Para birimi
GUILD_BANKINFO_USETYPE	Eylem
GUILD_BANK_CLOSE	Kapat
GUILD_BANK_INFO	Depo s.:
GUILD_BASEINFO_BANK	Lonca deposu
GUILD_BASEINFO_BANKLASTOUT	Son eşya alımı
GUILD_BASEINFO_BUILDING	Lonca binası
GUILD_BASEINFO_FACTORY	Lonca demircisi
GUILD_BASEINFO_GUILDLAND	Lonca bölgesi
GUILD_BASEINFO_LANDSCAPE	Diğer
GUILD_BASEINFO_LOCALE	Konum
GUILD_BASEINFO_MONEY	Hesap bakiyesi
GUILD_BASEINFO_MONEYBANKINFO	Lonca bankası bilgisi
GUILD_BASEINFO_MONEYLASTOUT	Son para çekme
GUILD_BASEINFO_POWER	Güç Sunağı
GUILD_BASEINFO_SMEITER	Lonca simyacısı
GUILD_BASEINFO_TITLE	Bölge bilgileri
GUILD_BASENAME	Temel isim
GUILD_BATTLE_AREA_MOVE_BUTTON	Işınlanma
GUILD_BATTLE_RANK_BOARD	Sıralama listesi
GUILD_BATTLE_RANK_BOARD_MOB_KILL	MOB\ndevirme
GUILD_BATTLE_RANK_BOARD_NAME	İsim
GUILD_BATTLE_RANK_BOARD_PC_DEAD	OK\nöldürme
GUILD_BATTLE_RANK_BOARD_PC_KILL	OK-\ndevirme
GUILD_BATTLE_RANK_BOARD_RANK	Sıra
GUILD_BATTLE_RANK_BOARD_TEAM	Takım
GUILD_BATTLE_RESULT_BOARD	Lonca Savaşı Sonuçları
GUILD_BATTLE_RESULT_BOARD_EXIT	Çık
GUILD_BATTLE_RESULT_BOARD_RANKING	Sıra
GUILD_BATTLE_STATUS_BOARD	Sıralama Listesi
GUILD_BOARD_ID	Isim
GUILD_BOARD_REFRESH	Yenile
GUILD_BOARD_TEXT	Mesaj
GUILD_BUILDING_CATEGORY_TITLE	İnşaat Birimleri
GUILD_BUILDING_CHANGE	Değiştir
GUILD_BUILDING_CHANGE_DELETE	Sil
GUILD_BUILDING_CHANGE_FIX	Lonca değişikliği
GUILD_BUILDING_CHANGE_LIST	Lonca nesneleri listesi
GUILD_BUILDING_DIRECTION	Yön
GUILD_BUILDING_FIX	Değiştir
GUILD_BUILDING_GRADE	Sıra
GUILD_BUILDING_INFO	Yapılar ve masraf bilgileri
GUILD_BUILDING_LIST_TITLE	Bina Listesi
GUILD_BUILDING_LOG	dilb kök
GUILD_BUILDING_NAME	Bina ismi
GUILD_BUILDING_OPERATE	Yönet
GUILD_BUILDING_PLY	Kontrplak
GUILD_BUILDING_POSITION	Pozisyon
GUILD_BUILDING_PREVIEW	Önizleme
GUILD_BUILDING_PRICE	Fiyat
GUILD_BUILDING_REFRESH	Yenile
GUILD_BUILDING_STONE	Taş
GUILD_BUILDING_TITLE	Lonca Meclis Binaları
GUILD_CRYSTAL	Kristal
GUILD_DEPOSIT	Depozit
GUILD_DONATE_BUTTON_OVER_TEXT	Rastgele eşya
GUILD_DONATE_COUNT	Mevcut bağışlar: %d/%d
GUILD_DONATE_GET_MEDAL_OF_HONOR	%d
GUILD_DONATE_GUILD_EXP	Lonca EXP
GUILD_DONATE_HIGH_MATERIAL	Büyük bağış
GUILD_DONATE_MEDAL_OF_HONOR	Onur madalyası
GUILD_DONATE_MIDDLE_MATERIAL	Orta bağış
GUILD_DONATE_MY_MEDAL_OF_HONOR	Onur madalyalarım
GUILD_DONATE_NORMAL_MATERIAL	120.000 Yang
GUILD_DONATE_TAB_HIGH	Büyük bağış
GUILD_DONATE_TAB_MIDDLE	Orta bağış
GUILD_DONATE_TAB_NORMAL	Küçük bağış
GUILD_DONATE_TITLE	Bağış EXP
GUILD_DRAGONLAIR_RANKING	En İyiler Listesi
GUILD_DRAGONLAIR_RANKING_COUNT	Sıra
GUILD_DRAGONLAIR_RANKING_MEMBER	Üyeler
GUILD_DRAGONLAIR_RANKING_NAME	Lonca
GUILD_DRAGONLAIR_RANKING_TIME	Zaman
GUILD_DROP_RESOURCE1	Burada
GUILD_DROP_RESOURCE2	Düşen Kaynak
GUILD_GEM	Değerli Taş
GUILD_GRADE_CHANGE_GRADE_NAME	Yeni rütbe ismi
GUILD_GRADE_NUM	No.
GUILD_GRADE_PERMISSION_BANK	Lonca bankası ve lonca deposunu kullanabilir
GUILD_GRADE_PERMISSION_DELETE	Loncadan çıkar
GUILD_GRADE_PERMISSION_JOIN	Loncaya oyuncular alabilir
GUILD_GRADE_PERMISSION_NOTICE	Lonca notlarını asabilir
GUILD_GRADE_PERMISSION_SKILL	Lonca becerileri
GUILD_GRADE_PERMISSION_WAR	Savaşçı olarak katılan üyeleri seçebilir.
GUILD_GRADE_RANK	Sıra
GUILD_GRADE_WRITE	Yaz
GUILD_INFO	Lonca Bilgisi
GUILD_INFO_CUR_EXP	Tecrübe
GUILD_INFO_DECALRE_WAR	Savaş İlanı
GUILD_INFO_ENEMY_GUILD	Düşman Lonca
GUILD_INFO_ENEMY_GUILD_EMPTY	Yok
GUILD_INFO_LEVEL	Lonca Seviyesi
GUILD_INFO_MARK	Lonca İmzası
