ACCE_ABSORB_COST	Êüóôïò óõíäõáóìïı: %d
ATTR_6TH_7TH_ADD_QUESTION1	Äåí ìğïñåßò íá ÷ñçóéìïğïéŞóåéò áõôü ôï áíôéêåßìåíï üóï ãßíåôáé ğñïóèŞêç ìğüíïõò.
ATTR_6TH_7TH_ADD_QUESTION2	Èİëåéò íá óô' áëŞèåéá íá ğñïóèİóåéò ôï ìğüíïõò;
ATTR_6TH_7TH_CHANGE_FAIL	Äåí ìğïñåßò íá áëëÜîåéò ôï ìğüíïõò.
ATTR_6TH_7TH_DESC1	á. Ğñİğåé íá ğñïóèİóåéò ôá õëéêÜ ğïõ áğáéôïıíôáé ãéá ôçí ğñïóèŞêç ôïõ 6ïõ êé 7ïõ ìğüíïõò óôï áíôéêåßìåíï.
ATTR_6TH_7TH_DESC2	â. ÊÜèå èñáıóìá áõîÜíåé ôçí ğéèáíüôçôá åğéôõ÷ßáò êáôÜ 2%.
ATTR_6TH_7TH_DESC3	ã. ×ñçóéìïğïßçóå ìéá óõìğëŞñùóç ãéá íá áõîŞóåéò êé Üëëï ôçí ğéèáíüôçôá åğéôõ÷ßáò.
ATTR_6TH_7TH_DESC4	ä. Ç ğñïóèŞêç ìğüíïõò áğáéôåß 24 şñåò. Ï NPC êñáôÜåé ôï áíôéêåßìåíï óôï ïğïßï èá ğñïóôåèåß ôï ìğüíïõò. Ìüëéò ïëïêëçñùèåß ç äéáäéêáóßá, ìğïñåßò íá ôï ğáñáëÜâåéò.
ATTR_6TH_7TH_POSSIBILITY	Ìğïñåßò íá ğñïóèİóåéò İíá åğéğëİïí ìğüíïõò.
ATTR_6TH_7TH_TOTAL_SUCCESS_PERCENT	Ğéèáíüôçôá åğéôõ÷ßáò: %.1f%%
AURA_CLEAR_CANNOT_USE_SEALED_ITEM	Ïé áîßåò åíüò øõ÷éêÜ äåìİíïõ áíôéêåéìİíïõ äåí ìğïñïıí íá áëëÜîïõí.
AURA_CLEAR_QUESTION_WHEN_USE	Èİëåéò íá áöáéñİóåéò ôéò áğïññïöçìİíåò áîßåò; Äåí ìğïñïıí íá áğïêáôáóôáèïıí.
AURA_DRAIN_PER	Ğéèáíüôçôá áğïññüöçóçò %.1f%%
AURA_EVOLUTION_GOLD	[Áıñá] Äåí õğÜñ÷åé áñêåôü Yang ãéá åîİëéîç.
AURA_IMPOSSIBLE_ABSORBITEM	[Áıñá] Äåí ìğïñïıí íá ìåôáöåñèïıí Üëëá ìğüíïõò.
AURA_IMPOSSIBLE_EQUIPITEM	[Áıñá] Ôá åîïğëéóìİíá áíôéêåßìåíá äåí ìğïñïıí íá ìåôáöİñïíôáé.
AURA_IMPOSSIBLE_EVOLUTION_ITEM	[Áıñá] Äåí ìğïñåß íá åîåëé÷èåß.
AURA_IMPOSSIBLE_EVOLUTION_ITEMCOUNT	[Áıñá] Ôá áíôéêåßìåíá äåí åßíáé áñêåôÜ ãéá íá ãßíåé åîİëéîç.
AURA_IMPOSSIBLE_GROWTHITEM	[Áıñá] Äåí ìğïñåß íá âåëôéùèåß.
AURA_IMPOSSIBLE_REFINEITEM	[Áıñá] Ìüíï Ñïı÷á áıñáò, Áóğßäá, Ğåñéäİñáéï, Óêïõëáñßêéá êáé ĞåñéêÜñğéï.
AURA_IMPOSSIBLE_SEALITEM	[Áıñá] Ôá øõ÷éêÜ äåìİíá áíôéêåßìåíá äåí ìğïñïıí íá ìåôáöİñïíôáé.
AURA_ITEM_NEED_REGISTER	[Áıñá] Ğñİğåé íá ğñïóôåèïıí áíôéêåßìåíá.
AURA_LEVEL_STEP	Åğ. %d (âáèìßäá %d)
AURA_MAX_LEVEL	[Áıñá] Ôá ñïı÷á áıñáò âñßóêïíôáé óôï ìİãéóôï åğßğåäï.
AURA_NOTICE_DEL_ABSORDITEM	[Áıñá] Ôï ìåôáöåñìİíï áíôéêåßìåíï èá êáôáóôñáöåß.
AURA_OPEN_OTHER_WINDOW	Äåí ìğïñåßò íá ôï êÜíåéò áõôü üóï åßíáé áíïé÷ôü ôï ğáñÜèõñï âåëôßùóçò, åîİëéîçò Ş ìåôáöïñÜò áîéşí.
AURA_POSSIBLE_AURAITEM	[Áıñá] Ìüíï Ñïı÷á áıñáò.
AURA_POSSIBLE_REGISTER_AURAITEM	[Áıñá] Ğñİğåé íá ğñïóôåèïıí ğñşôá Ñïı÷á áıñáò.
AURA_TITLE_ABSORB	ÌåôáöïñÜ áîéşí óå Ñïı÷á áıñáò.
AURA_TITLE_EVOLUTION	Åîİëéîç Ñïı÷ùí áıñáò
AURA_TITLE_GROWTH	Âåëôßùóç Ñïı÷ùí áıñáò
AURA_TOOLTIP_EXP	ÅÌĞ (%d%% / 100%%)
AURA_TOOLTIP_LEVEL	Åğ. %d (âáèìßäá %d) (Ğéèáíüôçôá áğïññüöçóçò %.1f%%)
AURA_TOOLTIP_NEED_YANG	%s Yang
AURA_TOOLTIP_NEXT	Íİï
AURA_TOOLTIP_NOW	Ôşñá
AURA_TOOLTIP_RESOURCE	Êáôáíáëùôéêü áãáèü
AURA_TOOLTIP_RESOURCE_ITEM	%s * %d
AUTO_HUNTING_MSG_CANNOT_CHANGE_NON_WEAPON	Áõôü äåí ìğïñåßò íá ôï öïñİóåéò üóï åßíáé åíåñãü ôï Áõôüìáôï êõíŞãé.
AUTO_HUNTING_MSG_CANNOT_START_WITHOUT_WEAPON	¼óï öïñÜò áõôü ôï áíôéêåßìåíï, äåí ìğïñåßò íá ÷ñçóéìïğïéŞóåéò ôï Áõôüìáôï êõíŞãé.
AUTO_HUNTING_OPTION_BOSS	Áñ÷çãüò
AUTO_HUNTING_OPTION_KING	Åğßğåäï 5
AUTO_HUNTING_OPTION_KNIGHT	Åğßğåäï 3
AUTO_HUNTING_OPTION_PAWN	Åğßğåäï 1
AUTO_HUNTING_OPTION_STONE	Ëßèïò Metin
AUTO_HUNTING_OPTION_S_KNIGHT	Åğßğåäï 4
AUTO_HUNTING_OPTION_S_PAWN	Åğßğåäï 2
AUTO_TOOLTIP_CLEAR	Ìçäåíéóìüò
AUTO_TOOLTIP_LINE1	Éêáíüôçôåò: Åğßëåîå éêáíüôçôåò ãéá ôç ìÜ÷ç êáé ôñÜâá ôéò óôéò èİóåéò. (Ğñïíïìéïı÷ï)
AUTO_TOOLTIP_LINE2	Ğñïóï÷Ş: Ìğïñåßò íá êáèïñßóåéò ôï äéÜóôçìá åíåñãïğïßçóçò (óå äåõôåñüëåğôá) êÜôù áğü ôçí êÜèå éêáíüôçôá.
AUTO_TOOLTIP_LINE3	Ößëôñá: Åğßëåîå ößëôñá ãéá ôç ìÜ÷ç êáé ôñÜâá ôá óôéò èİóåéò. (Ğñïíïìéïı÷ï)
AUTO_TOOLTIP_LINE4	Ğñïóï÷Ş: Ôá ößëôñá HP êáé SP åíåñãïğïéïıíôáé üôáí ç áîßá ğİóåé êÜôù áğü ôï ğïóïóôü ğïõ áíáãñÜöåôáé êÜôù áğü ôï ößëôñï.
AUTO_TOOLTIP_LINE5	Óçìåßùóç: Ç áõôüìáôç ÷ñŞóç ÉêáíïôŞôùí, Ößëôñùí êáé Áíáãİííçóçò ìğïñåß íá åíåñãïğïéçèåß óôï Item shop.
AUTO_TOOLTIP_LINE6	5. Ôá ößëôñá êáé ôá áíôéêåßìåíá ğïõ åßíáé åğéëåãìİíá, ÷ñçóéìïğïéïıíôáé áõôüìáôá ìåôÜ áğü ôç ëŞîç ôïõ buff, ÷ùñßò íá ğñïâÜëëåôáé õğüëïéğïò ÷ñüíïò.
AUTO_TOOLTIP_LINE7	6. ĞÜíù áğü İíá âİëïò äßğëá óôï «Åğßèåóç» ìğïñåßò íá êáèïñßæåéò ğüóï éó÷õñÜ èá åßíáé ôá ôİñáôá, óôá ïğïßá èá åğéôßèåóáé (+/- åğßğåäï ó÷åôéêÜ ìå ôï äéêü óïõ åğßğåäï).
AUTO_TOOLTIP_LINE8	7. Áğü İíá âİëïò äßğëá óôï «Åóôßáóç» ìğïñåßò íá êáèïñßóåéò óå ğïéá áğüóôáóç èİëåéò íá åğéôåèåßò óå ôİñáôá.
AUTO_TOOLTIP_TITLE	ÂïŞèåéá Áõôüìáôïõ êõíçãéïı
BATTLE_MAP_NAME_AREA_1	Æşíç 1
BATTLE_MAP_NAME_AREA_2	Æşíç 2
BATTLE_MAP_NAME_AREA_3	Æşíç 3
BATTLE_MAP_NAME_AREA_4	Æşíç 4
BATTLE_MAP_NAME_AREA_5	Æşíç 5
BATTLE_MAP_NAME_AREA_6	Æşíç 6
BATTLE_MAP_NAME_AREA_7	Æşíç 7
BATTLE_MAP_NAME_AREA_8	Æşíç 8
BATTLE_MAP_NAME_AREA_9	Æşíç 9
BATTLE_POINT	Ğüíôïé ìÜ÷çò
BATTLE_ROYALE_ALIVE_COUNT	Åğéæşíôåò: %d
BATTLE_ROYALE_APPLICATION_TITLE	Battle Royale
BATTLE_ROYALE_CANNOT_OPEN_MALL	Áõôü äåí ìğïñåßò íá ôï áíïßîåéò åäş.
BATTLE_ROYALE_KILL_COUNT	Íéêçìİíïé áíôßğáëïé: %d
BATTLE_ROYALE_MAINBUTTON_APPLICATION	Óõììåôï÷Ş
BATTLE_ROYALE_MAINBUTTON_CANCEL	Áêıñùóç
BATTLE_ROYALE_MAINBUTTON_EXIT	¸îïäïò
BATTLE_ROYALE_MAINBUTTON_STARTABLE	Åêêßíçóç
BATTLE_ROYALE_NOTIFY_APPLICATED	ÅããñÜöçêåò ãéá ôï Battle Royale. Ìüëéò óõãêåíôñùèïıí áñêåôïß óõììåôİ÷ïíôåò, ìğïñåßò íá ìğåéò.
BATTLE_ROYALE_NOTIFY_ENTRY_CLOSED	Ç åããñáöŞ ãéá ôï Battle Royale İëçîå.
BATTLE_ROYALE_NOTIFY_STARTABLE	Ôşñá ìğïñåßò íá ìğåéò óôï Battle Royale. ÊÜíå êëéê óôçí åğéöÜíåéá event, ãéá íá óõììåôÜó÷åéò.
BATTLE_ROYALE_NOTIFY_WINNER	Êİñäéóåò.
BATTLE_ROYALE_PERSONAL_RANK	ĞñïóùğéêŞ èİóç: %d
BATTLE_ROYALE_QUESTION_USE_INFINITE_STAMINA	Èİëåéò íá ÷ñçóéìïğïéŞóåéò áôåëåßùôç áíôï÷Ş;
BATTLE_ROYALE_WHO_KILLED	Ï ğáßêôçò ğïõ óå óêüôùóå: %s
BATTLE_ROYALE_WINNER_1	Êİñäéóåò ôï Battle Royale.
BATTLE_ROYALE_WINNER_2	Óå ëßãá äåõôåñüëåğôá èá ôçëåìåôáöåñèåßò óôï ÷ùñéü.
BEAD	Áíéìáóöáßñá
BEAD_TIME_REMAINING_TO_GET	Öüñôùóç Áíéìáóöáßñáò óå: %d ëåğ.
BELT_RENEWAL_BANN_SIGN	Äåí ìğïñåßò íá óõíå÷ßóåéò.
BELT_RENEWAL_INVENTORY_FULL	Äåí İ÷åéò áñêåôü ÷şñï óôïí êáôÜëïãü óïõ.
BNW_COIN	Íüìéóìá ÌÜíôç
BUTTON_TOOLTIP_GUILD_SHOP	Åìğüñéï Ìåôáëëßùí èÜññïõò
BUY_LIMIT_LEVEL	¼ñéï áãïñÜò: %s
CANNOT_ATTACK_DEST_IN_SAFE	Ï áíôßğáëïò åßíáé ğïëı ìáêñéÜ.
CANNOT_ATTACK_SELF_IN_SAFE	Äåí ìğïñş íá åğéôåèş óôïí áíôßğáëï áğü åäş.
CANNOT_DOING_PRIVATE_SHOP_OPEN	Äåí ìğïñåßò íá êÜíåéò ôßğïôá Üëëï üóï İ÷åéò áíïé÷ôü ôï éäéùôéêü êáôÜóôçìá.
CANNOT_EQUIP_IN_EXCHANGE	Äå ìğïñåßò íá áëëÜîåéò ğáíïğëßá åíş êÜíåéò åìğüñéï.
CANNOT_EQUIP_IN_SHOP	Äåí ìğïñåßò íá áëëÜîåéò ğáíïğëßá åíş êÜíåéò åìğüñéï.
CANNOT_FISHING_RIDE_MOUNT	Äåí ìğïñåßò íá øáñİøåéò ôçí şñá ğïõ âñßóêåóáé ğÜíù óå æşï éğğáóßáò.
CANNOT_FISHING_WHILE_POLY	Äåí ìğïñåßò íá øáñİøåéò üóï åßóáé ìåôáìïñöùìİíïò.
CANNOT_ILLUSTRATIONPAGE_WARP	Äåí ìğïñåßò íá ÷ñçóéìïğïéŞóåéò åäş ôçí ÔçëåìåôáöïñÜ Êáñôşí ôåñÜôùí.
CANNOT_MOVE_DRAGON_SOUL_WHILE_ATTACK	Äåí ìğïñåßò íá ôï êÜíåéò áõôü üóï êéíåßóáé.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	Äåí ìğïñåßò íá áíïßîåéò ôçí éäéùôéêŞ áğïèŞêç óå äçìüóéï ÷şñï.
CANNOT_POLY_STATUS	Äåí ìğïñåßò íá ìåôáìïñöùèåßò áõôŞí ôç óôéãìŞ.
CANNOT_PVP_MAP_MESSAGE	Äåí ìğïñåßò íá ôï êÜíåéò áõôü óå áõôŞí ôçí ğåñéï÷Ş.
CANNOT_SHOOT_DEST_IN_SAFE	Ï å÷èñüò åßíáé ğïëı ìáêñéÜ.
CANNOT_SHOOT_EMPTY_ARROW	×ñåéÜæïìáé İíá Âİëïò.
CANNOT_SHOOT_SELF_IN_SAFE	Äåí ìğïñş íá åğéôåèş óôïí áíôßğáëï áğü åäş.
CANNOT_SKILL_APPROACH	Äåí ìğïñş íá ğëçóéÜóù ğåñéóóüôåñï.
CANNOT_SKILL_ATTACK	Äåí ìğïñş íá åğéôåèş ó' áõôü.
CANNOT_SKILL_BLUE	¼ôáí åßíáé åíåñãïğïéçìİíç ç Øõ÷Ş Ğïñöõñüëõêïõ, äåí ìğïñåßò íá ÷ñçóéìïğïéŞóåéò ôçí Øõ÷Ş Ëïõëáêüëõêïõ.
CANNOT_SKILL_DEST_IN_SAFE	Ï å÷èñüò åßíáé ğïëı ìáêñéÜ.
CANNOT_SKILL_EQUIP_FISHING_ROD	Äåí ìğïñåßò íá ğéÜóåéò øÜñéá áí äåí İ÷åéò åîïğëßóåé ÊáëÜìé.
CANNOT_SKILL_HAVE_TO_RIDE	×ñåéÜæïìáé ğñşôá İíá Üëïãï ãéá íá ìğïñİóù íá ôï ÷ñçóéìïğïéŞóù áõôü.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	Äåí İ÷ù Üäåéï ÌğïõêÜëé.
CANNOT_SKILL_NEED_POISON_BOTTLE	Äåí İ÷ù ÌğïõêÜëé Äçëçôçñßïõ.
CANNOT_SKILL_NEED_TARGET	Ğïéïò åßíáé ï óôü÷ïò;
CANNOT_SKILL_NOT_ENOUGH_HP	Äåí İ÷ù áñêåôïıò HP!
CANNOT_SKILL_NOT_ENOUGH_SP	Äåí İ÷ù áñêåôïıò SP!
CANNOT_SKILL_NOT_HORSE_SKILL	Äåí ìğïñş íá ôï ÷ñçóéìïğïéŞóù åíş éğğåıù.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	Äíå ìğïñş íá ÷ñçóéìïğïéŞóù áõôŞ ôçí Éêáíüôçôá ìå áõôü ôï üğëï.
CANNOT_SKILL_NOT_STANDING_HORSE_SKILL	Äåí ìğïñåßò íá ÷ñçóéìïğïéŞóåéò áõôŞí ôçí éêáíüôçôá óå áõôü ôï Æşï éğğáóßáò.
CANNOT_SKILL_NOT_YET_LEARN	Äåí İ÷ù ìÜèåé áõôŞ ôçí Éêáíüôçôá.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	Áõôü åğçñåÜæåé ìüíï ìİëç ôçò ïìÜäáò.
CANNOT_SKILL_ONLY_FOR_CORPSE	Áõôü åğçñåÜæåé ìüíï íåêñïıò.
CANNOT_SKILL_RED	¼ôáí åßíáé åíåñãïğïéçìİíç ç Øõ÷Ş Ëïõëáêüëõêïõ, äåí ìğïñåßò íá ÷ñçóéìïğïéŞóåéò ôçí Øõ÷Ş Ğïñöõñüëõêïõ.
CANNOT_SKILL_REMOVE_FISHING_ROD	Äåí ìğïñş íá ÷ñçóéìïğïéŞóù áõôŞ ôçí Éêáíüôçôá ìå ÊáëÜìé Øáñİìáôïò.
CANNOT_SKILL_SELF_IN_SAFE	Äå ìğïñş íá åğéôåèş áğü åäş.
CANNOT_SKILL_USE_SELF	Äåí ìğïñş íá ôï ÷ñçóéìïğïéŞóù óôïí åáõôü ìïõ.
CANNOT_SKILL_WAIT_COOLTIME	Äåí ìğïñş íá ÷ñçóéìïğïéŞóù áõôŞ ôçí Éêáíüôçôá áêüìç.
CANNOT_UNEQUIP_IN_BATTLE	Ğñİğåé íá åßóáé áêßíçôïò ãéá íá áöáéñİóåéò áõôü ôï áíôéêåßìåíï.
CANNOT_USE	Äåí ìğïñåßò íá ôï ÷ñçóéìïğïéŞóåéò.
CANNOT_USE_SUTRA_TO_GOOD_ALIGNMENT	Äåí ìğïñåßò íá ÷ñçóéìïğïéŞóåéò ôï Öáóüëé Zen, åğåéäŞ ôï êáêü Şèïò äåí ìğïñåß íá ìåéùèåß Üëëï.
CANNOT_WHISPER_BLOCKED_TARGET	Ï %s ğñİğåé ğñşôá íá áöáéñåèåß áğü ôç ëßóôá áğïêëåéóìïı óïõ.	SA
CANNOT_WHISPER_DEST_REFUSE	Ï %s İ÷åé áğåíåñãïğïéŞóåé ôïõò øéèıñïõò.	SA
CANNOT_WHISPER_NOT_LOGON	Ï %s äåí åßíáé óõíäåäåìİíïò.	SA
CANNOT_WHISPER_SELF_REFUSE	Äå ìğïñåßò íá øéèõñßóåéò áí İ÷åéò áğåíåñãïğïéŞóåé ôïõò øéèıñïõò.	SNA
CANNOT_WHISPER_TARGET_BLOCKED_ME	Ï ğáßêôçò %s óå İ÷åé áğïêëåßóåé.	SA
CANT_ATTACH_DUPLICATED_METIN_STONE	Äåí ìğïñåßò íá óõíäİóåéò ğåñéóóüôåñïõò Ëßèïõò Ğíåıìáôïò ôïõ ßäéïõ ôığïõ.
CANT_USE_MESSAGE_WHEN_EQUIP	Äåí ìğïñåßò íá ôï ÷ñçóéìïğïéŞóåéò áõôü óå İíá åîïğëéóìİíï áíôéêåßìåíï.
CATCHKING_EVENT_MESSAGE_CARD_GAIN	ÁğïêôÜò ÂáóéëéêŞ ôñÜğïõëá.
CATCHKING_EVENT_MESSAGE_CARD_PEICE_GAIN	ÁğïêôÜò Âáóéëéêİò ÊÜñôåò.
CATCHKING_EVENT_MESSAGE_NOT_ENOUGHT_ITEM	Äåí İ÷åéò áñêåôÜ áíôéêåßìåíá Ş ÷ñŞìáôá, ãéá íá ğáßîåéò.
CATCHKING_EVENT_MESSAGE_NO_MORE_GAIN	Äåí ìğïñåßò íá áğïêôŞóåéò Üëëåò Âáóéëéêİò ÔñÜğïõëåò.
CATEGORY_ARMOR_ARMOR_BODY	Ğáíïğëßåò
CATEGORY_ARMOR_ARMOR_GLOVE	ÃÜíôéá
CATEGORY_ARMOR_ARMOR_HEAD	ÊñÜíç
CATEGORY_ARMOR_ARMOR_SHIELD	Áóğßäåò
CATEGORY_COSTUMES	Öïñåóéİò
CATEGORY_COSTUMES_AURA	Ñïı÷á Áıñáò
CATEGORY_COSTUMES_COSTUME_BODY	Öïñåóéİò
CATEGORY_COSTUMES_COSTUME_HAIR	Êïììşóåéò
CATEGORY_COSTUMES_COSTUME_WEAPON	Åìöáíßóåéò ¼ğëùí
CATEGORY_COSTUMES_ETC	¢ëëá
CATEGORY_COSTUMES_SASH	Êïñäİëåò ¿ìùí
CATEGORY_DRAGON_STONE	Áë÷çìåßá Äñáêüëéèùí
CATEGORY_DRAGON_STONE_DEMON	Áìİèõóôïò
CATEGORY_DRAGON_STONE_DRAGON_DIAMOND	ÄéáìÜíôé
CATEGORY_DRAGON_STONE_DRAGON_GARNET	ÃñáíÜôçò
CATEGORY_DRAGON_STONE_DRAGON_JADE	Íåöñßôçò
CATEGORY_DRAGON_STONE_DRAGON_ONYX	¼íõ÷áò
CATEGORY_DRAGON_STONE_DRAGON_RUBY	Ñïõìğßíé
CATEGORY_DRAGON_STONE_DRAGON_SAPPHIRE	Æáöåßñé
CATEGORY_DRAGON_STONE_ETC	¢ëëá
CATEGORY_EQUIPMENT_ARMOR	Åîïğëéóìïß
CATEGORY_EQUIPMENT_JEWELRY	ÊïóìŞìáôá
CATEGORY_EQUIPMENT_WEAPON	¼ğëá
CATEGORY_ETC	¢ëëá
CATEGORY_ETC_ALL	¼ëá
CATEGORY_ETC_ETC	¢ëëá
CATEGORY_ETC_EVENT	Áíôéêåßìåíá event
CATEGORY_ETC_GIFTBOX	Óåíôïıêéá | ÊïõôéÜ
CATEGORY_ETC_MATRIMORY	ÃÜìïò
CATEGORY_ETC_PARTI	Âéâëßá Ôİ÷íçò Ğïëİìïõ
CATEGORY_ETC_POLYMORPH	Âüëïé Ğïëõìïñößáò
CATEGORY_ETC_RECIPE	ĞáñáóêåõŞ ößëôñïõ
CATEGORY_ETC_SEAL	Øõ÷éêü äİóéìï
CATEGORY_FISHING_PICK	ØÜñåìá | Åîüñõîç
CATEGORY_FISHING_PICK_EQUIPMENT_PICK	Áîßíåò
CATEGORY_FISHING_PICK_ETC	¢ëëá
CATEGORY_FISHING_PICK_FISHING_POLE	ÊáëÜìéá Øáñİìáôïò
CATEGORY_FISHING_PICK_FOOD	ØÜñéá
CATEGORY_FISHING_PICK_PICK_BOOK	Âéâëßá Åîüñõîçò
CATEGORY_FISHING_PICK_STONE	Ìåôáëëåıìáôá
CATEGORY_JEWELRY_ARMOR_EAR	Óêïõëáñßêéá
CATEGORY_JEWELRY_ARMOR_FOOTS	Ğáğïıôóéá
CATEGORY_JEWELRY_ARMOR_NECK	Ğåñéäİñáéá
CATEGORY_JEWELRY_ARMOR_PENDANT	Öõëá÷ôü
CATEGORY_JEWELRY_ARMOR_WRIST	Âñá÷éüëéá
CATEGORY_JEWELRY_ITEM_BELT	Æşíåò
CATEGORY_MOUNT_PET	Æşá éğğáóßáò | Êáôïéêßäéá
CATEGORY_MOUNT_PET_CHARGED_PET	Êáôïéêßäéá
CATEGORY_MOUNT_PET_EGG	ÁâãÜ êáôïéêéäßùí
CATEGORY_MOUNT_PET_FREE_PET	Êáôïéêßäéá ìå åğßğåäá
CATEGORY_MOUNT_PET_MOUNT	Æşá éğğáóßáò
CATEGORY_POTION	Ößëôñá
CATEGORY_POTION_ABILITY	ÊáôáíáëùôéêÜ áãáèÜ
CATEGORY_POTION_ETC	¢ëëá
CATEGORY_POTION_HAIRDYE	×ñşìáôá ìáëëéşí
CATEGORY_SKILL	Éêáíüôçôåò
CATEGORY_SKILL_BOOK_OF_OBLIVION	Âéâëßá ôçò ËŞèçò
CATEGORY_SKILL_ETC	¢ëëá
CATEGORY_SKILL_HORSE_SKILL_BOOK	Âéâëßï ÉêáíïôŞôùí Áëüãïõ
CATEGORY_SKILL_PAHAE	Áğüêñïõóç | Åíéó÷õôŞò
CATEGORY_SKILL_SKILL_BOOK	Âéâëßá ÉêáíïôŞôùí
CATEGORY_SORT_LOWEST_ALL_PRICE	×áìçëüôåñç óõíïëéêŞ ôéìŞ
CATEGORY_SORT_LOWEST_COUNT	Ğïóüôçôá (÷áìçëŞ ğñïò õøçëŞ)
CATEGORY_SORT_LOWEST_PER_PRICE	×áìçëüôåñç ôéìŞ
CATEGORY_SORT_MAXIMUN_ALL_PRICE	Õøçëüôåñç óõíïëéêŞ ôéìŞ
CATEGORY_SORT_MAXIMUN_COUNT	Ğïóüôçôá (õøçëŞ ğñïò ÷áìçëŞ)
CATEGORY_SORT_MAXIMUN_PER_PRICE	Õøçëüôåñç ôéìŞ
CATEGORY_SORT_RECENT	Íåüôåñá
CATEGORY_TUNING	Âåëôéşóåéò
CATEGORY_TUNING_ALCHEMY	Áıîçóç Ğéèáíüôçôáò åğéôõ÷ßáò
CATEGORY_TUNING_ETC	¢ëëá
CATEGORY_TUNING_RESOURCE	ÕëéêÜ
CATEGORY_TUNING_STONE	Ëßèïé Ğíåıìáôïò
CATEGORY_UNIQUE	ÅéäéêÜ áíôéêåßìåíá
CATEGORY_UNIQUE_ABILITY	ÊáôáíáëùôéêÜ åßäç
CATEGORY_UNIQUE_ETC	¢ëëá
CATEGORY_WEAPON_WEAPON_ARROW	Âİëç
CATEGORY_WEAPON_WEAPON_BELL	ÊáìğÜíåò
CATEGORY_WEAPON_WEAPON_BOW	Ôüîá
CATEGORY_WEAPON_WEAPON_CLAW	Íı÷éá
CATEGORY_WEAPON_WEAPON_DAGGER	Óôéëİôá
CATEGORY_WEAPON_WEAPON_FAN	ÂåíôÜëéåò
CATEGORY_WEAPON_WEAPON_MOUNT_SPEAR	Áêüíôéá
CATEGORY_WEAPON_WEAPON_QUIVER	Öáñİôñåò
CATEGORY_WEAPON_WEAPON_SWORD	Ìïíü÷åéñá üğëá
CATEGORY_WEAPON_WEAPON_TWO_HANDED	Äß÷åéñá üğëá
CHANGE_ALREADY_REGISTER	[ĞñïâïëŞ] Áõôü ôï áíôéêåßìåíï åßíáé Şäç äçëùìİíï.
CHANGE_LOOK_CHANGE_ITEM	Èİëåéò íá ğñïâÜëåéò áõôü ôï áíôéêåßìåíï;
CHANGE_LOOK_CHECK_OUT_REGISTER_ITEM	[ĞñïâïëŞ] Ğáñáêáëïıìå áöáßñåóå ğñşôá ôï áíôéêåßìåíï óôï ïğïßï èá ãßíåé ç ğñïâïëŞ.
CHANGE_LOOK_COST	ÔéìŞ ğñïâïëŞò: %s Yang
CHANGE_LOOK_DEL_ITEM	Ôï áíôéêåßìåíï ğïõ ìÜæåøåò èá äéáãñáöåß.
