ACCE_ABSORB_COST	Koszty po³¹czenia: %d
CANNOT_WHISPER_NOT_LOGON	%s nie jest zalogowany.	SA
CANNOT_WHISPER_SELF_REFUSE	Nie mo¿esz pisaæ do innych gdy masz zablokowane szeptanie.	SNA
CANNOT_WHISPER_TARGET_BLOCKED_ME	Gracz %s ciê zablokowa³.	SA
CANT_ATTACH_DUPLICATED_METIN_STONE	Nie mo¿esz umieœciæ kilku kamieni duszy tego samego rodzaju.
CANT_USE_MESSAGE_WHEN_EQUIP	Nie mo¿esz tego zastosowaæ na wyposa¿ony przedmiot.
CATCHKING_EVENT_MESSAGE_CARD_GAIN	Otrzymujesz królewsk¹ taliê (królewskie talie).
CATCHKING_EVENT_MESSAGE_CARD_PEICE_GAIN	Otrzymujesz królewskie karty.
CATCHKING_EVENT_MESSAGE_NOT_ENOUGHT_ITEM	Masz za ma³o przedmiotów lub pieniêdzy, aby graæ.
CATCHKING_EVENT_MESSAGE_NO_MORE_GAIN	Nie mo¿esz otrzymaæ kolejnych królewskich talii.
CATEGORY_ARMOR_ARMOR_BODY	Zbroje
CATEGORY_ARMOR_ARMOR_GLOVE	Rêkawice
CATEGORY_ARMOR_ARMOR_HEAD	He³my
CATEGORY_ARMOR_ARMOR_SHIELD	Tarcze
CATEGORY_COSTUMES	Kostiumy
CATEGORY_COSTUMES_AURA	Szaty Aury
CATEGORY_COSTUMES_COSTUME_BODY	Kostiumy
CATEGORY_COSTUMES_COSTUME_HAIR	Fryzury
CATEGORY_COSTUMES_COSTUME_WEAPON	Wizerunki broni
CATEGORY_COSTUMES_ETC	Inne
CATEGORY_COSTUMES_SASH	Szarfy
CATEGORY_DRAGON_STONE	Alchemia Smoczych Kamieni
CATEGORY_DRAGON_STONE_DEMON	Ametyst
CATEGORY_DRAGON_STONE_DRAGON_DIAMOND	Diament
CATEGORY_DRAGON_STONE_DRAGON_GARNET	Granat
CATEGORY_DRAGON_STONE_DRAGON_JADE	Jadeit
CATEGORY_DRAGON_STONE_DRAGON_ONYX	Onyks
CATEGORY_DRAGON_STONE_DRAGON_RUBY	Rubin
CATEGORY_DRAGON_STONE_DRAGON_SAPPHIRE	Szafir
CATEGORY_DRAGON_STONE_ETC	Inne
CATEGORY_EQUIPMENT_ARMOR	Wyposa¿enie
CATEGORY_EQUIPMENT_JEWELRY	Bi¿uteria
CATEGORY_EQUIPMENT_WEAPON	Broñ
CATEGORY_ETC	Inne
CATEGORY_ETC_ALL	Wszystko
CATEGORY_ETC_ETC	Inne
CATEGORY_ETC_EVENT	Eventowe przedmioty
CATEGORY_ETC_GIFTBOX	Skrzynie | Pud³a
CATEGORY_ETC_MATRIMORY	Œlub
CATEGORY_ETC_PARTI	Ksiêgi Sztuki Wojny
CATEGORY_ETC_POLYMORPH	Kula Polimorfii
CATEGORY_ETC_RECIPE	Wytwarzanie mikstur
CATEGORY_ETC_SEAL	Zwi¹zanie duszy
CATEGORY_FISHING_PICK	£owienie | Górnictwo
CATEGORY_FISHING_PICK_EQUIPMENT_PICK	Kilofy
CATEGORY_FISHING_PICK_ETC	Inne
CATEGORY_FISHING_PICK_FISHING_POLE	Wêdki
CATEGORY_FISHING_PICK_FOOD	Ryby
CATEGORY_FISHING_PICK_PICK_BOOK	Przewodniki do górnictwa
CATEGORY_FISHING_PICK_STONE	Rudy
CATEGORY_JEWELRY_ARMOR_EAR	Kolczyki
CATEGORY_JEWELRY_ARMOR_FOOTS	Buty
CATEGORY_JEWELRY_ARMOR_NECK	Naszyjniki
CATEGORY_JEWELRY_ARMOR_PENDANT	Talizman
CATEGORY_JEWELRY_ARMOR_WRIST	Bransolety
CATEGORY_JEWELRY_ITEM_BELT	Pasy
CATEGORY_MOUNT_PET	Wierzchowce | Zwierzaki
CATEGORY_MOUNT_PET_CHARGED_PET	Zwierzaki
CATEGORY_MOUNT_PET_EGG	Jaja zwierzaków
CATEGORY_MOUNT_PET_FREE_PET	Zwierzaki, które mo¿na levelowaæ
CATEGORY_MOUNT_PET_MOUNT	Wierzchowce
CATEGORY_POTION	Eliksiry
CATEGORY_POTION_ABILITY	Przedmioty u¿ytkowe
CATEGORY_POTION_ETC	Inne
CATEGORY_POTION_HAIRDYE	Farby do w³osów
CATEGORY_SKILL	Umiejêtnoœci
CATEGORY_SKILL_BOOK_OF_OBLIVION	Ksiêgi Zapomnienia
CATEGORY_SKILL_ETC	Inne
CATEGORY_SKILL_HORSE_SKILL_BOOK	Ksiêga Umiejêtnoœci Konia
CATEGORY_SKILL_PAHAE	Riposta | Dopalacz
CATEGORY_SKILL_SKILL_BOOK	Ksiêgi umiejêtnoœci
CATEGORY_SORT_LOWEST_ALL_PRICE	Najni¿sza nagroda ³¹czna
CATEGORY_SORT_LOWEST_COUNT	Iloœæ (od niskiej do wysokiej)
CATEGORY_SORT_LOWEST_PER_PRICE	Najni¿sza nagroda indywidualna
CATEGORY_SORT_MAXIMUN_ALL_PRICE	Maksymalna nagroda ³¹czna
CATEGORY_SORT_MAXIMUN_COUNT	Iloœæ (od wysokiej do niskiej)
CATEGORY_SORT_MAXIMUN_PER_PRICE	Maksymalna nagroda indywidualna
CATEGORY_SORT_RECENT	Najnowsze
CATEGORY_TUNING	Ulepszenia
CATEGORY_TUNING_ALCHEMY	Zwiêksz szansê na sukces
CATEGORY_TUNING_ETC	Inne
CATEGORY_TUNING_RESOURCE	Materia³y
CATEGORY_TUNING_STONE	Kamienie Duszy
CATEGORY_UNIQUE	Przedmioty specjalne
CATEGORY_UNIQUE_ABILITY	Dobra konsumpcyjne
CATEGORY_UNIQUE_ETC	Inne
CATEGORY_WEAPON_WEAPON_ARROW	Strza³y
CATEGORY_WEAPON_WEAPON_BELL	Dzwony
CATEGORY_WEAPON_WEAPON_BOW	£uki
CATEGORY_WEAPON_WEAPON_CLAW	Pazury
CATEGORY_WEAPON_WEAPON_DAGGER	Sztylety
CATEGORY_WEAPON_WEAPON_FAN	Wachlarze
CATEGORY_WEAPON_WEAPON_MOUNT_SPEAR	W³ócznie
CATEGORY_WEAPON_WEAPON_QUIVER	Ko³czany
CATEGORY_WEAPON_WEAPON_SWORD	Broñ jednorêczna
CATEGORY_WEAPON_WEAPON_TWO_HANDED	Broñ oburêczna
CHANGE_ALREADY_REGISTER	[Transmutacja] Przedmiot ten zosta³ ju¿ zarejestrowany.
CHANGE_LOOK_CHANGE_ITEM	Czy chcesz transmutowaæ ten przedmiot?
CHANGE_LOOK_CHECK_OUT_REGISTER_ITEM	[Transmutacja] Usuñ najpierw przedmiot, na który chcesz u¿yæ transmutacji.
CHANGE_LOOK_COST	Cena za transmutacjê: %s Yang
CHANGE_LOOK_DEL_ITEM	Przyjêty przedmiot zostanie usuniêty.
CHANGE_LOOK_DO_NOT_CHANGE_LOOK_ITEM	[Transmutacja] Nie mo¿esz transmutowaæ tego przedmiotu.
CHANGE_LOOK_DO_NOT_EQUIP_ITEM	[Transmutacja] Nie mo¿esz transmutowaæ tego przedmiotu, gdy jest za³o¿ony.
CHANGE_LOOK_DO_NOT_REGISTER_ITEM	[Transmutacja] Przedmiotu nie mo¿na zarejestrowaæ.
CHANGE_LOOK_DO_NOT_SEAL_ITEM	[Transmutacja] Przedmiot jest przywi¹zany do duszy.
CHANGE_LOOK_INSERT_CHANGE_LOOK_ITEM	[Transmutacja] Zarejestruj przedmiot, który chcesz transmutowaæ.
CHANGE_LOOK_INSERT_ITEM	[Transmutacja] Najpierw musisz zarejestrowaæ przedmiot.
CHANGE_LOOK_NEED_MONEY	Masz za ma³o Yang lub za ma³o przedmiotów.
CHANGE_LOOK_OPEN_OTHER_WINDOW	[Transmutacja] Nie mo¿na przeprowadziæ akcji, jeœli otwarte jest okno "Transmutacja".
CHANGE_LOOK_TITLE	Transmutacja
CHANGE_LOOK_TITLE2	Polimorfia Wierzchowca
CHANGE_PET_PLEASE_APPEND_FIRST	Najpierw musisz wybraæ zwierzaka.
CHANGE_TOOLTIP2_LINE1	Dodaj po lewej przedmiot docelowy, a po prawej - materia³.
CHANGE_TOOLTIP2_LINE2	Kliknij na haczyk, aby u¿yæ Yang lub kartê polimorfii do zmiany wygl¹du twojego wierzchowca.
CHANGE_TOOLTIP2_LINE3	Karta polimorfii zmienia wygl¹d twojego wierzchowca bez koniecznoœci wydawania Yang. (Podczas procesu karta ulegnie zniszczeniu.)
CHANGE_TOOLTIP2_LINE4	Jeœli zmienisz wygl¹d wierzchowca z ograniczeniem czasowym, to ograniczenie to nie zostanie zresetowane.
CHANGE_TOOLTIP2_LINE5	Jeœli docelowy wierzchowiec jest nielimitowany czasowo, a wierzchowiec na materia³ posiada ograniczenie czasowe, to zmieniony wygl¹d wierzchowca utrzyma siê do koñca limitu czasowego wierzchowca na materia³.
CHANGE_TOOLTIP_LINE1	Po³ó¿ przedmiot do transmutacji po lewej stronie.
CHANGE_TOOLTIP_LINE2	Po³ó¿ inny przedmiot po prawej stronie.
CHANGE_TOOLTIP_LINE3	Jeœli aktywujesz transmutacjê (V), zmieni siê wygl¹d przedmiotu
CHANGE_TOOLTIP_LINE4	znajduj¹cego siê po lewej stronie i zostan¹ odjête Yang.
CHANGE_TOOLTIP_LINE5	Jeœli u¿yjesz tego przedmiotu,
CHANGE_TOOLTIP_LINE6	mo¿esz transmutowaæ swoje przedmioty, bez u¿ycia Yang.
CHANGE_TOOLTIP_TITLE	Transmutacja
CHANNEL	Kana³
CHANNELING_CANNOT_LOGOUT	Nie mo¿esz wróciæ do okna logowania.
CHANNEL_EMPTY_SERVER	Brak Serwera
CHANNEL_NORMAL	Kana³ %d
CHANNEL_NOTIFY_FULL	Ten Kana³ jest pe³ny! Proszê wybraæ inny.
CHANNEL_NOT_FIND_INFO	Brak informacji o tym kanale.
CHANNEL_PVP	Wolny pojedynek
CHANNEL_SELECT_CHANNEL	Wybierz Kana³
CHANNEL_SELECT_REGION	Wybierz region.
CHANNEL_SELECT_SERVER	Wybierz serwer
CHANNEL_STATUS_BUSY	Czêsto odwiedzany
CHANNEL_STATUS_FULL	Pe³ny
CHANNEL_STATUS_OFFLINE	Nieznany
CHANNEL_STATUS_RECOMMENDED	Zalecane
CHANNEL_STATUS_VACANT	Niska
CHANNEL_TEST_SERVER	Test server
CHANNEL_TEST_SERVER_ADDR	Test %s:%d
CHARACTER_CREATE_MODE	Utwórz postaæ
CHARACTER_NAME	Nazwa
CHARACTER_SELECT_MODE	Wybierz postaæ
CHARGE_BEAD_QUESTION	Wymagane Animosfery: %d. Chcesz kontynuowaæ?
CHATTING_SETTING_ADD	Dodaj zak³adkê
CHATTING_SETTING_ADD_MAX	Nie mo¿esz wiêcej dodaæ.
CHATTING_SETTING_CHANGE_TITLE_NAME	Chcesz zapisaæ nazwê tego czatu?
CHATTING_SETTING_CHANGE_TITLE_NOT	Nie mo¿na zmieniæ nazwy ogólnego czatu.
CHATTING_SETTING_CLEAR_QUESTION	Zresetowaæ?
CHATTING_SETTING_DEL	Usuñ pole
CHATTING_SETTING_LANGUAGE_OFF	Wy³¹cz
CHATTING_SETTING_LANGUAGE_ON	W³¹cz
CHATTING_SETTING_QUESTION_DESC_1	1. Ustal wiadomoœæ za otrzymane PD za zabijanie potworów lub utracone PD.
CHATTING_SETTING_QUESTION_DESC_2	2. Ustal wiadomoœæ za upuszczone przedmioty i zarobione Yang.
CHATTING_SETTING_RETURN	Przywróæ pole
CHATTING_SETTING_SETTING	Ustawienia
CHAT_ALL	Wszystko
CHAT_BLOCK	Blok
CHAT_DICE_INFO	Rzut
CHAT_GUILD	Gildia
CHAT_INFORMATION	Info
CHAT_INSULT_STRING	To zdanie zawiera niepoprawne s³owa.
CHAT_LOG	Poka¿ stare wiadomoœci [L]
CHAT_LOG_TITLE	Protokó³ wiadomoœci
CHAT_MESSAGE_CLIENT_VERSION_NOT_MATCH	Nast¹pi³o wylogowanie z powodu niezgodnoœci wersji klienta. Zaktualizuj swoj¹ wersjê i zaloguj siê ponownie.
CHAT_NORMAL	Normalne
CHAT_NOTICE	Serwer
CHAT_PARTY	Grupa
CHAT_SEND_CHAT	Wyœlij wiadomoœæ
CHAT_SEND_MEMO	Wyœlij szept [Shift+Enter]
CHAT_SHOUT	Wo³aj
CHAT_SHOUT_LIMIT	Mo¿esz wo³aæ tylko co 15 sekund.
CHAT_WHISPER	Szeptanie
CHEQUE_SYSTEM_DO_NOT_DROP_MONEY	Nie mo¿esz upuœciæ pieniêdzy.
CHEQUE_SYSTEM_PICK_WON	Przyznano ci %s Won.
CHEQUE_SYSTEM_SELL_PRICE	[Cena sprzeda¿y]
CHEQUE_SYSTEM_UNIT_WON	Won
CHEQUE_SYSTEM_UNIT_YANG	Yang
CHEQUE_SYSTEM_WON	%s Won
CHEQUE_SYSTEM_YANG	%s Yang
CHEQUE_USE_WON	Wydano %s Won.
CLEAR_FLOOR	Poziom
CLEAR_TIME	Czas
CLICK_BEAD_DESCRIPTION	Animosfery s¹ potrzebne do tego, aby otrzymaæ wstêp do Œwi¹tyni Zodiaku. W tym celu udaj siê do teleportera we wiosce.
ClosePetChangeWndButton	Zamknij
COMB_ACCE_IS_CONTINUE_PROCESS	Chcesz kontynuowaæ?
COMB_ACCE_WARNING_MESSAGE	Orygina³ zostanie zniszczony przy sukcesie lub czêœciowym sukcesie. Transfer mo¿e siê nie udaæ. Stopieñ absorpcji zostanie zmniejszony przy pora¿ce lub czêœciowym sukcesie.
COMB_ACCE_WARNING_MESSAGE1	Orygina³ zostanie zniszczony przy sukcesie lub czêœciowym sukcesie.
COMB_ACCE_WARNING_MESSAGE2	Transfer mo¿e siê nie udaæ.
COMB_ACCE_WARNING_MESSAGE3	Stopieñ absorpcji zostanie zmniejszony przy pora¿ce lub czêœciowym sukcesie.
COMB_ACCE_WILL_REMOVE_MATERIAL	Orygina³ zostanie zniszczony przy sukcesie lub czêœciowym sukcesie.
COMB_ALREADY_APPEND	Przedmiot ten zosta³ ju¿ wybrany.
COMB_CANT_APPEND_ITEM	Nie mo¿na u¿yæ tego przedmiotu.
