ACCE_ABSORB_COST	Coûts de combi : %d
AURA_TITLE_ABSORB	Transférer les statistiques à la tenue d'aura
AURA_TITLE_EVOLUTION	Faire progresser la tenue d'aura
AURA_TITLE_GROWTH	Améliorer la tenue d'aura
AURA_TOOLTIP_EXP	EXP (%d %%/100 %%)
AURA_TOOLTIP_LEVEL	Niveau %d (rang %d) (Taux d'absorption de %.1f %%)
AURA_TOOLTIP_NEED_YANG	%s Yangs
AURA_TOOLTIP_NEXT	Nouveau
AURA_TOOLTIP_NOW	Actuel
AURA_TOOLTIP_RESOURCE	Objet consommable
AURA_TOOLTIP_RESOURCE_ITEM	%s * %d
AUTO_HUNTING_MSG_CANNOT_CHANGE_NON_WEAPON	Vous ne pouvez pas vous en équiper tant que la chasse automatique est activée.
AUTO_HUNTING_MSG_CANNOT_START_WITHOUT_WEAPON	Vous ne pouvez pas activer la chasse automatique tant que vous portez cet objet.
AUTO_HUNTING_OPTION_BOSS	Boss
AUTO_HUNTING_OPTION_KING	Niveau 5
AUTO_HUNTING_OPTION_KNIGHT	Niveau 3
AUTO_HUNTING_OPTION_PAWN	Niveau 1
AUTO_HUNTING_OPTION_STONE	Pierre Metin
AUTO_HUNTING_OPTION_S_KNIGHT	Niveau 4
AUTO_HUNTING_OPTION_S_PAWN	Niveau 2
AUTO_TOOLTIP_CLEAR	Réinitialiser
AUTO_TOOLTIP_LINE1	Compétences : sélectionnez des compétences de combat et faites les glisser sur les emplacements. (Premium)
AUTO_TOOLTIP_LINE2	Remarque : sous chaque compétence, vous pouvez éditer l'intervalle d'activation (en seconde).
AUTO_TOOLTIP_LINE3	Potions : sélectionnez des potions pour le combat et faites-les glisser sur les emplacements. (Premium)
AUTO_TOOLTIP_LINE4	Remarque : les potions de PV et de PM sont activées dès que le niveau tombe sous la valeur en % indiquée sous les potions.
AUTO_TOOLTIP_LINE5	Remarque : l'utilisation automatique de compétences, de potions et de résurrection peut être activée dans la boutique.
AUTO_TOOLTIP_LINE6	5. Les potions et objets sélectionnés sont automatiquement utilisés à la fin du bonus sans que la durée restante s'affiche.
AUTO_TOOLTIP_LINE7	6. La flèche située à côté d'Attaquer vous permet de déterminer la puissance des monstres que vous voulez attaquer (+/- niveau par rapport à votre niveau).
AUTO_TOOLTIP_LINE8	7. La flèche située à côté de « Focus » vous permet de déterminer à quelle distance vous voulez attaquer des monstres.
AUTO_TOOLTIP_TITLE	Aide pour la chasse automatique
BATTLE_MAP_NAME_AREA_1	Zone 1
BATTLE_MAP_NAME_AREA_2	Zone 2
BATTLE_MAP_NAME_AREA_3	Zone 3
BATTLE_MAP_NAME_AREA_4	Zone 4
BATTLE_MAP_NAME_AREA_5	Zone 5
BATTLE_MAP_NAME_AREA_6	Zone 6
BATTLE_MAP_NAME_AREA_7	Zone 7
BATTLE_MAP_NAME_AREA_8	Zone 8
BATTLE_MAP_NAME_AREA_9	Zone 9
BATTLE_POINT	Points de combat
BATTLE_ROYALE_ALIVE_COUNT	Survivants : %d
BATTLE_ROYALE_APPLICATION_TITLE	Battle Royale
BATTLE_ROYALE_CANNOT_OPEN_MALL	Vous ne pouvez pas ouvrir ceci ici.
BATTLE_ROYALE_KILL_COUNT	Ennemis vaincus : %d
BATTLE_ROYALE_MAINBUTTON_APPLICATION	Participer
BATTLE_ROYALE_MAINBUTTON_CANCEL	Annuler
BATTLE_ROYALE_MAINBUTTON_EXIT	Quitter
BATTLE_ROYALE_MAINBUTTON_STARTABLE	Commencer
BATTLE_ROYALE_NOTIFY_APPLICATED	Vous vous êtes inscrit à la Battle Royale. Vous pourrez y accéder dès que le nombre de participants sera suffisant.
BATTLE_ROYALE_NOTIFY_ENTRY_CLOSED	L'inscription à la Battle Royale est terminée.
BATTLE_ROYALE_NOTIFY_STARTABLE	Vous pouvez maintenant accéder à la Battle Royale. Cliquez sur le bouton de l'évènement pour participer.
BATTLE_ROYALE_NOTIFY_WINNER	Vous avez gagné.
BATTLE_ROYALE_PERSONAL_RANK	Rang individuel : %d
BATTLE_ROYALE_QUESTION_USE_INFINITE_STAMINA	Voulez-vous activer l'endurance infinie ?
BATTLE_ROYALE_WHO_KILLED	Joueurs que vous avez éliminés : %s
BATTLE_ROYALE_WINNER_1	Vous avez remporté la Battle Royale !
BATTLE_ROYALE_WINNER_2	Vous allez être téléporté vers le village dans quelques instants.
BEAD	Animasphère
BEAD_TIME_REMAINING_TO_GET	L'animasphère se rechargera dans : %d min.
BELT_RENEWAL_BANN_SIGN	Vous ne pouvez pas continuer.
BELT_RENEWAL_INVENTORY_FULL	Vous n'avez pas assez de place dans votre inventaire.
BNW_COIN	Pièce de devin
BUTTON_TOOLTIP_GUILD_SHOP	Boutique de médailles de bravoure
BUY_LIMIT_LEVEL	Limite d'achat : %s
CANNOT_ATTACK_DEST_IN_SAFE	L'adversaire est trop loin.
CANNOT_ATTACK_SELF_IN_SAFE	Je ne peux pas attaquer.
CANNOT_DOING_PRIVATE_SHOP_OPEN	Vous ne pouvez rien faire tant que votre magasin privé est ouvert.
CANNOT_EQUIP_IN_EXCHANGE	Vous ne pouvez pas changer d'équipement pendant un échange.
CANNOT_EQUIP_IN_SHOP	Vous ne pouvez pas changer d'équipement pendant une transaction.
CANNOT_FISHING_RIDE_MOUNT	Vous ne pouvez pas pêcher tant que vous êtes sur le dos d'une monture.
CANNOT_FISHING_WHILE_POLY	Vous ne pouvez pas pêcher en étant transformé.
CANNOT_ILLUSTRATIONPAGE_WARP	Vous ne pouvez pas utiliser la téléportation par carte de monstre ici.
CANNOT_MOVE_DRAGON_SOUL_WHILE_ATTACK	Vous ne pouvez pas faire cela en plein mouvement.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	Vous ne pouvez pas ouvrir un magasin dans un espace public.
CANNOT_POLY_STATUS	Vous ne pouvez pas vous transformer pour le moment.
CANNOT_PVP_MAP_MESSAGE	Vous ne pouvez pas faire ceci dans cette zone.
CANNOT_SHOOT_DEST_IN_SAFE	L'adversaire est trop loin.
CANNOT_SHOOT_EMPTY_ARROW	J'ai besoin d'une flèche.
CANNOT_SHOOT_SELF_IN_SAFE	Je ne peux pas attaquer l'adversaire d'ici.
CANNOT_SKILL_APPROACH	Je suis sûr que je ne peux pas aller au contact.
CANNOT_SKILL_ATTACK	Je ne peux pas attaquer ça.
CANNOT_SKILL_BLUE	Si Âme du loup pourpre est activée, vous ne pouvez pas utiliser Âme du loup indigo.
CANNOT_SKILL_DEST_IN_SAFE	L'ennemi est trop éloigné.
CANNOT_SKILL_EQUIP_FISHING_ROD	Vous devez d'abord équiper votre canne avant de pêcher.
CANNOT_SKILL_HAVE_TO_RIDE	Je dois avoir un cheval avant de pouvoir utiliser ceci.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	Je n'ai pas de bouteille vide.
CANNOT_SKILL_NEED_POISON_BOTTLE	Je n'ai pas de fiole de poison.
CANNOT_SKILL_NEED_TARGET	Qui est la cible ?
CANNOT_SKILL_NOT_ENOUGH_HP	Je n'ai pas assez de PV !
CANNOT_SKILL_NOT_ENOUGH_SP	Je n'ai pas assez de PM !
CANNOT_SKILL_NOT_HORSE_SKILL	Je ne peux pas utiliser ceci pendant que je suis à cheval.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	Vous ne pouvez pas utiliser cette compétence avec cette arme..
CANNOT_SKILL_NOT_STANDING_HORSE_SKILL	Vous ne pouvez pas utiliser cette compétence sur le dos de cette monture.
CANNOT_SKILL_NOT_YET_LEARN	Vous n'avez pas appris cette compétence.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	Ceci n'affecte que les membres du Groupe.
CANNOT_SKILL_ONLY_FOR_CORPSE	Ceci n'affecte que les personnages morts.
CANNOT_SKILL_RED	Si Âme du loup indigo est activée, vous ne pouvez pas utiliser Âme du loup pourpre.
CANNOT_SKILL_REMOVE_FISHING_ROD	Je ne peux pas utiliser cette compétence avec une canne à pêche.
CANNOT_SKILL_SELF_IN_SAFE	Je ne peux pas attaquer d'ici.
CANNOT_SKILL_USE_SELF	Je ne peux pas utiliser ceci sur moi.
CANNOT_SKILL_WAIT_COOLTIME	Je ne peux pas utiliser cette compétence maintenant.
CANNOT_UNEQUIP_IN_BATTLE	Vous devez être immobile pour pouvoir retirer l'objet.
CANNOT_USE	Vous ne pouvez pas utiliser ceci.
CANNOT_USE_SUTRA_TO_GOOD_ALIGNMENT	Vous ne pouvez pas utiliser le haricot Zen car votre alignement maléfique ne peut pas diminuer davantage.
CANNOT_WHISPER_BLOCKED_TARGET	Vous devez d'abord retirer %s de votre liste de blocage.	SA
CANNOT_WHISPER_DEST_REFUSE	%s a bloqué les chuchotements.	SA
CANNOT_WHISPER_NOT_LOGON	%s n'est pas en ligne.	SA
CANNOT_WHISPER_SELF_REFUSE	Vous ne pouvez pas chuchoter lorsque vous avez bloqué cette option.	SNA
CANNOT_WHISPER_TARGET_BLOCKED_ME	%s vous a bloqué.	SA
CANT_ATTACH_DUPLICATED_METIN_STONE	Vous ne pouvez pas sertir plusieurs pierres d'esprit du même type.
CANT_USE_MESSAGE_WHEN_EQUIP	Vous ne pouvez pas l'utiliser sur un objet équipé.
CATCHKING_EVENT_MESSAGE_CARD_GAIN	Vous obtenez un ou plusieurs jeux royaux.
CATCHKING_EVENT_MESSAGE_CARD_PEICE_GAIN	Vous obtenez des cartes royales.
CATCHKING_EVENT_MESSAGE_NOT_ENOUGHT_ITEM	Vous n'avez pas assez d'objets pour d'argent pour jouer.
CATCHKING_EVENT_MESSAGE_NO_MORE_GAIN	Vous ne pouvez plus utiliser de jeux royaux.
CATEGORY_ARMOR_ARMOR_BODY	Armures
CATEGORY_ARMOR_ARMOR_GLOVE	Gants
CATEGORY_ARMOR_ARMOR_HEAD	Casques
CATEGORY_ARMOR_ARMOR_SHIELD	Boucliers
CATEGORY_COSTUMES	Costumes
CATEGORY_COSTUMES_AURA	Tenues d'aura
CATEGORY_COSTUMES_COSTUME_BODY	Costumes
CATEGORY_COSTUMES_COSTUME_HAIR	Coiffures
CATEGORY_COSTUMES_COSTUME_WEAPON	Apparences d'armes
CATEGORY_COSTUMES_ETC	Divers
CATEGORY_COSTUMES_SASH	Étoles
CATEGORY_DRAGON_STONE	Alchimie des pierres-dragons
CATEGORY_DRAGON_STONE_DEMON	Améthyste
CATEGORY_DRAGON_STONE_DRAGON_DIAMOND	Diamant
CATEGORY_DRAGON_STONE_DRAGON_GARNET	Grenat
CATEGORY_DRAGON_STONE_DRAGON_JADE	Jade
CATEGORY_DRAGON_STONE_DRAGON_ONYX	Onyx
CATEGORY_DRAGON_STONE_DRAGON_RUBY	Rubis
CATEGORY_DRAGON_STONE_DRAGON_SAPPHIRE	Saphir
CATEGORY_DRAGON_STONE_ETC	Divers
CATEGORY_EQUIPMENT_ARMOR	Équipement
CATEGORY_EQUIPMENT_JEWELRY	Bijoux
CATEGORY_EQUIPMENT_WEAPON	Armes
CATEGORY_ETC	Divers
CATEGORY_ETC_ALL	Tout
CATEGORY_ETC_ETC	Divers
CATEGORY_ETC_EVENT	Objets d'évènement
CATEGORY_ETC_GIFTBOX	Coffres | Boîtes
CATEGORY_ETC_MATRIMORY	Mariage
CATEGORY_ETC_PARTI	Livres sur l'Art de guerre
CATEGORY_ETC_POLYMORPH	Orbes de Polymorphie
CATEGORY_ETC_RECIPE	Préparation de potions
CATEGORY_ETC_SEAL	Lien d'âme
CATEGORY_FISHING_PICK	Pêche | Extraction
CATEGORY_FISHING_PICK_EQUIPMENT_PICK	Pioches
CATEGORY_FISHING_PICK_ETC	Divers
CATEGORY_FISHING_PICK_FISHING_POLE	Cannes à pêche
CATEGORY_FISHING_PICK_FOOD	Poissons
CATEGORY_FISHING_PICK_PICK_BOOK	Livres sur l'extraction
CATEGORY_FISHING_PICK_STONE	Minerais
CATEGORY_JEWELRY_ARMOR_EAR	Boucles d'oreilles
CATEGORY_JEWELRY_ARMOR_FOOTS	Chaussures
CATEGORY_JEWELRY_ARMOR_NECK	Colliers
CATEGORY_JEWELRY_ARMOR_PENDANT	Talisman
CATEGORY_JEWELRY_ARMOR_WRIST	Bracelets
CATEGORY_JEWELRY_ITEM_BELT	Ceintures
CATEGORY_MOUNT_PET	Montures | Familiers
CATEGORY_MOUNT_PET_CHARGED_PET	Familiers
CATEGORY_MOUNT_PET_EGG	Œufs de familiers
CATEGORY_MOUNT_PET_FREE_PET	Familiers pouvant progresser
CATEGORY_MOUNT_PET_MOUNT	Montures
CATEGORY_POTION	Potions
CATEGORY_POTION_ABILITY	Denrées consommables
CATEGORY_POTION_ETC	Divers
CATEGORY_POTION_HAIRDYE	Coloration
CATEGORY_SKILL	Compétences
CATEGORY_SKILL_BOOK_OF_OBLIVION	Livres de l'oubli
CATEGORY_SKILL_ETC	Divers
CATEGORY_SKILL_HORSE_SKILL_BOOK	Livre d'aptitude de monture
CATEGORY_SKILL_PAHAE	Parade | Bonus
CATEGORY_SKILL_SKILL_BOOK	Livres de compétence
CATEGORY_SORT_LOWEST_ALL_PRICE	Prix total (ordre croissant)
CATEGORY_SORT_LOWEST_COUNT	Quantité (ordre croissant)
CATEGORY_SORT_LOWEST_PER_PRICE	Prix unitaire (ordre croissant)
CATEGORY_SORT_MAXIMUN_ALL_PRICE	Prix total (ordre décroissant)
CATEGORY_SORT_MAXIMUN_COUNT	Quantité (ordre décroissant)
CATEGORY_SORT_MAXIMUN_PER_PRICE	Prix unitaire (ordre décroissant)
CATEGORY_SORT_RECENT	Récent
CATEGORY_TUNING	Améliorations
CATEGORY_TUNING_ALCHEMY	Augmenter les chances de réussite
CATEGORY_TUNING_ETC	Divers
CATEGORY_TUNING_RESOURCE	Matériaux
CATEGORY_TUNING_STONE	Pierres d'Esprit
CATEGORY_UNIQUE	Objets spéciaux
CATEGORY_UNIQUE_ABILITY	Denrées
CATEGORY_UNIQUE_ETC	Divers
CATEGORY_WEAPON_WEAPON_ARROW	Flèches
CATEGORY_WEAPON_WEAPON_BELL	Gongs
CATEGORY_WEAPON_WEAPON_BOW	Arcs
CATEGORY_WEAPON_WEAPON_CLAW	Griffes
CATEGORY_WEAPON_WEAPON_DAGGER	Dagues
CATEGORY_WEAPON_WEAPON_FAN	Éventails
CATEGORY_WEAPON_WEAPON_MOUNT_SPEAR	Lances
CATEGORY_WEAPON_WEAPON_QUIVER	Carquois
CATEGORY_WEAPON_WEAPON_SWORD	Armes à une main
CATEGORY_WEAPON_WEAPON_TWO_HANDED	Armes à deux mains
CHANGE_ALREADY_REGISTER	[Projection] Cet objet a déjà été enregistré.
CHANGE_LOOK_CHANGE_ITEM	Voulez-vous projeter l'objet ?
CHANGE_LOOK_CHECK_OUT_REGISTER_ITEM	[Projection] Veuillez d'abord enlever l'objet que vous souhaitez projeter.
CHANGE_LOOK_COST	Prix de la projection : %s Yangs
CHANGE_LOOK_DEL_ITEM	L'objet sélectionné va être supprimé.
CHANGE_LOOK_DO_NOT_CHANGE_LOOK_ITEM	[Projection] Cet objet ne peut pas être projeté.
CHANGE_LOOK_DO_NOT_EQUIP_ITEM	[Projection] Vous ne pouvez pas projeter l'objet tant qu'il est équipé.
CHANGE_LOOK_DO_NOT_REGISTER_ITEM	[Projection] Cet objet ne peut pas être enregistré.
CHANGE_LOOK_DO_NOT_SEAL_ITEM	[Projection] L'objet est lié à l'âme.
CHANGE_LOOK_INSERT_CHANGE_LOOK_ITEM	[Projection] Veuillez d'abord enregistrer l'objet que vous souhaitez projeter.
CHANGE_LOOK_INSERT_ITEM	[Projection] Vous devez d'abord enregistrer l'objet.
CHANGE_LOOK_NEED_MONEY	Vous n'avez pas assez de Yangs ou vous n'avez pas assez d'objets.
CHANGE_LOOK_OPEN_OTHER_WINDOW	[Projection] Cette action est impossible tant que la fenêtre « Projection » est ouverte.
CHANGE_LOOK_TITLE	Projection
CHANGE_LOOK_TITLE2	Transformation de monture
CHANGE_PET_PLEASE_APPEND_FIRST	Commencez par sélectionner un familier.
CHANGE_TOOLTIP2_LINE1	Insérez l'objet cible à gauche et le matériel à droite.
CHANGE_TOOLTIP2_LINE2	Cliquez sur la coche pour utiliser des Yangs ou une marque de transformation et modifiez l'apparence de votre monture.
CHANGE_TOOLTIP2_LINE3	Une marque de transformation modifie l'apparence de votre monture sans utiliser de Yangs. (La transformation détruit la marque.)
CHANGE_TOOLTIP2_LINE4	Si l'apparence d'une monture avec une durée limitée est modifiée, la durée d'origine est conservée.
CHANGE_TOOLTIP2_LINE5	Si la monture cible est permanente et la monture matérielle a une durée limitée, la monture conserve l'apparence modifiée pendant la durée de la monture matérielle.
CHANGE_TOOLTIP_LINE1	Placez l'objet qui doit être soumis à la projection sur le côté gauche.
CHANGE_TOOLTIP_LINE2	Déposez l'autre objet à droite.
CHANGE_TOOLTIP_LINE3	L'apparence de l'objet situé à gauche sera modifiée une fois
CHANGE_TOOLTIP_LINE4	la projection (V) confirmée et les Yangs déduits de votre avoir.
CHANGE_TOOLTIP_LINE5	En utilisant cet objet,
CHANGE_TOOLTIP_LINE6	vous pouvez projeter votre objet sans dépenser de Yangs.
CHANGE_TOOLTIP_TITLE	Projection
CHANNEL	Canal
CHANNELING_CANNOT_LOGOUT	Vous ne pouvez pas retourner à la fenêtre d'enregistrement.
CHANNEL_EMPTY_SERVER	Pas de serveur
CHANNEL_NORMAL	Canal %d
CHANNEL_NOTIFY_FULL	Ce chan est actuellement complet ! Veuillez en sélectionner un autre.
CHANNEL_NOT_FIND_INFO	Aucune information sur ce canal n'a pu être trouvée.
CHANNEL_PVP	Duel libre
CHANNEL_SELECT_CHANNEL	Choisissez un canal.
CHANNEL_SELECT_REGION	Choisissez une région pour émettre une facture.
CHANNEL_SELECT_SERVER	Choisissez le serveur.
CHANNEL_STATUS_BUSY	Très fréquenté
CHANNEL_STATUS_FULL	Bondé
CHANNEL_STATUS_OFFLINE	Inconnu
CHANNEL_STATUS_RECOMMENDED	Recommandé
CHANNEL_STATUS_VACANT	Peu fréquenté
CHANNEL_TEST_SERVER	Test serveur
CHANNEL_TEST_SERVER_ADDR	Test %s:%d
CHARACTER_CREATE_MODE	Créer un personnage
CHARACTER_NAME	Nom
CHARACTER_SELECT_MODE	Sélectionner un personnage
CHARGE_BEAD_QUESTION	Animasphères requises : %d. Voulez-vous continuer ?
CHATTING_SETTING_ADD	Ajouter un onglet
CHATTING_SETTING_ADD_MAX	Vous ne pouvez pas en ajouter plus.
CHATTING_SETTING_CHANGE_TITLE_NAME	Voulez-vous enregistrer le nom de ce tchat ?
CHATTING_SETTING_CHANGE_TITLE_NOT	Le nom du tchat général ne peut pas être modifié.
CHATTING_SETTING_CLEAR_QUESTION	Réinitialiser ?
CHATTING_SETTING_DEL	Supprimer le champ
CHATTING_SETTING_LANGUAGE_OFF	Inactif
CHATTING_SETTING_LANGUAGE_ON	Actif
CHATTING_SETTING_QUESTION_DESC_1	1. Déterminez un message pour le gain ou la perte d'EXP en combat contre des monstres.
CHATTING_SETTING_QUESTION_DESC_2	2. Déterminez un message pour le butin à ramasser et les Yangs remportés.
CHATTING_SETTING_RETURN	Restaurer le champ
CHATTING_SETTING_SETTING	Paramètres
CHAT_ALL	Tous
CHAT_BLOCK	Bloquer
CHAT_DICE_INFO	Lancer
CHAT_GUILD	Guilde
CHAT_INFORMATION	Info
CHAT_INSULT_STRING	Cette phrase contient des mots invalides
CHAT_LOG	Voir les anciens messages [L]
CHAT_LOG_TITLE	Protocole du tchat
CHAT_MESSAGE_CLIENT_VERSION_NOT_MATCH	Vous avez été déconnecté car votre version du client n'est pas adéquate. Merci de mettre votre client à jour puis de vous reconnecter.
CHAT_NORMAL	Normal
CHAT_NOTICE	Serveur
CHAT_PARTY	Groupe
CHAT_SEND_CHAT	Envoyer discussion
CHAT_SEND_MEMO	Envoyer chuchotement [Shift+Entrée]
CHAT_SHOUT	Général
CHAT_SHOUT_LIMIT	Vous ne pouvez parler qu'une fois toutes les 15 secondes
CHAT_WHISPER	Chuchotement
CHEQUE_SYSTEM_DO_NOT_DROP_MONEY	Vous ne pouvez pas abandonner d'argent.
CHEQUE_SYSTEM_PICK_WON	Vous avez reçu %s Wons.
CHEQUE_SYSTEM_SELL_PRICE	[Prix de vente]
CHEQUE_SYSTEM_UNIT_WON	Won
CHEQUE_SYSTEM_UNIT_YANG	Yang
CHEQUE_SYSTEM_WON	%s Wons
CHEQUE_SYSTEM_YANG	%s Yangs
CHEQUE_USE_WON	%s Wons dépensés.
CLEAR_FLOOR	Niveau
CLEAR_TIME	Temps
CLICK_BEAD_DESCRIPTION	Il vous faut des animasphères pour pouvoir entrer dans le Temple du zodiaque. Rendez-vous pour cela au téléporteur du village.
ClosePetChangeWndButton	Fermer
COMB_ACCE_IS_CONTINUE_PROCESS	Voulez-vous continuer ?
COMB_ACCE_WARNING_MESSAGE	En cas de réussite totale ou partielle, l'original sera détruit. Le transfert peut échouer. En cas d'échec ou de réussite partielle, le taux d'absorption du destinataire diminuera.
COMB_ACCE_WARNING_MESSAGE1	En cas de réussite totale ou partielle, l'original sera détruit.
COMB_ACCE_WARNING_MESSAGE2	Le transfert peut échouer.
COMB_ACCE_WARNING_MESSAGE3	En cas d'échec ou de réussite partielle, le taux d'absorption du destinataire diminuera.
COMB_ACCE_WILL_REMOVE_MATERIAL	En cas de réussite totale ou partielle, l'original sera détruit.
COMB_ALREADY_APPEND	Cet objet a déjà été sélectionné.
COMB_CANT_APPEND_ITEM	Cet objet ne peut pas être utilisé.
COMB_CANT_APPEND_SEALED_ITEM	Vous ne pouvez pas utiliser un objet lié à l'âme.
COMB_CANT_BASE_ITEM	Une étole déjà assortie d'un bonus ne peut pas être le destinataire.
COMB_CANT_MATCH_DRAINRATE	Pour réaliser un transfert de bonus, les deux objets doivent présenter un taux d'absorption identique.
COMB_CANT_MATCH_GRADE	Pour réaliser un transfert de bonus, les deux objets doivent présenter un taux identique.
COMB_CANT_MATERIAL_ITEM	L'objet d'origine doit être assorti d'un bonus.
COMB_COST	Prix : %s
COMB_IS_CONTINUE_PROCESS	Voulez-vous continuer ?
COMB_NOTICE	Vous ne pouvez pas ouvrir de magasin privé tant que vous échangez des livres.
COMB_NOTICE_NOT_OPEN	Vous ne pouvez pas échanger de livres tant que votre magasin privé est ouvert.
COMB_NOT_ALL_SLOT_APPEND_ITEM	Il vous faut l'original, le destinataire ainsi que l'objet de transfert pour transférer les bonus.
COMB_NOT_FULL_BOOK	Non, nous n'arriverons pas à nous mettre d'accord. Comme je vous l'ai déjà expliqué, l'échange se fera uniquement contre 10 livres.
COMB_NOT_ITEM_IN_INVENTORY	Vous ne pouvez pas utiliser un objet équipé.
COMB_NOT_MEDIUM_ITEM	Cet objet ne peut pas être utilisé.
COMB_WILL_REMOVE_MATERIAL	Si l'opération réussit, l'original est détruit.
COMMUNITY_ADD_BLOCK	%s a été bloqué.
COMMUNITY_ADD_FRIEND	Vous avez ajouté %s à votre liste d'amis.
COMMUNITY_ALREADY_BLOCKED	Déjà bloqué.
COMMUNITY_ALREADY_FRIEND	Cette personne est déjà votre ami.
COMMUNITY_ALREADY_REQUESTED_BEFORE	Vous avez déjà envoyé une demande d'amitié.
COMMUNITY_BLOCKED_ALREADY	%s est déjà bloqué.
COMMUNITY_BLOCKED_EXCHANGE	Commerce
COMMUNITY_BLOCKED_FRIEND_REQUEST	Demande d'amitié
COMMUNITY_BLOCKED_FUNCTION	Bloqué :
COMMUNITY_BLOCKED_GUILD_INVITE	Invitation de guilde
COMMUNITY_BLOCKED_PARTY_INVITE	Demande de groupe
COMMUNITY_BLOCKED_PARTY_JOIN	Invitation de groupe
COMMUNITY_BLOCKED_PARTY_WHISPER	Chuchoter
