ACCE_ABSORB_COST	Costo combinazione: %d
CANNOT_FISHING_WHILE_POLY	Non puoi pescare mentre sei sotto effetto della trasformazione.
CANNOT_ILLUSTRATIONPAGE_WARP	Qui non si può utilizzare il teletrasporto della Carta mostro.
CANNOT_MOVE_DRAGON_SOUL_WHILE_ATTACK	Non puoi eseguire questa azione mentre ti muovi.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	Non puoi aprire il tuo negozio privato in un luogo pubblico.
CANNOT_POLY_STATUS	Al momento non ti puoi trasformare.
CANNOT_PVP_MAP_MESSAGE	In questa zona non si può fare.
CANNOT_SHOOT_DEST_IN_SAFE	L'avversario è troppo lontano.
CANNOT_SHOOT_EMPTY_ARROW	Mi serve una freccia.
CANNOT_SHOOT_SELF_IN_SAFE	Da qui non posso attaccare l'avversario.
CANNOT_SKILL_APPROACH	Sono sicuro di non riuscire ad arrivarci da più vicino.
CANNOT_SKILL_ATTACK	Non lo posso attaccare.
CANNOT_SKILL_BLUE	Se l'Anima del lupo purpureo è attiva, non puoi usare l'Anima del lupo indaco.
CANNOT_SKILL_DEST_IN_SAFE	L'avversario è troppo lontano.
CANNOT_SKILL_EQUIP_FISHING_ROD	Non è possibile pescare senza che si stia utilizzando una canna da pesca.
CANNOT_SKILL_HAVE_TO_RIDE	Per utilizzarlo mi serve un cavallo.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	Non ho una bottiglia vuota.
CANNOT_SKILL_NEED_POISON_BOTTLE	Non ho una bottiglia di veleno.
CANNOT_SKILL_NEED_TARGET	Chi è il bersaglio?
CANNOT_SKILL_NOT_ENOUGH_HP	Non ho abbastanza HP!
CANNOT_SKILL_NOT_ENOUGH_SP	Non ho abbastanza MP!
CANNOT_SKILL_NOT_HORSE_SKILL	Non lo posso utilizzare mentre cavalco.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	Non posso utilizzare questa abilità con quest`arma.
CANNOT_SKILL_NOT_STANDING_HORSE_SKILL	Non puoi utilizzare questa abilità mentre sei su questa cavalcatura.
CANNOT_SKILL_NOT_YET_LEARN	Non ho imparato quest`abilità.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	Ha effetto solo sui membri del gruppo.
CANNOT_SKILL_ONLY_FOR_CORPSE	Ha effetto solo sui morti.
CANNOT_SKILL_RED	Se l'Anima del lupo indaco è attiva, non puoi usare l'Anima del lupo purpureo.
CANNOT_SKILL_REMOVE_FISHING_ROD	Non posso utilizzare questa abilità con la mia canna da pesca.
CANNOT_SKILL_SELF_IN_SAFE	Da qui non posso attaccare.
CANNOT_SKILL_USE_SELF	Non posso usarlo su me stesso.
CANNOT_SKILL_WAIT_COOLTIME	Non sono ancora in grado di utilizzare questa abilità.
CANNOT_UNEQUIP_IN_BATTLE	Devi stare fermo per togliere l'oggetto.
CANNOT_USE	Non la puoi utilizzare.
CANNOT_USE_SUTRA_TO_GOOD_ALIGNMENT	Non puoi usare lo il Fagiolo Zen poiché il tuo allineamento malvagio non può essere ulteriormente abbassato.
CANNOT_WHISPER_BLOCKED_TARGET	Prima è necessario rimuovere %s dalla lista di blocco.	SA
CANNOT_WHISPER_DEST_REFUSE	%s ha bloccato la chat privata.	SA
CANNOT_WHISPER_NOT_LOGON	%s non è online.	SA
CANNOT_WHISPER_SELF_REFUSE	Non puoi chattare privatamente con gli altri se hai bloccato la Chat privata.	SNA
CANNOT_WHISPER_TARGET_BLOCKED_ME	%s ti ha bloccato.	SA
CANT_ATTACH_DUPLICATED_METIN_STONE	Non puoi applicare più Pietre spirituali dello stesso tipo.
CANT_USE_MESSAGE_WHEN_EQUIP	Non si applica sugli item in uso.
CATCHKING_EVENT_MESSAGE_CARD_GAIN	Ottieni Mazzo/i del re.
CATCHKING_EVENT_MESSAGE_CARD_PEICE_GAIN	Ottieni delle Carte del re.
CATCHKING_EVENT_MESSAGE_NOT_ENOUGHT_ITEM	No hai abbastanza item o soldi per giocare.
CATCHKING_EVENT_MESSAGE_NO_MORE_GAIN	Non puoi ottenere altri Mazzi del re.
CATEGORY_ARMOR_ARMOR_BODY	Armature
CATEGORY_ARMOR_ARMOR_GLOVE	Guanti
CATEGORY_ARMOR_ARMOR_HEAD	Elmi
CATEGORY_ARMOR_ARMOR_SHIELD	Scudi
CATEGORY_COSTUMES	Costumi
CATEGORY_COSTUMES_AURA	Vesti Aura
CATEGORY_COSTUMES_COSTUME_BODY	Costumi
CATEGORY_COSTUMES_COSTUME_HAIR	Pettinature
CATEGORY_COSTUMES_COSTUME_WEAPON	Skin per arma
CATEGORY_COSTUMES_ETC	Varie
CATEGORY_COSTUMES_SASH	Stole
CATEGORY_DRAGON_STONE	Alchimia delle Pietre del drago
CATEGORY_DRAGON_STONE_DEMON	Ametista
CATEGORY_DRAGON_STONE_DRAGON_DIAMOND	Diamante
CATEGORY_DRAGON_STONE_DRAGON_GARNET	Granato
CATEGORY_DRAGON_STONE_DRAGON_JADE	Giada
CATEGORY_DRAGON_STONE_DRAGON_ONYX	Onice
CATEGORY_DRAGON_STONE_DRAGON_RUBY	Rubino
CATEGORY_DRAGON_STONE_DRAGON_SAPPHIRE	Zaffiro
CATEGORY_DRAGON_STONE_ETC	Varie
CATEGORY_EQUIPMENT_ARMOR	Armature
CATEGORY_EQUIPMENT_JEWELRY	Gioielli
CATEGORY_EQUIPMENT_WEAPON	Armi
CATEGORY_ETC	Varie
CATEGORY_ETC_ALL	Tutto
CATEGORY_ETC_ETC	Varie
CATEGORY_ETC_EVENT	Item eventi
CATEGORY_ETC_GIFTBOX	Bauli | Pacchi
CATEGORY_ETC_MATRIMORY	Matrimonio
CATEGORY_ETC_PARTI	Libri dell'Arte della guerra
CATEGORY_ETC_POLYMORPH	Sfere trasformazione
CATEGORY_ETC_RECIPE	Produzione pozioni
CATEGORY_ETC_SEAL	Legame dell'anima
CATEGORY_FISHING_PICK	Pesca | Scienza mineraria
CATEGORY_FISHING_PICK_EQUIPMENT_PICK	Picconi appuntiti
CATEGORY_FISHING_PICK_ETC	Varie
CATEGORY_FISHING_PICK_FISHING_POLE	Canne da pesca
CATEGORY_FISHING_PICK_FOOD	Pesci
CATEGORY_FISHING_PICK_PICK_BOOK	Libri di scienza mineraria
CATEGORY_FISHING_PICK_STONE	Minerali
CATEGORY_JEWELRY_ARMOR_EAR	Orecchini
CATEGORY_JEWELRY_ARMOR_FOOTS	Scarpe
CATEGORY_JEWELRY_ARMOR_NECK	Collane
CATEGORY_JEWELRY_ARMOR_PENDANT	Talismano
CATEGORY_JEWELRY_ARMOR_WRIST	Bracciali
CATEGORY_JEWELRY_ITEM_BELT	Cinture
CATEGORY_MOUNT_PET	Cavalcature | Pet
CATEGORY_MOUNT_PET_CHARGED_PET	Pet
CATEGORY_MOUNT_PET_EGG	Uova del pet
CATEGORY_MOUNT_PET_FREE_PET	Pet evolvibili
CATEGORY_MOUNT_PET_MOUNT	Cavalcature
CATEGORY_POTION	Pozioni
CATEGORY_POTION_ABILITY	Beni di consumo
CATEGORY_POTION_ETC	Varie
CATEGORY_POTION_HAIRDYE	Colori di capelli
CATEGORY_SKILL	Abilità
CATEGORY_SKILL_BOOK_OF_OBLIVION	Libri dell'Amnesia
CATEGORY_SKILL_ETC	Varie
CATEGORY_SKILL_HORSE_SKILL_BOOK	Libro delle abilità del cavallo
CATEGORY_SKILL_PAHAE	Contrattacco | Boost
CATEGORY_SKILL_SKILL_BOOK	Libri delle abilità
CATEGORY_SORT_LOWEST_ALL_PRICE	Prezzo totale più basso
CATEGORY_SORT_LOWEST_COUNT	Quantità (da più basso a più alto)
CATEGORY_SORT_LOWEST_PER_PRICE	Prezzo singolo più basso
CATEGORY_SORT_MAXIMUN_ALL_PRICE	Prezzo totale più alto
CATEGORY_SORT_MAXIMUN_COUNT	Quantità (da più alto a più basso)
CATEGORY_SORT_MAXIMUN_PER_PRICE	Prezzo singolo più alto
CATEGORY_SORT_RECENT	Più nuovi
CATEGORY_TUNING	Miglioramenti
CATEGORY_TUNING_ALCHEMY	Incrementa le probabilità di successo
CATEGORY_TUNING_ETC	Varie
CATEGORY_TUNING_RESOURCE	Materiali
CATEGORY_TUNING_STONE	Pietre spirituali
CATEGORY_UNIQUE	Item speciali
CATEGORY_UNIQUE_ABILITY	Beni di consumo
CATEGORY_UNIQUE_ETC	Varie
CATEGORY_WEAPON_WEAPON_ARROW	Frecce
CATEGORY_WEAPON_WEAPON_BELL	Campane
CATEGORY_WEAPON_WEAPON_BOW	Archi
CATEGORY_WEAPON_WEAPON_CLAW	Artigli
CATEGORY_WEAPON_WEAPON_DAGGER	Pugnali
CATEGORY_WEAPON_WEAPON_FAN	Ventagli
CATEGORY_WEAPON_WEAPON_MOUNT_SPEAR	Lance
CATEGORY_WEAPON_WEAPON_QUIVER	Faretre
CATEGORY_WEAPON_WEAPON_SWORD	Arma a una mano
CATEGORY_WEAPON_WEAPON_TWO_HANDED	Armi a due mani
CHANGE_ALREADY_REGISTER	[Proiezione] Questo oggetto è già stato registrato.
CHANGE_LOOK_CHANGE_ITEM	Vuoi proiettarlo?
CHANGE_LOOK_CHECK_OUT_REGISTER_ITEM	[Proiezione] Prima rimuovi l'oggetto sul quale desideri applicare la proiezione.
CHANGE_LOOK_COST	Prezzo della proiezione: %s Yang
CHANGE_LOOK_DEL_ITEM	L'oggetto assorbito andrà perso.
CHANGE_LOOK_DO_NOT_CHANGE_LOOK_ITEM	[Proiezione] Questo oggetto non può essere proiettato.
CHANGE_LOOK_DO_NOT_EQUIP_ITEM	[Proiezione] Non puoi proiettare l'oggetto mentre fa parte del tuo equipaggiamento.
CHANGE_LOOK_DO_NOT_REGISTER_ITEM	[Proiezione] Questo oggetto non può essere registrato.
CHANGE_LOOK_DO_NOT_SEAL_ITEM	[Proiezione] Questo oggetto è legato all'anima.
CHANGE_LOOK_INSERT_CHANGE_LOOK_ITEM	[Proiezione] Registra l'oggetto che desideri proiettare.
CHANGE_LOOK_INSERT_ITEM	[Proiezione] Prima devi registrare l'oggetto.
CHANGE_LOOK_NEED_MONEY	I tuoi Yang non sono sufficienti oppure non possiedi abbastanza oggetti.
CHANGE_LOOK_OPEN_OTHER_WINDOW	[Proiezione] Non è possibile compiere quest'azione mentre la finestra "Proiezione" è aperta.
CHANGE_LOOK_TITLE	Proiezione
CHANGE_LOOK_TITLE2	Trasformazione cavalcatura
CHANGE_PET_PLEASE_APPEND_FIRST	Bisogna prima selezionare il pet.
CHANGE_TOOLTIP2_LINE1	A sinistra inserisci l'oggetto di destinazione e a destra il materiale.
CHANGE_TOOLTIP2_LINE2	Clicca sulla spunta per utilizzare degli Yang o un Buono trasformazione per modificare l'aspetto della tua cavalcatura.
CHANGE_TOOLTIP2_LINE3	Il Buono trasformazione modifica l'aspetto della cavalcatura senza che si debbano utilizzare degli Yang. Una volta utilizzato, il buono verrà eliminato.
CHANGE_TOOLTIP2_LINE4	Se si modifica l'aspetto di una cavalcatura, la durata dell'aspetto originario della cavalcatura modificata resterà invariata. Inoltre, la durata del materiale non sarà mai maggiore rispetto a quella della cavalcatura di destinazione.
CHANGE_TOOLTIP2_LINE5	Nel caso in cui la cavalcatura di destinazione sia permanente e il materiale abbia invece una durata specifica, la cavalcatura manterrà l'aspetto modificato per la durata specifica del materiale.
CHANGE_TOOLTIP_LINE1	Poggia a sinistra l'oggetto sul quale si dovrà effettuare la proiezione.
CHANGE_TOOLTIP_LINE2	Poggia l'altro oggetto a destra.
CHANGE_TOOLTIP_LINE3	L'apparenza dell'oggetto si modifica
CHANGE_TOOLTIP_LINE4	quando confermi la proiezione (tasto V) e ti viene sottratto dello Yang.
CHANGE_TOOLTIP_LINE5	Quando usi questo oggetto,
CHANGE_TOOLTIP_LINE6	puoi proiettare il tuo item senza usare Yang.
CHANGE_TOOLTIP_TITLE	Proiezione
CHANNEL	Canale
CHANNELING_CANNOT_LOGOUT	Non puoi tornare alla pagina d'iscrizione.
CHANNEL_EMPTY_SERVER	Nessun server
CHANNEL_NORMAL	Canale %d
CHANNEL_NOTIFY_FULL	Questo canale è pieno! Sei pregato di sceglierne un altro.
CHANNEL_NOT_FIND_INFO	Non ricevi nessuna informazione sul canale.
CHANNEL_PVP	Duello libero
CHANNEL_SELECT_CHANNEL	Scegli il canale
CHANNEL_SELECT_REGION	Scegli il luogo per il conto
CHANNEL_SELECT_SERVER	Scegli il server
CHANNEL_STATUS_BUSY	Molto frequentato
CHANNEL_STATUS_FULL	Pieno
CHANNEL_STATUS_OFFLINE	Sconosciuto
CHANNEL_STATUS_RECOMMENDED	Consigliato
CHANNEL_STATUS_VACANT	Poco frequentato
CHANNEL_TEST_SERVER	Testa il server
CHANNEL_TEST_SERVER_ADDR	Test %s:%d
CHARACTER_CREATE_MODE	Crea personaggio
CHARACTER_NAME	Nome
CHARACTER_SELECT_MODE	Seleziona personaggio
CHARGE_BEAD_QUESTION	Sfere Anima necessarie: %d Vuoi continuare?
CHATTING_SETTING_ADD	Aggiungi scheda
CHATTING_SETTING_ADD_MAX	Hai raggiunto il limite massimo.
CHATTING_SETTING_CHANGE_TITLE_NAME	Vuoi salvare il nome di questa chat?
CHATTING_SETTING_CHANGE_TITLE_NOT	Non è possibile modificare il nome della chat generale.
CHATTING_SETTING_CLEAR_QUESTION	Resettare?
CHATTING_SETTING_DEL	Rimuovi campo
CHATTING_SETTING_LANGUAGE_OFF	Off
CHATTING_SETTING_LANGUAGE_ON	On
CHATTING_SETTING_QUESTION_DESC_1	1. Imposta un messaggio per gli EXP ottenuti dopo aver ucciso mostri o per gli EXP consumati.
CHATTING_SETTING_QUESTION_DESC_2	2. Imposta un messaggio per i bottini droppati o per gli Yang ricevuti.
CHATTING_SETTING_RETURN	Ripristina campo
CHATTING_SETTING_SETTING	Impostazioni
CHAT_ALL	Tutti
CHAT_BLOCK	Blocca
CHAT_DICE_INFO	Tira
CHAT_GUILD	Gilda
CHAT_INFORMATION	Info
CHAT_INSULT_STRING	La frase contiene parole proibite
CHAT_LOG	Mostra i messaggi vecchi [L]
CHAT_LOG_TITLE	Protocollo della chat
CHAT_MESSAGE_CLIENT_VERSION_NOT_MATCH	Sei stato disconnesso perché la versione del client non corrisponde. Aggiorna la versione e accedi nuovamente.
CHAT_NORMAL	Normale
CHAT_NOTICE	Server
CHAT_PARTY	Gruppo
CHAT_SEND_CHAT	Invia Chat
CHAT_SEND_MEMO	Invia Chat privata [Shift+Invio]
CHAT_SHOUT	Chiama
CHAT_SHOUT_LIMIT	Puoi chiamare ogni 15 secondi.
CHAT_WHISPER	Chat privata
CHEQUE_SYSTEM_DO_NOT_DROP_MONEY	Non puoi fare cadere i soldi.
CHEQUE_SYSTEM_PICK_WON	Hai ottenuto %s Won.
CHEQUE_SYSTEM_SELL_PRICE	[Prezzo di vendita]
CHEQUE_SYSTEM_UNIT_WON	Won
CHEQUE_SYSTEM_UNIT_YANG	Yang
CHEQUE_SYSTEM_WON	%s Won
CHEQUE_SYSTEM_YANG	%s Yang
CHEQUE_USE_WON	Sono stati spesi %s Won.
CLEAR_FLOOR	Livello
CLEAR_TIME	Tempo
CLICK_BEAD_DESCRIPTION	Sono necessarie delle Sfere anima per ricevere un biglietto d'ingresso per il Tempio dello Zodiaco. Vai al Teleporter del villaggio.
ClosePetChangeWndButton	Chiudi
COMB_ACCE_IS_CONTINUE_PROCESS	Vuoi continuare?
COMB_ACCE_WARNING_MESSAGE	In caso di successo totale o parziale, l'originale verrà distrutto. Il trasferimento potrebbe non andare a buon fine. In caso di fallimento o successo parziale, il tasso di assorbimento della stola di destinazione diminuirà.
COMB_ACCE_WARNING_MESSAGE1	In caso di successo totale o parziale, la stola di partenza verrà distrutta.
COMB_ACCE_WARNING_MESSAGE2	Il trasferimento potrebbe non andare a buon fine.
COMB_ACCE_WARNING_MESSAGE3	In caso di fallimento o successo parziale, il tasso di assorbimento della stola di destinazione diminuirà.
COMB_ACCE_WILL_REMOVE_MATERIAL	In caso di successo totale o parziale, la stola di partenza verrà distrutta.
COMB_ALREADY_APPEND	Questo oggetto è già stato selezionato.
COMB_CANT_APPEND_ITEM	Questo oggetto non può essere utilizzato.
COMB_CANT_APPEND_SEALED_ITEM	Non si possono utilizzare oggetti legati all'anima.
COMB_CANT_BASE_ITEM	Non è possibile scegliere come stola di destinazione una stola che possiede già dei bonus.
COMB_CANT_MATCH_DRAINRATE	Il trasferimento del bonus presuppone che entrambi gli item abbiano lo stesso tasso di assorbimento.
COMB_CANT_MATCH_GRADE	Il trasferimento del bonus presuppone che entrambi gli item abbiamo lo stesso grado.
COMB_CANT_MATERIAL_ITEM	L'item originale deve possedere un bonus.
COMB_COST	Prezzo: %s
COMB_IS_CONTINUE_PROCESS	Desideri continuare?
COMB_NOTICE	Non puoi aprire un negozio privato mentre stai scambiando dei libri.
COMB_NOTICE_NOT_OPEN	Non puoi scambiar libri mentre hai un negozio privato aperto.
COMB_NOT_ALL_SLOT_APPEND_ITEM	Per poter trasferire i bonus ti servono un item originale, un item di destinazione e l'item per il trasferimento.
COMB_NOT_FULL_BOOK	No, non ci siamo. Come ti ho già spiegato, sono disposto a fare lo scambio solo se mi porti 10 libri.
COMB_NOT_ITEM_IN_INVENTORY	Non puoi utilizzare oggetti già in uso.
COMB_NOT_MEDIUM_ITEM	Questo oggetto non può essere utilizzato.
COMB_WILL_REMOVE_MATERIAL	In caso di successo, l'originale verrà distrutto.
COMMUNITY_ADD_BLOCK	Hai bloccato %s.
COMMUNITY_ADD_FRIEND	Hai aggiunto %s alla lista amici.
COMMUNITY_ALREADY_BLOCKED	Già bloccato.
COMMUNITY_ALREADY_FRIEND	Siete già amici.
COMMUNITY_ALREADY_REQUESTED_BEFORE	Hai già inviato una richiesta d'amicizia.
COMMUNITY_BLOCKED_ALREADY	Hai già bloccato %s.
COMMUNITY_BLOCKED_EXCHANGE	Commercio
COMMUNITY_BLOCKED_FRIEND_REQUEST	Richiesta d'amicizia
COMMUNITY_BLOCKED_FUNCTION	Bloccato:
COMMUNITY_BLOCKED_GUILD_INVITE	Invito Gilda
COMMUNITY_BLOCKED_PARTY_INVITE	Richiesta Gruppo
COMMUNITY_BLOCKED_PARTY_JOIN	Invito Gruppo
COMMUNITY_BLOCKED_PARTY_WHISPER	Chat privata
COMMUNITY_CANT_ACTION_TIMER	Riprova più tardi.
COMMUNITY_CANT_ADD_BLOCK_ANYMORE	Non puoi bloccare altri giocatori (max. %d).
COMMUNITY_CANT_ADD_FRIEND_ANYMORE	Non puoi avere altri amici (max. %d).
COMMUNITY_CANT_ADD_FRIEND_SELF	Non puoi aggiungerti alla tua lista amici.
