ACCEPT	ÎÊ
BATTLE_FIELD_OPERATION_TIME_END	Ïîëå áîÿ áóäåò îòêğûòî åùå %s ÷.
BATTLE_FIELD_OPERATION_TIME_NA	Ñåé÷àñ âîéòè íåëüçÿ.
BATTLE_FIELD_OPERATION_TIME_OPEN	Âîéòè ìîæíî áóäåò ÷åğåç %s ÷. íà %s ÷.
BATTLE_FILED_RANK	Ğàíã
BATTLE_FILED_RANK_EMPIRE	Èìïåğèÿ
BATTLE_FILED_RANK_NAME	Íàçâàíèå
BATTLE_FILED_RANK_POINT	Î÷êè
BATTLE_ROYALE_APPLICATION_TITLE	Êîğîëåâñêàÿ áèòâà
BATTLE_ROYALE_MAINBUTTON_APPLICATION	Ó÷àñòâîâàòü
BATTLE_ROYALE_MAINBUTTON_RANKING	Ğåéòèíã
BATTLE_ROYALE_RETURN_TO_TOWN	Âåğíóòüñÿ â äåğåâíş
BELT_INVENTORY_TITLE	Ïîÿñíîé èíâåíòàğü
BNW_GAME_UI_COM	Âğàã
BNW_RANK_UI_COUNT	×èñëî âçíîñîâ
BNW_RANK_UI_NAME	Èìÿ
BNW_RANK_UI_RANK	Ğàíã
CANCEL	Îòìåíà
CHANGE_ATTR_SELECT	Ñìåíèòü áîíóñ
CHANGE_PASSWORD_CONFIRM	Ïîâòîğèòå ïàğîëü
CHANGE_PASSWORD_NEW	Íîâûé ïàğîëü
CHANGE_PASSWORD_OLD	Ñòàğûé ïàğîëü
CHANGE_PASSWORD_TITLE	Ñìåíà ïàğîëÿ
CHARACTER_ACTION	İìîöèè
CHARACTER_EMOTICON	İìîöèÿ
CHARACTER_MAIN	Ïåğñîíàæ
CHARACTER_MUTUAL_ACTION	Èíòåğàêòèâíûå ıìîöèè
CHARACTER_NORMAL_ACTION	Ñòàíäàğòíûå ıìîöèè
CHARACTER_QUEST	Ìèññèè
CHARACTER_SKILL	Íàâûêè
CHARACTER_SPECTIAL_ACTION	Îñîáûå äåéñòâèÿ
CHATTING_SETTING_CANCLE	Îòìåíèòü
CHATTING_SETTING_CLEAR	Ñáğîñèòü
CHATTING_SETTING_DEFAULT_TITLE	Îáùåå
CHATTING_SETTING_DETAIL	Íàñòğîéêè ñèñòåìû
CHATTING_SETTING_DICE	Êóáèê
CHATTING_SETTING_DICE_SETTING	Íàñòğîéêè êóáèêà
CHATTING_SETTING_EXP	Îïûò
CHATTING_SETTING_GOLD	Âàëşòà
CHATTING_SETTING_GUILD	Ãèëüäèÿ
CHATTING_SETTING_ITEM	Ïğåäìåòû
CHATTING_SETTING_LANGUAGE_1	ßçûê 1
CHATTING_SETTING_LANGUAGE_2	ßçûê 2
CHATTING_SETTING_LANGUAGE_3	ßçûê 3
CHATTING_SETTING_LANGUAGE_CUR	Òåêóùèé ÿçûê ( %s )
CHATTING_SETTING_LANGUAGE_ONOFF	Ôèëüòğ
CHATTING_SETTING_LIST	Ñïèñîê
CHATTING_SETTING_NOTICE	Ñîîáùåíèå
CHATTING_SETTING_PARTY	Ãğóïïà
CHATTING_SETTING_SAVE	Ñîõğàíèòü
CHATTING_SETTING_SHOUT	Ãîëîñ
CHATTING_SETTING_SYSTEM	Ñèñòåìà
CHATTING_SETTING_TABNAME	Íàñòğîéêè èìåíè ÷àòà
CHATTING_SETTING_TALKING	Îáùåå
CHATTING_SETTING_TITLE	Íàñòğîéêè ÷àòà
CHAT_FILTER	Ôèëüòğ ÷àòà
CHAT_FILTER_DICE	Êóáèê
CLOSE	Çàêğûòü
COMB_APPEARANCE	Àäğåñàò
COMB_ATTRIBUTE	Èñõîäíèê
COMB_MAIN	Àäğåñàò
COMB_MATERIAL	Èñõîäíèê
COMB_SKILLBOOK_TILE	Îáìåíÿòü êíèãè
COMB_TITLE	
COMMUNITY_ACCEPT	Ïğèíÿòü
COMMUNITY_ADD_FAVORITE_QUESTION	Äîáàâèòü â èçáğàííîå?
COMMUNITY_AUTO_HUNT	Ïğèìåíÿåò àâòîîõîòó
COMMUNITY_CHANNEL_INFO	Êàíàë: %d
COMMUNITY_CONFIG_FAMILY_MEMBER_LOGIN_ALARM	Äîáàâèòü óâåäîìëåíèå «Â ñåòè» äëÿ ñóïğóãà
COMMUNITY_CONFIG_FRIEND_MEMBER_LOGIN_ALARM	Äîáàâèòü óâåäîìëåíèå «Â ñåòè» äëÿ äğóçåé
COMMUNITY_CONFIG_GUILD_MEMBER_LOGIN_ALARM	Äîáàâèòü óâåäîìëåíèå «Â ñåòè» äëÿ ÷ëåíîâ ãèëüäèè
COMMUNITY_CONFIG_INCLUDE_FAMILY_MEMBER	Èñêëş÷èòü è êàê âîçìîæíîãî ñóïğóãà
COMMUNITY_CONFIG_INCLUDE_FRIEND_MEMBER	Èñêëş÷èòü è êàê âîçìîæíîãî äğóãà
COMMUNITY_CONFIG_INCLUDE_GUILD_MEMBER	Èñêëş÷èòü è êàê âîçìîæíîãî ÷ëåíà ãèëüäèè
COMMUNITY_CONFIG_INIT	Ñáğîñèòü
COMMUNITY_CONFIG_INIT_QUESTION	Õîòèòå ñáğîñèòü íàñòğîéêè?
COMMUNITY_CONFIG_LEVEL_INFO_SHOW	Âûáåğèòå, ÷òîáû äğóçüÿ èç ñïèñêà äğóçåé âèäåëè âàø óğîâåíü.
COMMUNITY_CONFIG_LOCATION_INFO_SHOW	Âûáåğèòå, ÷òîáû äğóçüÿ èç ñïèñêà äğóçåé âèäåëè, ãäå âû ñåé÷àñ.
COMMUNITY_CONFIG_MAIN_BLOCK	Íàñòğîéêè áëîêèğîâêè
COMMUNITY_CONFIG_MAIN_LOGIN_ALARM	Íàñòğîéêè óâåäîìëåíèé «Â ñåòè»
COMMUNITY_CONFIG_MAIN_MY_INFO_ALARM	Íàñòğîéêè óâåäîìëåíèé äëÿ ïğîôèëÿ
COMMUNITY_CONFIG_OFF	ÂÛÊË
COMMUNITY_CONFIG_ON	ÂÊË
COMMUNITY_CONFIG_QUESTION_SAVE	Õîòèòå ñîõğàíèòü èçìåíåíèÿ?
COMMUNITY_CONFIG_SAVE	Ñîõğàíèòü
COMMUNITY_CONFIG_SUB_BLOCK_EXCHANGE	Áëîêèğîâàòü òîğãîâëş (1 : 1)
COMMUNITY_CONFIG_SUB_BLOCK_FRIEND_REQUEST	Áëîêèğîâàòü çàïğîñ íà äğóæáó
COMMUNITY_CONFIG_SUB_BLOCK_GUILD_INVITE	Áëîê. ïğèãëàø. â ãèëüäèş
COMMUNITY_CONFIG_SUB_BLOCK_PARTY_INVITE	Áëîê. ïğèãëàø. â ãğóïïó
COMMUNITY_CONFIG_SUB_BLOCK_PARTY_REQUEST	Áëîê. çàïğîñ â ãğóïïó
COMMUNITY_CONFIG_SUB_BLOCK_WHISPER	Áëîêèğîâàòü øåïîò
COMMUNITY_CONFIG_SUB_LOGIN_ALARM	Óâåäîìëåíèÿ «Â ñåòè»
COMMUNITY_CONFIG_SUB_MY_INFO_ALARM	Ïîêàçàòü ïğîôèëü
COMMUNITY_CONNECT	Â ñåòè
COMMUNITY_DELETE_FAVORITE_QUESTION	Óáğàòü èç èçáğàííîãî?
COMMUNITY_DISCONNECT	Íå â ñåòè
COMMUNITY_DISCONNECT_DIALOG	Äğóãèå èãğîêè èç ıòîãî ñïèñêà âèäÿò âàñ êàê «Íå â ñåòè».
COMMUNITY_ERROR	Íåèçâåñòíî
COMMUNITY_FAVORITE_BUTTON	Â èçáğàííîå
COMMUNITY_GUILD_INFO	Èíôîğìàöèÿ î ãèëüäèè
COMMUNITY_HAS_NO_GUILD	Âû ñåé÷àñ íå ñîñòîèòå â ãèëüäèè.
COMMUNITY_HAS_NO_GUILD_2	Âçãëÿíèòå íà äîñòóïíûå ãèëüäèè.
COMMUNITY_LEFT_SEAT	Íå â èãğå
COMMUNITY_LEFT_SEAT_DIALOG	Äğóãèå èãğîêè èç ıòîãî ñïèñêà âèäÿò âàñ êàê «Íå â èãğå».
Ïîêà âû íå â èãğå, âû ìîæåòå ïğîïóñòèòü íîâîñòè è
ïğèãëàøåíèÿ â ãğóïïó îò äğóãèõ èãğîêîâ.
COMMUNITY_MAIN_TAB_CONFIG	Íàñòğîéêà
COMMUNITY_MAIN_TAB_FRIEND	Äğóã
COMMUNITY_MAIN_TAB_GUILD	Ãèëüäèÿ
COMMUNITY_MAIN_TITLE	Ñîîáùåñòâî
COMMUNITY_MAP_INFO	Ğàñïîëîæåíèå: %s
COMMUNITY_MESSENGER_BLOCK_DELETE	Ğàçáëîêèğîâàòü
COMMUNITY_MESSENGER_FRIEND_DELETE	Óäàëèòü
COMMUNITY_MESSENGER_SUB_TAB_BLOCK	Ñïèñîê áëîêèğîâêè
COMMUNITY_MESSENGER_SUB_TAB_FRIEND	Ñïèñîê äğóçåé
COMMUNITY_MESSENGER_SUB_TAB_GUILD_MEMBER	×ëåíû ãèëüäèè
COMMUNITY_MESSENGER_SUB_TAB_REQUEST	Çàïğîñû íà äğóæáó
COMMUNITY_MESSENGER_WHISPER	Øåïîò
COMMUNITY_MOUSE_OVER_IN_STATUS_MESSAGE_BUTTON	Íàæìèòå, ÷òîáû óêàçàòü ñâîé ñòàòóñ.
COMMUNITY_MY_STATUS_MESSAGE	Ìîé ñòàòóñ
COMMUNITY_NO_GUILD	Íåò ãèëüäèè
COMMUNITY_PARTY_INVITE	Ïğèãëàøåíèå â ãğóïïó
COMMUNITY_REFUSE	Îòêëîíèòü
COMMUNITY_SHOP_OPEN	Çàõîäèò â ìàãàçèí
COMMUNITY_STATUS_MESSAGE_GUILD_TEXT	Çäåñü ìîæíî íàïèñàòü ñîîáùåíèå.
COMMUNITY_TOOLTIP_LOVE_POINT	Î÷êè ëşáâè: %d %%
COSTUME_TITLE	Êîñòşìû
COSTUME_WINDOW_TITLE	Êîñòşìû
CRAFT_INTEGRATE_BUTTON_CANCEL	Îòìåíèòü
CRAFT_INTEGRATE_BUTTON_RUN	Âûïîëíèòü
CRAFT_INTEGRATE_FAIL_COUNT	×èñëî íåóäà÷
CRAFT_INTEGRATE_NEED_MATERIAL_TITLE_BAR	Òğåáóåìûå ìàòåğèàëû
CRAFT_INTEGRATE_SUCCESS_COUNT	×èñëî óñïåõîâ
CRAFT_INTEGRATE_TRY_COUNT	×èñëî ïîïûòîê
CREATE_ATT_GRADE	Ñèëà
CREATE_CREATE	Ñîçäàòü
CREATE_DEX_GRADE	Ïîäâèæíîñòü
CREATE_HP	ÕÏ
CREATE_LAST_POINT	Î÷êè
CREATE_MAN	Ìóæñê.
CREATE_NAME	Èìÿ
CREATE_NEXT	Äàëüøå
CREATE_PREV	Îáğàòíî
CREATE_SEX	Ïîë
CREATE_SHAPE	Âíåøíîñòü
CREATE_SP	Èíò.
CREATE_STAT_RESET	Ñáğîñ
CREATE_WOMAN	Æåíñê.
CUBE_INFO_TITLE	Êíèãà óëó÷øåíèÿ
CUBE_RENEWAL_BELT_IMPROVE	Ïîâûñèòü øàíñû
CUBE_RENEWAL_TITLE	Óëó÷øåíèå
CUBE_REQUIRE_MATERIAL	Òğåáóåìûå ìàòåğèàëû
CUBE_REQUIRE_MATERIAL_OR	èëè
CUBE_TITLE	Îêíî óëó÷øåíèÿ
CURRENT_POINT	Òåêóùèå î÷êè: %s
CZ_REWARD_WINDOW_TITLE	Õğàì Çîäèàêà
DO_CHANGE_ATTR	Ïğèìåíèòü
DO_REFINE	Óëó÷øèòü
DRAGONSOUL_ACTIVATE	Àêòèâèğîâàòü
DRAGONSOUL_CHANGE_ATTR_WINDOW_TITLE	Ñìåíà áîíóñà äëÿ ìèôè÷åñêèõ êàìíåé Äğàêîíà
DRAGONSOUL_PAGE_BUTTON_1	Íåîáğàáîòàííûé
DRAGONSOUL_PAGE_BUTTON_2	Îáğàáîòàííûé
DRAGONSOUL_PAGE_BUTTON_3	Ğåäêèé
DRAGONSOUL_PAGE_BUTTON_4	Àíòè÷íûé
DRAGONSOUL_PAGE_BUTTON_5	Ëåãåíäàğíûé
DRAGONSOUL_PAGE_BUTTON_6	Ìèôè÷åñêè
DRAGONSOUL_REFINE_WINDOW_TITLE	Îêíî óëó÷øåíèÿ
DRAGONSOUL_TAP_TITLE_1	Àëìàç Äğàêîíà
DRAGONSOUL_TAP_TITLE_2	Ğóáèí Äğàêîíà
DRAGONSOUL_TAP_TITLE_3	Íåôğèò Äğàêîíà
DRAGONSOUL_TAP_TITLE_4	Ñàïôèğ Äğàêîíà
DRAGONSOUL_TAP_TITLE_5	Ãğàíàò Äğàêîíà
DRAGONSOUL_TAP_TITLE_6	Îíèêñ Äğàêîíà
DRAGONSOUL_TAP_TITLE_7	Àìåòèñò Äğàêîíà
DRAGONSOUL_TITLE	Àëõèìèÿ Êàìíåé Äğàêîíà
DRAGON_GATE_AUTO_REINFORCE_TEXT	
DRAGON_GATE_BASE_NAME	
DRAGON_GATE_NAME	
DRAGON_GATE_REINFORCE_TEXT	
DRAGON_GATE_SIDE_NAME	
DRAGON_GATE_SIDE_NAME_BY_INDEX	
DUTCHAUCTION_BUTTON	Àãà!
DUTCHAUCTION_TITLE	SALE
EASTER_EGG_NOT_HAS_YET	İòî ÿéöî åùå íå ïîäîáğàíî.
EASTER_EGG_RECEIVE_REWARD_BUTTON	Íàøëîñü íîâîå ÿéöî!
EASTER_EGG_TITLE	Ïàñõà
EASTER_EGG_TOTAL_COUNT	Âñåãî ïàñõàëüíûõ ÿèö
EMPIRE_A	Øèíüçî
EMPIRE_ALL	Âñå
EMPIRE_B	Õóíäæî
EMPIRE_C	Äæèííî
EMPIRE_EXIT	Âûõîä
EMPIRE_NEXT	Äàëüøå
EMPIRE_PREV	Îáğàòíî
EMPIRE_SELECT	âûáğàòü
END_TIME	Òåêóùåå ñîáûòèå
ENTER_BATTLE_FIELD	Âîéòè
EQUIPMENT_SLOT_1	Ïåğâàÿ ñòğàíèöà ñíàğÿæåíèÿ
EQUIPMENT_SLOT_2	Âòîğàÿ ñòğàíèöà ñíàğÿæåíèÿ
EVENT_ALARM_TITLE	Îáçîğ ñîáûòèÿ
EVENT_NAME_TITLE	Íàçâàíèå
EVENT_REWARD_CHECK	Ïîñìîòğåòü
EVENT_REWARD_LIST_TITLE	Íàãğàäà
EVENT_REWARD_TITLE	Íàãğàäà
EXCHANGE_ACCEPT	OK
EXCHANGE_TITLE	òîğãîâàòü
EXIT_BATTLE_FIELD	Âû òî÷íî õîòèòå ïîêèíóòü ïîëå áîÿ?
EXIT_BATTLE_FIELD_ON_DEAD	Õîòèòå ïîêèíóòü ïîëå áîÿ ñ %d î÷êàìè?
EXPIRED_TIME	Ñîáûòèå çàêîí÷èëîñü.
FISHING_RENEWAL_TITLE	Ğûáíàÿ ëîâëÿ
FLOWER_EVENT_EXCHANGE_BUTTON_TEXT	Îáìåíÿòü
FLOWER_EVENT_SHOOT_CHRYSANTHEMUM_TEXT	Ğîñòêè õğèçàíòåìû
FLOWER_EVENT_SHOOT_DAFFODIL_TEXT	Ğîñòêè íàğöèññà
FLOWER_EVENT_SHOOT_LILY_TEXT	Ğîñòêè ëèëèè
FLOWER_EVENT_SHOOT_MAY_BELL_TEXT	Ğîñòêè ëàíäûøà
FLOWER_EVENT_SHOOT_SUNFLOWER_TEXT	Ğîñòêè ïîäñîëíóõà
FLOWER_EVENT_TITLE	Ğîñòêè â èíâåíòàğå
FOOTBALL_EVENT_TITLE	Ôóòáîëüíîå ñîáûòèå
FOOTBALL_USE_BUTTON	Ïğèìåíèòü
FORCE_EVENT_FORCE_MENU_TYPE	Îòçâóêè
FORCE_EVENT_FORCE_PLAY_TIME	Âğåìÿ èãğû
FORCE_EVENT_TITLE	Îòçâóêè âåêîâ
FRAGMENT_COMB_TITLE	Ñî÷åòàéòå êíèãè íàâûêîâ
GAMEOPTION_TITLE	Íàñòğîéêè
GAME_EXIT_OBSERVER	Âûõîä èç ğåæèìà Íàáëşäàòåëü
GAME_GUILD_WAR_JOIN	Ïğèñîåäèíèòüñÿ ê âîéíå ãèëüäèé
GAME_HELP	Ïîìîùü
GAME_OPTION_GAME	Íàñòğîéêè èãğû
GAME_OPTION_GAME_HP_BAR	Ïîëîñêà ÕÏ
GAME_OPTION_GAME_MONSTER_NAME	Èìåíà ìîíñòğîâ
GAME_OPTION_INIT	Ñáğîñèòü
GAME_OPTION_KEY	Íàçíà÷åíèå êëàâèø
GAME_OPTION_KEYSETTING_CAMERA	Êàìåğà
GAME_OPTION_KEYSETTING_EMOTION	İìîöèè
GAME_OPTION_KEYSETTING_ETC	Äğóãîå
GAME_OPTION_KEYSETTING_MOUNT	Åçäîâûå æèâîòíûå
GAME_OPTION_LOOTING	Íàñòğîéêè äîáû÷è
GAME_OPTION_PLAYER_TITLE	Òèòóë
GAME_OPTION_SHOW	Ïîêàçûâàòü
GAME_OPTION_SYSTEM	Ñèñòåìíûå íàñòğîéêè
GAME_QUEST	Çàäàíèÿ
GAME_SKILL_UP	Ïîâûñèòü íàâûê
GAME_STAT_UP	Ïîâûñèòü ñòàòóñ
GEMSHOP_LEFTTIME	Îñòàâøååñÿ âğåìÿ
GEMSHOP_TITLA	ÁÈĞÆÀ GAYA
GOLDEN_LAND_EVENT_POSSESSION_COUNT	Êîëè÷åñòâî
GOLDEN_LAND_EVENT_TITLE	Èçâå÷íàÿ ıêñïåäèöèÿ
GOLDEN_LAND_EVENT_TREE_FRUIT_TOOLTIP	Ó Òîğãîâöà èç êàğàâàíà ìîæíî ìåíÿòü ãîğüêèå ÿãîäû, íàéäåííûå íà óğîâíÿõ, íà çîëîòûå ÿãîäû.
GOLDEN_LAND_EVENT_YELLOW_FRUIT_TOOLTIP	Ó Òîğãîâöà èç êàğàâàíà ìîæíî ìåíÿòü ãîğüêèå ÿãîäû, íàéäåííûå íà óğîâíÿõ, íà çîëîòûå ÿãîäû.
GOLDEN_LAND_FIND_GOLDEN_FRUIT_FIND_CARD	Îòêğûòü ïîëÿ
GOLDEN_LAND_FIND_GOLDEN_FRUIT_NEED_YELLOW_FRUIT_COUNT	Íóæíî çîëîòûõ ÿãîä:
GOLDEN_LAND_FIND_GOLDEN_FRUIT_REWARD	Íàãğàäà
GOLDEN_LAND_FIND_GOLDEN_FRUIT_TITLE	Ïîèñê çîëîòûõ ÿãîä
GOLDEN_LAND_FIND_GOLDEN_FRUIT_TOOLTIP_RESET	Ñáğîñèòü
GOLDEN_LAND_FIND_GOLDEN_FRUIT_YELLOW_FRUIT_COUNT	Çîëîòûõ ÿãîä ó âàñ:
GOLDEN_LAND_STAGE_EXIT_BUTTON	Óéòè
GOLDEN_LAND_STAGE_EXIT_QUESTION	Âû òî÷íî õîòèòå ñäàòüñÿ? Âû ïåğåíåñåòåñü îáğàòíî â Çîëîòóş çåìëş.
GOLDEN_LAND_STAGE_NUMBER_TOOLTIP_1	Óğîâåíü 1
GOLDEN_LAND_STAGE_NUMBER_TOOLTIP_2	Óğîâåíü 2
GOLDEN_LAND_STAGE_NUMBER_TOOLTIP_3	Óğîâåíü 3
GOLDEN_LAND_STAGE_NUMBER_TOOLTIP_4	Óğîâåíü 4 (îàçèñ)
GOLDEN_LAND_STAGE_NUMBER_TOOLTIP_5	Óğîâåíü 5
GOLDEN_LAND_STAGE_NUMBER_TOOLTIP_6	Óğîâåíü 6
GOLDEN_LAND_STAGE_NUMBER_TOOLTIP_7	Óğîâåíü 7
GOLDEN_LAND_STAGE_NUMBER_TOOLTIP_8	Óğîâåíü 8 (îàçèñ)
GOLDEN_LAND_STAGE_NUMBER_TOOLTIP_9	Óğîâåíü 9
GOLDEN_LAND_STAGE_NUMBER_TOOLTIP_10	Óğîâåíü 10
GOLDEN_LAND_STAGE_NUMBER_TOOLTIP_11	Óğîâåíü 11
GOLDEN_LAND_STAGE_NUMBER_TOOLTIP_12	Óğîâåíü 12 (îàçèñ)
GOLDEN_LAND_STAGE_REMAIN_TIME	%d ìèíóò(û)
GOLDEN_LAND_STAGE_REMAIN_TIME_1M	Ìåíåå 1 ìèíóòû
GRADE	Êëàññèôèêàöèÿ
GRADE_SELECT	Êëàññèôèêàöèÿ
GRAPHICONOFF_DROP_ITEM_APPLY	Ïğèìåíèòü
GRAPHICONOFF_DROP_ITEM_LEVEL	Âûïàäåíèå ïğåäìåòîâ
GRAPHICONOFF_DROP_ITEM_LEVEL1	1
GRAPHICONOFF_DROP_ITEM_LEVEL1_TOOLTIP	Ïîêàçûâàòü ıôôåêò è íàçâàíèå
GRAPHICONOFF_DROP_ITEM_LEVEL2	2
GRAPHICONOFF_DROP_ITEM_LEVEL2_TOOLTIP	Ñêğûâàòü ıôôåêò
GRAPHICONOFF_DROP_ITEM_LEVEL3	3
GRAPHICONOFF_DROP_ITEM_LEVEL3_TOOLTIP	Ñêğûâàòü ıôôåêò è íàçâàíèå
GRAPHICONOFF_DROP_ITEM_LEVEL4	4
GRAPHICONOFF_DROP_ITEM_LEVEL4_TOOLTIP	Ñêğûâàòü ïğåäìåòû, íàçâàíèå ïî êóğñîğó
GRAPHICONOFF_DROP_ITEM_LEVEL5	5
GRAPHICONOFF_DROP_ITEM_LEVEL5_TOOLTIP	Íå ïîêàçûâàòü ïğåäìåòû è íàçâàíèå
GRAPHICONOFF_EFFECT_APPLY	Ïğèìåíèòü
GRAPHICONOFF_EFFECT_LEVEL	İôôåêòû
GRAPHICONOFF_EFFECT_LEVEL1	1
GRAPHICONOFF_EFFECT_LEVEL1_TOOLTIP	Ïîêàçûâàòü âñå
GRAPHICONOFF_EFFECT_LEVEL2	2
GRAPHICONOFF_EFFECT_LEVEL2_TOOLTIP	Òîëüêî ñâîè è ıôôåêòû ìîíñòğîâ
GRAPHICONOFF_EFFECT_LEVEL3	3
GRAPHICONOFF_EFFECT_LEVEL3_TOOLTIP	Òîëüêî ñâîè è ıôôåêòû äğóãèõ èãğîêîâ
GRAPHICONOFF_EFFECT_LEVEL4	4
GRAPHICONOFF_EFFECT_LEVEL4_TOOLTIP	Ïîêàçûâàòü òîëüêî ñâîè
GRAPHICONOFF_EFFECT_LEVEL5	5
GRAPHICONOFF_EFFECT_LEVEL5_TOOLTIP	Íå ïîêàçûâàòü
GRAPHICONOFF_NPC_NAME_STATUS	Èìåíà NPC
GRAPHICONOFF_NPC_NAME_STATUS_OFF	Âûêë
GRAPHICONOFF_NPC_NAME_STATUS_OFF_TOOLTIP	Ñêğûâàòü èìåíà NPC
GRAPHICONOFF_NPC_NAME_STATUS_ON	Âêë
GRAPHICONOFF_NPC_NAME_STATUS_ON_TOOLTIP	Ïîêàçûâàòü èìåíà NPC
GRAPHICONOFF_PET_STATUS	Ïèòîìöû
GRAPHICONOFF_PET_STATUS_OFF	Âûêë
GRAPHICONOFF_PET_STATUS_OFF_TOOLTIP	Ñêğûâàòü ïèòîìöåâ
GRAPHICONOFF_PET_STATUS_ON	Âêë
GRAPHICONOFF_PET_STATUS_ON_TOOLTIP	Ïîêàçûâàòü ïèòîìöåâ
GRAPHICONOFF_PRIVATE_SHOP_APPLY	Ïğèìåíèòü
