ACCE_ABSORB_COST	Ñòîèìîñòü ñî÷åòàíèÿ: %d
AURA_CLEAR_CANNOT_USE_SEALED_ITEM	Ïàğàìåòğû çà÷àğîâàííîãî îêîâàìè äóøè ïğåäìåòà íåëüçÿ èçìåíèòü.
AURA_CLEAR_QUESTION_WHEN_USE	Õîòè ñáğîñèòü äîáàâëåííûå ïàğàìåòğû? Èõ íåëüçÿ áóäåò äîáàâèòü ñíîâà.
AURA_DRAIN_PER	Äîëÿ ïîãëîùåíèÿ %.1f%%
AURA_EVOLUTION_GOLD	[Àóğà] Íåäîñòàòî÷íî ÿíã, ÷òîáû ğàçâèòü.
AURA_IMPOSSIBLE_ABSORBITEM	[Àóğà] Áîëüøå áîíóñîâ ïåğåíåñòè íåëüçÿ.
AURA_IMPOSSIBLE_EQUIPITEM	[Àóğà] Íàäåòûå è âûáğàííûå ïğåäìåòû íåëüçÿ ïåğåíîñèòü.
AURA_IMPOSSIBLE_EVOLUTION_ITEM	[Àóğà] Íåëüçÿ ğàçâèòü.
AURA_IMPOSSIBLE_EVOLUTION_ITEMCOUNT	[Àóğà] Íå õâàòàåò ïğåäìåòîâ äëÿ ğàçâèòèÿ.
AURA_IMPOSSIBLE_GROWTHITEM	[Àóğà] Íåëüçÿ óëó÷øèòü.
AURA_IMPOSSIBLE_REFINEITEM	[Àóğà] Òîëüêî îäåÿíèå àóğû, ùèò, îæåğåëüå, ñåğüãè èëè áğàñëåò.
AURA_IMPOSSIBLE_SEALITEM	[Àóğà] Çà÷àğîâàííûå îêîâàìè äóøè ïğåäìåòû íåëüçÿ ïåğåíîñèòü.
AURA_ITEM_NEED_REGISTER	[Àóğà] Íóæíî äîáàâèòü ïğåäìåòû.
AURA_LEVEL_STEP	Óğ. %d (ñòóïåíü %d)
AURA_MAX_LEVEL	[Àóğà] Ó îäåÿíèÿ àóğû ìàêñèìàëüíûé óğîâåíü.
AURA_NOTICE_DEL_ABSORDITEM	[Àóğà] Ïåğåíîñèìûé ïğåäìåò óíè÷òîæàåòñÿ.
AURA_OPEN_OTHER_WINDOW	İòî íåëüçÿ ñäåëàòü, ïîêà îòêğûòî îêíî óëó÷øåíèÿ, ğàçâèòèÿ èëè ïåğåäà÷è ïàğàìåòğîâ.
AURA_POSSIBLE_AURAITEM	[Àóğà] Òîëüêî îäåÿíèå àóğû.
AURA_POSSIBLE_REGISTER_AURAITEM	[Àóğà] Ñíà÷àëà íóæíî äîáàâèòü îäåÿíèå àóğû.
AURA_TITLE_ABSORB	Ïåğåíåñòè ïàğàìåòğû íà îäåÿíèå àóğû
AURA_TITLE_EVOLUTION	Ğàçâèòü îäåÿíèå àóğû
AURA_TITLE_GROWTH	Óëó÷øèòü îäåÿíèå àóğû
AURA_TOOLTIP_EXP	Îïûò (%d%% / 100%%)
AURA_TOOLTIP_LEVEL	Óğ. %d (ñòóïåíü %d) (äîëÿ ïîãëîùåíèÿ %.1f%%)
AURA_TOOLTIP_NEED_YANG	%s ÿíã
AURA_TOOLTIP_NEXT	Íîâ.
AURA_TOOLTIP_NOW	Òåêóù.
AURA_TOOLTIP_RESOURCE	Ğàñõîäíûé ïğåäìåò
AURA_TOOLTIP_RESOURCE_ITEM	%s * %d
AUTO_HUNTING_MSG_CANNOT_CHANGE_NON_WEAPON	İòî íåëüçÿ âûáğàòü, ïîêà èäåò àâòîîõîòà.
AUTO_HUNTING_MSG_CANNOT_START_WITHOUT_WEAPON	Åñëè âûáğàòü ıòîò ïğåäìåò, âû íå ñìîæåòå âêëş÷èòü àâòîîõîòó.
AUTO_HUNTING_OPTION_BOSS	Áîññ
AUTO_HUNTING_OPTION_KING	Óğîâåíü 5
AUTO_HUNTING_OPTION_KNIGHT	Óğîâåíü 3
AUTO_HUNTING_OPTION_PAWN	Óğîâåíü 1
AUTO_HUNTING_OPTION_STONE	Êàìåíü ìåòèíà
AUTO_HUNTING_OPTION_S_KNIGHT	Óğîâåíü 4
AUTO_HUNTING_OPTION_S_PAWN	Óğîâåíü 2
AUTO_TOOLTIP_CLEAR	Ñáğîñèòü
AUTO_TOOLTIP_LINE1	Íàâûêè: âûáåğèòå íàâûêè äëÿ áîÿ è ïåğåòàùèòå èõ â ÿ÷åéêè. (Ïğåìèóì)
AUTO_TOOLTIP_LINE2	Ïğèìå÷àíèå: äëÿ íåêîòîğûõ íàâûêîâ ìîæíî èçìåíÿòü èíòåğâàë ñğàáàòûâàíèÿ (â ñåêóíäàõ).
AUTO_TOOLTIP_LINE3	Çåëüÿ: âûáåğèòå çåëüÿ äëÿ áîÿ è ïåğåòàùèòå èõ â ÿ÷åéêè. (Ïğåìèóì)
AUTO_TOOLTIP_LINE4	Ïğèìå÷àíèå: ÕÏ- è ÌÏ-çåëüÿ ñğàáàòûâàşò, êîãäà çíà÷åíèÿ ÕÏ èëè ÌÏ â ïğîöåíòàõ ñòàíîâÿòñÿ íèæå, ÷åì óêàçàííûå ïîä çåëüåì.
AUTO_TOOLTIP_LINE5	Âíèìàíèå: àâòîìàòè÷åñêîå èñïîëüçîâàíèå íàâûêîâ, çåëèé è îæèâëåíèÿ ìîæíî âêëş÷èòü â ìàãàçèíå.
AUTO_TOOLTIP_LINE6	5. Âûáğàííûå çåëüÿ è ïğåäìåòû àâòîìàòè÷åñêè ïğèìåíÿşòñÿ ïî îêîí÷àíèè óñèëåíèÿ, îñòàâøèéñÿ ñğîê ïğè ıòîì íå îòîáğàæàåòñÿ.
AUTO_TOOLTIP_LINE7	6. Íàä ñòğåëêîé ğÿäîì ñ íàäïèñüş «Àòàêîâàòü» ìîæíî óâèäåòü, íàñêîëüêî ñèëåí ìîíñòğ, êîòîğîãî âû àòàêóåòå (â óğîâíÿõ ïî ñğàâíåíèş ñ âàøèì óğîâíåì).
AUTO_TOOLTIP_LINE8	7. Íàä ñòğåëêîé ğÿäîì ñ íàäïèñüş «Ôîêóñ» ìîæíî óâèäåòü, íà êàêîì ğàññòîÿíèè âû õîòèòå àòàêîâàòü ìîíñòğà.
AUTO_TOOLTIP_TITLE	Ïîìîùü ïğè àâòîîõîòå
BATTLE_MAP_NAME_AREA_1	Çîíà 1
BATTLE_MAP_NAME_AREA_2	Çîíà 2
BATTLE_MAP_NAME_AREA_3	Çîíà 3
BATTLE_MAP_NAME_AREA_4	Çîíà 4
BATTLE_MAP_NAME_AREA_5	Çîíà 5
BATTLE_MAP_NAME_AREA_6	Çîíà 6
BATTLE_MAP_NAME_AREA_7	Çîíà 7
BATTLE_MAP_NAME_AREA_8	Çîíà 8
BATTLE_MAP_NAME_AREA_9	Çîíà 9
BATTLE_POINT	Î÷êè áîÿ
BATTLE_ROYALE_ALIVE_COUNT	Â æèâûõ: %d
BATTLE_ROYALE_APPLICATION_TITLE	Êîğîëåâñêàÿ áèòâà
BATTLE_ROYALE_CANNOT_OPEN_MALL	İòî íåëüçÿ çäåñü îòêğûâàòü.
BATTLE_ROYALE_KILL_COUNT	Óáèòî âğàãîâ: %d
BATTLE_ROYALE_MAINBUTTON_APPLICATION	Ó÷àñòâîâàòü
BATTLE_ROYALE_MAINBUTTON_CANCEL	Ïğåğâàòü
BATTLE_ROYALE_MAINBUTTON_EXIT	Âûéòè
BATTLE_ROYALE_MAINBUTTON_STARTABLE	Íà÷àòü
BATTLE_ROYALE_NOTIFY_APPLICATED	Âû çàÿâèëèñü íà Êîğîëåâñêóş áèòâó. Âû ñìîæåòå ïğèñîåäèíèòüñÿ, êîãäà ñîáåğåòñÿ äîñòàòî÷íî ó÷àñòíèêîâ.
BATTLE_ROYALE_NOTIFY_ENTRY_CLOSED	Ğåãèñòğàöèÿ íà ó÷àñòèå â Êîğîëåâñêîé áèòâå çàêğûòà.
BATTLE_ROYALE_NOTIFY_STARTABLE	Âû ìîæåòå ïğèñîåäèíèòüñÿ ê Êîğîëåâñêîé áèòâå. Íàæìèòå íà êíîïêó ñîáûòèÿ, ÷òîáû ó÷àñòâîâàòü.
BATTLE_ROYALE_NOTIFY_WINNER	Âû ïîáåäèëè.
BATTLE_ROYALE_PERSONAL_RANK	Ëè÷íûé ğàíã: %d
BATTLE_ROYALE_QUESTION_USE_INFINITE_STAMINA	Õîòèòå ïğèìåíèòü Áåñêîíå÷íóş âûíîñëèâîñòü?
BATTLE_ROYALE_WHO_KILLED	Âàñ óáèë èãğîê %s
BATTLE_ROYALE_WINNER_1	Âû ïîáåäèëè â Êîğîëåâñêîé áèòâå!
BATTLE_ROYALE_WINNER_2	×åğåç íåñêîëüêî ñåêóíä âû ïåğåíåñåòåñü â äåğåâíş.
BEAD	Àíèìàñôåğà
BEAD_TIME_REMAINING_TO_GET	Àíèìàñôåğà çàãğóçèòñÿ ÷åğåç: %d ìèí.
BELT_RENEWAL_BANN_SIGN	Íåëüçÿ ïğîäîëæèòü.
BELT_RENEWAL_INVENTORY_FULL	Â âàøåì èíâåíòàğå íå õâàòàåò ìåñòà.
BNW_COIN	Ìîíåòà ïğîâèäöà
BUTTON_TOOLTIP_GUILD_SHOP	Îáìåí ìåäàëåé çà õğàáğîñòü
BUY_LIMIT_LEVEL	Ëèìèò íà ïîêóïêó: %s
CANNOT_ATTACK_DEST_IN_SAFE	Ïğîòèâíèê ñëèøêîì äàëåêî.
CANNOT_ATTACK_SELF_IN_SAFE	ß íå ìîãó àòàêîâàòü.
CANNOT_DOING_PRIVATE_SHOP_OPEN	Âû íå ìîæåòå äåëàòü íè÷åãî äğóãîãî, ïîêà âàøà ëàâêà îòêğûòà.
CANNOT_EQUIP_IN_EXCHANGE	Âû íå ìîæåòå ìåíÿòü ñíàğÿæåíèå âî âğåìÿ òîğãà.
CANNOT_EQUIP_IN_SHOP	Âû íå ìîæåòå ìåíÿòü ñíàğÿæåíèå âî âğåìÿ òîğãà.
CANNOT_FISHING_RIDE_MOUNT	Âû íå ìîæåòå ğûáà÷èòü, ïîêà âû âåğõîì íà åçäîâîì æèâîòíîì.
CANNOT_FISHING_WHILE_POLY	Âû íå ìîæåòå ğûáà÷èòü, åñëè ïğåâğàùåíû.
CANNOT_ILLUSTRATIONPAGE_WARP	Çäåñü íåëüçÿ èñïîëüçîâàòü òåëåïîğò êàğò ìîíñòğîâ.
CANNOT_MOVE_DRAGON_SOUL_WHILE_ATTACK	İòî äåéñòâèå íåäîñòóïíî, ïîêà âû äâèãàåòåñü.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	Îòêğûòèå ëàâêè íà îáùåì ìåñòå íåâîçìîæíî.
CANNOT_POLY_STATUS	Ñåé÷àñ âû íå ìîæåòå ïğåâğàòèòüñÿ.
CANNOT_PVP_MAP_MESSAGE	İòîãî íåëüçÿ ñäåëàòü â ıòîé îáëàñòè.
CANNOT_SHOOT_DEST_IN_SAFE	Ïğîòèâíèê ñëèøêîì äàëåêî.
CANNOT_SHOOT_EMPTY_ARROW	Ìíå íóæíà ñòğåëà.
CANNOT_SHOOT_SELF_IN_SAFE	ß íå ìîãó ñäåëàòü ıòîãî.
CANNOT_SKILL_APPROACH	ß óâåğåí, ÷òî íå ìîãó ïîäîéòè áëèæå.
CANNOT_SKILL_ATTACK	ß íå ìîãó àòàêîâàòü.
CANNOT_SKILL_BLUE	Ïîêà àêòèâèğîâàíà Îãíåííàÿ äóøà âîëêà, Íåáåñíóş äóøó âîëêà àêòèâèğîâàòü íåâîçìîæíî.
CANNOT_SKILL_DEST_IN_SAFE	Ïğîòèâíèê ñëèøêîì äàëåêî.
CANNOT_SKILL_EQUIP_FISHING_ROD	Áåç âûáğàííîãî óäèëèùà ğûáû íå ïîéìàòü.
CANNOT_SKILL_HAVE_TO_RIDE	Ìíå íóæåí êîíü, ÷òîáû ïğèìåíèòü ıòî.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	Ó ìåíÿ íåò ïóñòîãî êóâøèíà.
CANNOT_SKILL_NEED_POISON_BOTTLE	Ó ìåíÿ íåò êóâøèíà ñ ÿäîì.
CANNOT_SKILL_NEED_TARGET	Êòî öåëü?
CANNOT_SKILL_NOT_ENOUGH_HP	Ìíå íå õâàòàåò ÕÏ!
CANNOT_SKILL_NOT_ENOUGH_SP	Ìíå íå õâàòàåò MÏ!
CANNOT_SKILL_NOT_HORSE_SKILL	ß íå ìîãó ïğèìåíèòü ıòî, êîãäà ÿ íà êîíå.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	ß íå ìîãó ïğèìåíèòü ıòîò íàâûê, ïîëüçóÿñü ıòèì îğóæèåì.
CANNOT_SKILL_NOT_STANDING_HORSE_SKILL	Íåëüçÿ ïğèìåíèòü ıòîò íàâûê íà ıòî åçäîâîå æèâîòíîå.
CANNOT_SKILL_NOT_YET_LEARN	ß íå èçó÷èë ıòîò Íàâûê.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	İòî ğàñïğîñòğàíÿåòñÿ òîëüêî íà ó÷àñòíèêîâ ãğóïïû.
CANNOT_SKILL_ONLY_FOR_CORPSE	İòî ğàñïğîñòğàíÿåòñÿ òîëüêî íà óáèòûõ.
CANNOT_SKILL_RED	Ïîêà àêòèâèğîâàíà Íåáåñíàÿ äóøà âîëêà, Îãíåííóş äóøó âîëêà àêòèâèğîâàòü íåâîçìîæíî.
CANNOT_SKILL_REMOVE_FISHING_ROD	ß íå ìîãó ïğèìåíèòü ıòîò íàâûê, ïîëüçóÿñü óäî÷êîé.
CANNOT_SKILL_SELF_IN_SAFE	ß íå ìîãó àòàêîâàòü ïğîòèâíèêà ñ ıòîé ïîçèöèè.
CANNOT_SKILL_USE_SELF	ß íå ìîãó ïğèìåíèòü ıòî íà ñåáå.
CANNOT_SKILL_WAIT_COOLTIME	ß ïîêà íå ìîãó ïîëüçîâàòüñÿ ıòèì íàâûêîì.
CANNOT_UNEQUIP_IN_BATTLE	Âàì íåëüçÿ äâèãàòüñÿ, ÷òîáû ñíÿòü ïğåäìåò.
CANNOT_USE	Èñïîëüçîâàòü åãî íåâîçìîæíî.
CANNOT_USE_SUTRA_TO_GOOD_ALIGNMENT	Âû íå ìîæåòå ïğèìåíèòü Áîá Äçåí - âàøè òåìíûå êà÷åñòâà íåëüçÿ ïîíèçèòü åùå áîëüøå.
CANNOT_WHISPER_BLOCKED_TARGET	Ñíà÷àëà íóæíî óäàëèòü %s èç âàøåãî ñïèñêà áëîêèğîâêè.	SA
CANNOT_WHISPER_DEST_REFUSE	%s øåïòàíèå çàáëîêèğîâàíî.	SA
CANNOT_WHISPER_NOT_LOGON	%s âíå ñåòè.	SA
CANNOT_WHISPER_SELF_REFUSE	Âû íå ìîæåòå èñïîëüçîâàòü ğåæèì øåïíóòü, ïîëíîñòüş áëîêèğîâàâ åãî.	SNA
CANNOT_WHISPER_TARGET_BLOCKED_ME	Èãğîê %s âàñ çàáëîêèğîâàë.	SA
CANT_ATTACH_DUPLICATED_METIN_STONE	Âû íå ìîæåòå ïğèêğåïëÿòü íåñêîëüêî îäèíàêîâûõ êàìíåé äóõà.
CANT_USE_MESSAGE_WHEN_EQUIP	İòî íåëüçÿ ïğèìåíèòü íà âûáğàííîì (íàäåòîì) ïğåäìåòå.
CATCHKING_EVENT_MESSAGE_CARD_GAIN	Âû ïîëó÷àåòå êîëîäó(-û) êîğîëÿ.
CATCHKING_EVENT_MESSAGE_CARD_PEICE_GAIN	Âû ïîëó÷àåòå êàğòû êîğîëÿ.
CATCHKING_EVENT_MESSAGE_NOT_ENOUGHT_ITEM	Ó âàñ íå õâàòàåò ïğåäìåòîâ èëè çîëîòà äëÿ èãğû.
CATCHKING_EVENT_MESSAGE_NO_MORE_GAIN	Âû íå ìîæåòå ïîëó÷àòü áîëüøå êîëîä êîğîëÿ.
CATEGORY_ARMOR_ARMOR_BODY	Äîñïåõè
CATEGORY_ARMOR_ARMOR_GLOVE	Ïåğ÷àòêè
CATEGORY_ARMOR_ARMOR_HEAD	Øëåìû
CATEGORY_ARMOR_ARMOR_SHIELD	Ùèòû
CATEGORY_COSTUMES	Êîñòşìû
CATEGORY_COSTUMES_AURA	Îäåÿíèÿ àóğû
CATEGORY_COSTUMES_COSTUME_BODY	Êîñòşìû
CATEGORY_COSTUMES_COSTUME_HAIR	Ïğè÷åñêè
CATEGORY_COSTUMES_COSTUME_WEAPON	Îáëèêè îğóæèÿ
CATEGORY_COSTUMES_ETC	Ïğî÷åå
CATEGORY_COSTUMES_SASH	Øàğôû
CATEGORY_DRAGON_STONE	Àëõèìèÿ êàìíåé äğàêîíà
CATEGORY_DRAGON_STONE_DEMON	Àìåòèñò
CATEGORY_DRAGON_STONE_DRAGON_DIAMOND	Àëìàç
CATEGORY_DRAGON_STONE_DRAGON_GARNET	Ãğàíàò
CATEGORY_DRAGON_STONE_DRAGON_JADE	Íåôğèò
CATEGORY_DRAGON_STONE_DRAGON_ONYX	Îíèêñ
CATEGORY_DRAGON_STONE_DRAGON_RUBY	Ğóáèí
CATEGORY_DRAGON_STONE_DRAGON_SAPPHIRE	Ñàïôèğ
CATEGORY_DRAGON_STONE_ETC	Ïğî÷åå
CATEGORY_EQUIPMENT_ARMOR	Ñíàğÿæåíèå
CATEGORY_EQUIPMENT_JEWELRY	Óêğàøåíèÿ
CATEGORY_EQUIPMENT_WEAPON	Îğóæèÿ
CATEGORY_ETC	Ïğî÷åå
CATEGORY_ETC_ALL	Âñå
CATEGORY_ETC_ETC	Ïğî÷åå
CATEGORY_ETC_EVENT	Ïğåäìåòû äëÿ ıâåíòîâ
CATEGORY_ETC_GIFTBOX	Ëàğöû | Øêàòóëêè
CATEGORY_ETC_MATRIMORY	Ñâàäüáà
CATEGORY_ETC_PARTI	Êíèãè áîåâûõ èñêóñòâ
CATEGORY_ETC_POLYMORPH	Øàğû ïîëèìîğôà
CATEGORY_ETC_RECIPE	Èçãîòîâëåíèå çåëèé
CATEGORY_ETC_SEAL	Îêîâû äóøè
CATEGORY_FISHING_PICK	Ğûáîëîâñòâî | Ãîğíîå äåëî
CATEGORY_FISHING_PICK_EQUIPMENT_PICK	Êèğêè
CATEGORY_FISHING_PICK_ETC	Ïğî÷åå
CATEGORY_FISHING_PICK_FISHING_POLE	Óäèëèùà
CATEGORY_FISHING_PICK_FOOD	Ğûáà
CATEGORY_FISHING_PICK_PICK_BOOK	Êíèãè ãîğíîãî ğåìåñëà
CATEGORY_FISHING_PICK_STONE	Ğóäà
CATEGORY_JEWELRY_ARMOR_EAR	Ñåğüãè
CATEGORY_JEWELRY_ARMOR_FOOTS	Îáóâü
CATEGORY_JEWELRY_ARMOR_NECK	Îæåğåëüÿ
CATEGORY_JEWELRY_ARMOR_PENDANT	Òàëèñìàí
CATEGORY_JEWELRY_ARMOR_WRIST	Áğàñëåòû
CATEGORY_JEWELRY_ITEM_BELT	Ïîÿñà
CATEGORY_MOUNT_PET	Åçäîâûå æèâîòíûå | Ïèòîìöû
CATEGORY_MOUNT_PET_CHARGED_PET	Ïèòîìöû
CATEGORY_MOUNT_PET_EGG	ßéöà ïèòîìöåâ
CATEGORY_MOUNT_PET_FREE_PET	Ïèòîìöû ñî ñïîñîáíîñòüş ïîâûøåíèÿ óğîâíÿ
CATEGORY_MOUNT_PET_MOUNT	Åçäîâûå æèâîòíûå
CATEGORY_POTION	Çåëüÿ
CATEGORY_POTION_ABILITY	Ğàñõîäíûå ìàòåğèàëû
CATEGORY_POTION_ETC	Ïğî÷åå
CATEGORY_POTION_HAIRDYE	Êğàñêà äëÿ âîëîñ
CATEGORY_SKILL	Íàâûêè
CATEGORY_SKILL_BOOK_OF_OBLIVION	Êíèãè çàáâåíèÿ
CATEGORY_SKILL_ETC	Ïğî÷åå
CATEGORY_SKILL_HORSE_SKILL_BOOK	Êíèãà íàâûêîâ êîíÿ
CATEGORY_SKILL_PAHAE	Êîíòğàòàêà | Óñèëåíèå
CATEGORY_SKILL_SKILL_BOOK	Êíèãè íàâûêîâ
CATEGORY_SORT_LOWEST_ALL_PRICE	Ìèí. öåíà (çà âñ¸)
CATEGORY_SORT_LOWEST_COUNT	Êîë-âî (ïî âîçğàñòàíèş)
CATEGORY_SORT_LOWEST_PER_PRICE	Ìèí. öåíà (çà åä.)
CATEGORY_SORT_MAXIMUN_ALL_PRICE	Ìàêñ. öåíà (çà âñ¸)
CATEGORY_SORT_MAXIMUN_COUNT	Êîë-âî (ïî óáûâàíèş)
CATEGORY_SORT_MAXIMUN_PER_PRICE	Ìàêñ. öåíà (çà åä.)
CATEGORY_SORT_RECENT	Íîâèíêè
CATEGORY_TUNING	Óëó÷øåíèÿ
CATEGORY_TUNING_ALCHEMY	Ïîâûñüòå øàíñû íà óñïåõ
CATEGORY_TUNING_ETC	Ïğî÷åå
CATEGORY_TUNING_RESOURCE	Ìàòåğèàëû
CATEGORY_TUNING_STONE	Êàìíè äóõîâ
CATEGORY_UNIQUE	Îñîáûå ïğåäìåòû
CATEGORY_UNIQUE_ABILITY	Ğàñõîäíûå ìàòåğèàëû
CATEGORY_UNIQUE_ETC	Ïğî÷åå
CATEGORY_WEAPON_WEAPON_ARROW	Ñòğåëû
CATEGORY_WEAPON_WEAPON_BELL	Êîëîêîëü÷èêè
CATEGORY_WEAPON_WEAPON_BOW	Ëóêè
CATEGORY_WEAPON_WEAPON_CLAW	Êîãòè
CATEGORY_WEAPON_WEAPON_DAGGER	Êèíæàëû
CATEGORY_WEAPON_WEAPON_FAN	Âååğà
CATEGORY_WEAPON_WEAPON_MOUNT_SPEAR	Êîïüÿ
CATEGORY_WEAPON_WEAPON_QUIVER	Êîë÷àíû
CATEGORY_WEAPON_WEAPON_SWORD	Îäíîğó÷íûå îğóæèÿ
CATEGORY_WEAPON_WEAPON_TWO_HANDED	Äâóğó÷íûå îğóæèÿ
CHANGE_ALREADY_REGISTER	[Îòîáğàæåíèå] İòîò ïğåäìåò óæå çàğåãèñòğèğîâàí.
CHANGE_LOOK_CHANGE_ITEM	Õîòèòå ïğèìåíèòü Îòîáğàæåíèå äëÿ ïğåäìåòà?
CHANGE_LOOK_CHECK_OUT_REGISTER_ITEM	[Îòîáğàæåíèå] Ñíà÷àëà óáåğèòå ïğåäìåò, äëÿ êîòîğîãî ñëåäóåò ïğèìåíèòü Îòîáğàæåíèå.
CHANGE_LOOK_COST	Öåíà çà Îòîáğàæåíèå: %s ÿíã
CHANGE_LOOK_DEL_ITEM	Èñïîëüçîâàííûé ïğåäìåò ïğîïàäàåò.
CHANGE_LOOK_DO_NOT_CHANGE_LOOK_ITEM	[Îòîáğàæåíèå] Íà ïğåäìåò íåëüçÿ ïğèìåíèòü Îòîáğàæåíèå.
CHANGE_LOOK_DO_NOT_EQUIP_ITEM	[Îòîáğàæåíèå] Íåëüçÿ ïğèìåíÿòü Îòîáğàæåíèå íà ñíàğÿæåííûé ïğåäìåò.
CHANGE_LOOK_DO_NOT_REGISTER_ITEM	[Îòîáğàæåíèå] Ïğåäìåò íåëüçÿ çàğåãèñòğèğîâàòü.
CHANGE_LOOK_DO_NOT_SEAL_ITEM	[Îòîáğàæåíèå] Ïğåäìåò çà÷àğîâàí îêîâàìè äóøè.
CHANGE_LOOK_INSERT_CHANGE_LOOK_ITEM	[Îòîáğàæåíèå] Çàğåãèñòğèğóéòå ïğåäìåò, äëÿ êîòîğîãî õîòèòå ïğèìåíèòü Îòîáğàæåíèå.
CHANGE_LOOK_INSERT_ITEM	[Îòîáğàæåíèå] Ñíà÷àëà íóæíî çàğåãèñòğèğîâàòü ïğåäìåò.
CHANGE_LOOK_NEED_MONEY	Ó âàñ íå õâàòàåò ëèáî ÿíã, ëèáî ïğåäìåòîâ.
CHANGE_LOOK_OPEN_OTHER_WINDOW	[Îòîáğàæåíèå] Íåâîçìîæíî âûïîëíèòü äåéñòâèå ïğè îòêğûòîì îêíå «Îòîáğàæåíèå».
CHANGE_LOOK_TITLE	Îòîáğàæåíèå
CHANGE_LOOK_TITLE2	Ïğåîáğàæåíèå åçäîâîãî æèâîòíîãî
CHANGE_PET_PLEASE_APPEND_FIRST	Ñíà÷àëà íóæíî âûáğàòü ïèòîìöà.
CHANGE_TOOLTIP2_LINE1	Ïğèëîæèòå ñëåâà öåëåâîé ïğåäìåò, à ñïğàâà ìàòåğèàë.
