ACCE_ABSORB_COST	Costuri combinaşie: %d
AURA_IMPOSSIBLE_EVOLUTION_ITEMCOUNT	[Aura] Numãrul de obiecte nu este suficient pentru evoluare.
AURA_IMPOSSIBLE_GROWTHITEM	[Aura] Nu poate fi îmbunãtãşit.
AURA_IMPOSSIBLE_REFINEITEM	[Aura] Doar un Costum Aura, Colier, Cercel sau Banderolã pot fi folosite.
AURA_IMPOSSIBLE_SEALITEM	[Aura] Obiectele personalizate nu pot fi transmise.
AURA_ITEM_NEED_REGISTER	[Aura] Obiectul trebuie inserat.
AURA_LEVEL_STEP	Nivel %d (Stagiu %d)
AURA_MAX_LEVEL	[Aura] Costumul Aura a ajuns la nivelul maxim.
AURA_NOTICE_DEL_ABSORDITEM	[Aura] Obiectul transmis va fi distrus.
AURA_OPEN_OTHER_WINDOW	Nu poşi face asta în timp ce este deschisã o ferestrã pentru îmbunãtãşire, evoluşie sau transfer de statusuri.
AURA_POSSIBLE_AURAITEM	[Aura] Doar Costum Aura poate fi folosit.
AURA_POSSIBLE_REGISTER_AURAITEM	[Aura] Costum Aura trebuie inserat mai întâi.
AURA_TITLE_ABSORB	Transmite valorile în Costum Aura.
AURA_TITLE_EVOLUTION	Evoluşie Costum Aura
AURA_TITLE_GROWTH	Îmbunãtãşire Costum Aura
AURA_TOOLTIP_EXP	EXP (%d%% / 100%%)
AURA_TOOLTIP_LEVEL	Nivel %d (Stagiu %d) (Ratã de absorbşie %.1f%%)
AURA_TOOLTIP_NEED_YANG	%s Yang
AURA_TOOLTIP_NEXT	Nou
AURA_TOOLTIP_NOW	Actual
AURA_TOOLTIP_RESOURCE	Consumabile
AURA_TOOLTIP_RESOURCE_ITEM	%s * %d
AUTO_HUNTING_MSG_CANNOT_CHANGE_NON_WEAPON	Nu poşi echipa obiectul când Auto-Atac este activat.
AUTO_HUNTING_MSG_CANNOT_START_WITHOUT_WEAPON	Nu poşi activa Auto-Atac în timp ce acest obiect este echipat.
AUTO_HUNTING_OPTION_BOSS	ªef
AUTO_HUNTING_OPTION_KING	Nivelul 5
AUTO_HUNTING_OPTION_KNIGHT	Nivel 3
AUTO_HUNTING_OPTION_PAWN	Nivel 1
AUTO_HUNTING_OPTION_STONE	Piatrã Metin
AUTO_HUNTING_OPTION_S_KNIGHT	Nivel 4
AUTO_HUNTING_OPTION_S_PAWN	Nivel 2
AUTO_TOOLTIP_CLEAR	Reseteazã
AUTO_TOOLTIP_LINE1	Abilitãşi: Alege abilitãşile de lupta ºi trage-le în locurile libere. (Premium)
AUTO_TOOLTIP_LINE2	Indiciu: Poşi schimba intervalul de activare (în secunde) sub fiecare abilitate.
AUTO_TOOLTIP_LINE3	Licori: Alege licorile pentru luptã ºi trage-le în locurile libere. (Premium)
AUTO_TOOLTIP_LINE4	Indiciu: Licorile de PV si PM se vor activa de îndatã ce nivelul scade sub valoarea % arãtatã la fiecare licoare.
AUTO_TOOLTIP_LINE5	Notã: utilizarea automatã a abilitãşilor, licorilor ºi învierii poate fi activatã în magazinul de obiecte.
AUTO_TOOLTIP_LINE6	5. Licorile ºi obiectele care sunt selectate vor fi consumate automat dupã expirarea beneficiului fãrã a se afiºa durata rãmasã.
AUTO_TOOLTIP_LINE7	6. Folosirea sãgeşii de lângã Atac permite determinarea puterii monºtrilor pe care îi ataci (+/- niveluri faşã de nivelul tãu).
AUTO_TOOLTIP_LINE8	7. Folosirea sãgeşii de lângã Focus permite determinarea razei de atac a monºtrilor.
AUTO_TOOLTIP_TITLE	Ajutor Atac-Automat
BATTLE_MAP_NAME_AREA_1	Zona 1
BATTLE_MAP_NAME_AREA_2	Zona 2
BATTLE_MAP_NAME_AREA_3	Zona 3
BATTLE_MAP_NAME_AREA_4	Zona 4
BATTLE_MAP_NAME_AREA_5	Zona 5
BATTLE_MAP_NAME_AREA_6	Zona 6
BATTLE_MAP_NAME_AREA_7	Zona 7
BATTLE_MAP_NAME_AREA_8	Zona 8
BATTLE_MAP_NAME_AREA_9	Zona 9
BATTLE_POINT	Puncte de Luptã
BATTLE_ROYALE_ALIVE_COUNT	Supravieşuitori: %d
BATTLE_ROYALE_APPLICATION_TITLE	Bãtãlia Roialã
BATTLE_ROYALE_CANNOT_OPEN_MALL	Nu poşi deschide asta aici.
BATTLE_ROYALE_KILL_COUNT	Adversarii învinºi: %d
BATTLE_ROYALE_MAINBUTTON_APPLICATION	Participã
BATTLE_ROYALE_MAINBUTTON_CANCEL	Anuleazã
BATTLE_ROYALE_MAINBUTTON_EXIT	Pãrãseºte
BATTLE_ROYALE_MAINBUTTON_STARTABLE	Start
BATTLE_ROYALE_NOTIFY_APPLICATED	Te-ai înregistrat la Bãtãlia Roialã. Poşi intra de îndatã ce s-au înscris suficienşi participanşi.
BATTLE_ROYALE_NOTIFY_ENTRY_CLOSED	Înregistrarea pentru Bãtãlia Roialã a fost închisã.
BATTLE_ROYALE_NOTIFY_STARTABLE	Acum poşi intra în Bãtãlia Roialã. Apasã pe butonul evenimentului pentru a participa.
BATTLE_ROYALE_NOTIFY_WINNER	Ai câºtigat.
BATTLE_ROYALE_PERSONAL_RANK	Rang Personal: %d
BATTLE_ROYALE_QUESTION_USE_INFINITE_STAMINA	Doreºti sã foloseºti Rezistenşã Infinitã?
BATTLE_ROYALE_WHO_KILLED	Jucãtori care te-au omorât: %s
BATTLE_ROYALE_WINNER_1	Ai câºtigat Bãtãlia Roialã!
BATTLE_ROYALE_WINNER_2	Vei fi teleportat în sat în curând.
BEAD	Animasferã
BEAD_TIME_REMAINING_TO_GET	Animasferã încãrcatã în: %d min.
BELT_RENEWAL_BANN_SIGN	Nu se poate continua.
BELT_RENEWAL_INVENTORY_FULL	Nu este destul loc în inventar.
BNW_COIN	Monedã Profet
BUTTON_TOOLTIP_GUILD_SHOP	Magazin Medalia Vitejiei
BUY_LIMIT_LEVEL	Limitã cumpãrare: %s
CANNOT_ATTACK_DEST_IN_SAFE	Inamicul e prea departe.
CANNOT_ATTACK_SELF_IN_SAFE	Nu pot ataca.
CANNOT_DOING_PRIVATE_SHOP_OPEN	Nu poşi face altceva dacã ai deschis un magazin privat.
CANNOT_EQUIP_IN_EXCHANGE	Nu poşi schimba echipamentul când negociezi.
CANNOT_EQUIP_IN_SHOP	Nu poşi schimba echipamentul când negociezi.
CANNOT_FISHING_RIDE_MOUNT	Nu poşi pescui în timp ce cãlãreºti.
CANNOT_FISHING_WHILE_POLY	Nu poşi pescui în timp ce eºti transformat.
CANNOT_ILLUSTRATIONPAGE_WARP	Nu poşi folosi Card Monstru de teleportare aici.
CANNOT_MOVE_DRAGON_SOUL_WHILE_ATTACK	Nu poşi face asta în timp ce te miºti.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	Nu poşi deschide magazinul într-un spaşiu public.
CANNOT_POLY_STATUS	Nu poşi sã te transformi momentan.
CANNOT_PVP_MAP_MESSAGE	Nu poşi face asta în aceastã zonã.
CANNOT_SHOOT_DEST_IN_SAFE	Inamicul e prea departe.
CANNOT_SHOOT_EMPTY_ARROW	Am nevoie de o sãgeatã.
CANNOT_SHOOT_SELF_IN_SAFE	Nu pot face asta.
CANNOT_SKILL_APPROACH	Sunt sigur ca nu ma pot apropia mai mult de atat.
CANNOT_SKILL_ATTACK	Nu pot ataca.
CANNOT_SKILL_BLUE	Nu poşi folosi Sufletul Lupului Indigo atunci când este activ Sufletul Lupului Roºu.
CANNOT_SKILL_DEST_IN_SAFE	Inamicul e prea departe.
CANNOT_SKILL_EQUIP_FISHING_ROD	Nu poşi pescui fãrã sã ai echipatã o undişã.
CANNOT_SKILL_HAVE_TO_RIDE	Am nevoie de un cal pentru a folosi asta.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	Nu am nicio sticlã goalã.
CANNOT_SKILL_NEED_POISON_BOTTLE	Nu am nicio sticlã cu otravã.
CANNOT_SKILL_NEED_TARGET	Care este şinta?
CANNOT_SKILL_NOT_ENOUGH_HP	Nu am destule PV!
CANNOT_SKILL_NOT_ENOUGH_SP	Nu am destule PM!
CANNOT_SKILL_NOT_HORSE_SKILL	Nu pot folosi asta în timp ce cãlãresc.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	Aceasta abilitate nu o pot folosi la aceasta arma.
CANNOT_SKILL_NOT_STANDING_HORSE_SKILL	Nu poşi folosi aceastã abilitate pe acest mount.
CANNOT_SKILL_NOT_YET_LEARN	Nu am învatat aceasta abilitate.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	Are efect doar asupra membrilor grupului.
CANNOT_SKILL_ONLY_FOR_CORPSE	Are efect doar asupra morşilor.
CANNOT_SKILL_RED	Nu poşi folosi Sufletul Lupului Roºu atunci când este activ Sufletul Lupului Indigo.
CANNOT_SKILL_REMOVE_FISHING_ROD	Nu pot folosi aceasta abilitate cu o undita.
CANNOT_SKILL_SELF_IN_SAFE	De aici nu pot ataca.
CANNOT_SKILL_USE_SELF	Nu pot folosi asta asupra mea.
CANNOT_SKILL_WAIT_COOLTIME	Nu pot folosi inca aceasta abilitate.
CANNOT_UNEQUIP_IN_BATTLE	Trebuie sã stai pe loc pentru a dezechipa obiectul.
CANNOT_USE	Nu poti folosi asta.
CANNOT_USE_SUTRA_TO_GOOD_ALIGNMENT	Nu poşi folosi Boabã Zen deoarece rangul tãu negativ nu poate fi redus mai mult.
CANNOT_WHISPER_BLOCKED_TARGET	Mai întâi trebuie sã eliminat %s din lista de blocare.	SA
CANNOT_WHISPER_DEST_REFUSE	%s a blocat complet ºoptitul.	SA
CANNOT_WHISPER_NOT_LOGON	%s nu e online.	SA
CANNOT_WHISPER_SELF_REFUSE	Nu poşi ºopti cuiva ceva dacã ºoptitul e complet blocat.	SNA
CANNOT_WHISPER_TARGET_BLOCKED_ME	%s te-a blocat.	SA
CANT_ATTACH_DUPLICATED_METIN_STONE	Nu poşi ataºa mai multe pietre spirit de acelaºi tip.
CANT_USE_MESSAGE_WHEN_EQUIP	Nu poşi folosi asta pe un obiect echipat.
CATCHKING_EVENT_MESSAGE_CARD_GAIN	Primeºti Pachete Rege.
CATCHKING_EVENT_MESSAGE_CARD_PEICE_GAIN	Primeºti Cãrşi Rege.
CATCHKING_EVENT_MESSAGE_NOT_ENOUGHT_ITEM	Nu ai suficiente obiecte sau bani pentru a juca.
CATCHKING_EVENT_MESSAGE_NO_MORE_GAIN	Nu mai poşi primi Pachete Rege.
CATEGORY_ARMOR_ARMOR_BODY	Armurã
CATEGORY_ARMOR_ARMOR_GLOVE	Mãnuºi
CATEGORY_ARMOR_ARMOR_HEAD	Coifuri
CATEGORY_ARMOR_ARMOR_SHIELD	Scuturi
CATEGORY_COSTUMES	Costume
CATEGORY_COSTUMES_AURA	Costume Aurã
CATEGORY_COSTUMES_COSTUME_BODY	Costume
CATEGORY_COSTUMES_COSTUME_HAIR	Frizuri
CATEGORY_COSTUMES_COSTUME_WEAPON	Accesorii Arme
CATEGORY_COSTUMES_ETC	Altele
CATEGORY_COSTUMES_SASH	Eºarfe
CATEGORY_DRAGON_STONE	Alchimia Piatrã Dragon
CATEGORY_DRAGON_STONE_DEMON	Ametist
CATEGORY_DRAGON_STONE_DRAGON_DIAMOND	Diamante
CATEGORY_DRAGON_STONE_DRAGON_GARNET	Granat
CATEGORY_DRAGON_STONE_DRAGON_JADE	Jad
CATEGORY_DRAGON_STONE_DRAGON_ONYX	Onyx
CATEGORY_DRAGON_STONE_DRAGON_RUBY	Rubine
CATEGORY_DRAGON_STONE_DRAGON_SAPPHIRE	Safir
CATEGORY_DRAGON_STONE_ETC	Altele
CATEGORY_EQUIPMENT_ARMOR	Echipament
CATEGORY_EQUIPMENT_JEWELRY	Bijuterii
CATEGORY_EQUIPMENT_WEAPON	Arme
CATEGORY_ETC	Altele
CATEGORY_ETC_ALL	Toşi
CATEGORY_ETC_ETC	Altele
CATEGORY_ETC_EVENT	Obiecte Eveniment
CATEGORY_ETC_GIFTBOX	Cufere | Cutii
CATEGORY_ETC_MATRIMORY	Mariaj
CATEGORY_ETC_PARTI	Cartea Arta Rãzboiului
CATEGORY_ETC_POLYMORPH	Marmurã Transformare
CATEGORY_ETC_RECIPE	Producşie Licori
CATEGORY_ETC_SEAL	Personalizate
CATEGORY_FISHING_PICK	Pescuit | Minerit
CATEGORY_FISHING_PICK_EQUIPMENT_PICK	Târnãcoape
CATEGORY_FISHING_PICK_ETC	Altele
CATEGORY_FISHING_PICK_FISHING_POLE	Momealã de Pescuit
CATEGORY_FISHING_PICK_FOOD	Peºte
CATEGORY_FISHING_PICK_PICK_BOOK	Ghid de Minat
CATEGORY_FISHING_PICK_STONE	Minereuri
CATEGORY_JEWELRY_ARMOR_EAR	Cercei
CATEGORY_JEWELRY_ARMOR_FOOTS	Pantofi
CATEGORY_JEWELRY_ARMOR_NECK	Coliere
CATEGORY_JEWELRY_ARMOR_PENDANT	Talisman
CATEGORY_JEWELRY_ARMOR_WRIST	Brãşãri
CATEGORY_JEWELRY_ITEM_BELT	Curele
CATEGORY_MOUNT_PET	Mounti | Însoşitori
CATEGORY_MOUNT_PET_CHARGED_PET	Însoşitori
CATEGORY_MOUNT_PET_EGG	Ouã Însoşitori
CATEGORY_MOUNT_PET_FREE_PET	Însoşitori Avansaşi
CATEGORY_MOUNT_PET_MOUNT	Mounşi
CATEGORY_POTION	Licori
CATEGORY_POTION_ABILITY	Consumabile
CATEGORY_POTION_ETC	Altele
CATEGORY_POTION_HAIRDYE	Vopsele de Pãr
CATEGORY_SKILL	Abilitãşi
CATEGORY_SKILL_BOOK_OF_OBLIVION	Cartea Uitãrii
CATEGORY_SKILL_ETC	Altele
CATEGORY_SKILL_HORSE_SKILL_BOOK	Carte Abilitãşi Cal
CATEGORY_SKILL_PAHAE	Respingere | Ajutor
CATEGORY_SKILL_SKILL_BOOK	Cãrşi Abilitãşi
CATEGORY_SORT_LOWEST_ALL_PRICE	Cel mai mic preş total
CATEGORY_SORT_LOWEST_COUNT	Sumã (de la mic la mare)
CATEGORY_SORT_LOWEST_PER_PRICE	Cel mai mic preş unitar
CATEGORY_SORT_MAXIMUN_ALL_PRICE	Cel mai mare preş total
CATEGORY_SORT_MAXIMUN_COUNT	Sumã (de la mare la mic)
CATEGORY_SORT_MAXIMUN_PER_PRICE	Cel mai mare preş unitar
CATEGORY_SORT_RECENT	Cel mai nou
CATEGORY_TUNING	Îmbunãtãşiri
CATEGORY_TUNING_ALCHEMY	Creºte ªansele
CATEGORY_TUNING_ETC	Altele
CATEGORY_TUNING_RESOURCE	Materiale
CATEGORY_TUNING_STONE	Pietrele Spiritului
CATEGORY_UNIQUE	Obiecte Speciale
CATEGORY_UNIQUE_ABILITY	Consumabile
CATEGORY_UNIQUE_ETC	Altele
CATEGORY_WEAPON_WEAPON_ARROW	Sãgeşi
CATEGORY_WEAPON_WEAPON_BELL	Clopote
CATEGORY_WEAPON_WEAPON_BOW	Arcuri
CATEGORY_WEAPON_WEAPON_CLAW	Gheare
CATEGORY_WEAPON_WEAPON_DAGGER	Cuşite
CATEGORY_WEAPON_WEAPON_FAN	Evantaie
CATEGORY_WEAPON_WEAPON_MOUNT_SPEAR	Sulişe
CATEGORY_WEAPON_WEAPON_QUIVER	Tolbã
CATEGORY_WEAPON_WEAPON_SWORD	Arme O Mânã
CATEGORY_WEAPON_WEAPON_TWO_HANDED	Arme Douã Mâini
CHANGE_ALREADY_REGISTER	[Transformare] Acest obiect a fost deja trimis.
CHANGE_LOOK_CHANGE_ITEM	Vrei sã transformi acest obiect?
CHANGE_LOOK_CHECK_OUT_REGISTER_ITEM	[Transformare] Întai trebuie sa scoşi obiectul dorit pentru transformare.
CHANGE_LOOK_COST	Costuri de transformare: %s Yang
CHANGE_LOOK_DEL_ITEM	Obiectul absorbit se va ºterge.
CHANGE_LOOK_DO_NOT_CHANGE_LOOK_ITEM	[Transformare] Acest obiect nu poate fi transformat.
CHANGE_LOOK_DO_NOT_EQUIP_ITEM	[Transformare] Nu poşi transforma un obiect în timp ce este echipat.
CHANGE_LOOK_DO_NOT_REGISTER_ITEM	[Transformare] Nu poşi trimite acest obiect.
CHANGE_LOOK_DO_NOT_SEAL_ITEM	[Transformare] Acest obiect este personaliat.
CHANGE_LOOK_INSERT_CHANGE_LOOK_ITEM	[Transformare] Trimite obiectul ce doreºti sã îl transformi.
CHANGE_LOOK_INSERT_ITEM	[Transformare] Trebuie sã trimişi obiectul mai întâi.
CHANGE_LOOK_NEED_MONEY	Obiecte sau Yang insuficiente.
CHANGE_LOOK_OPEN_OTHER_WINDOW	[Transformare] Aceastã acşiune nu este posibilã în timp ce fereastra de Transformare este deschisã.
CHANGE_LOOK_TITLE	Transformare
CHANGE_LOOK_TITLE2	Transformare Mount
CHANGE_PET_PLEASE_APPEND_FIRST	Mai întâi trebuie selectat însoşitorul.
CHANGE_TOOLTIP2_LINE1	Adaugã obiectul şintã în stânga ºi materialul în dreapta.
CHANGE_TOOLTIP2_LINE2	Apasã pe cãsuşã pentru a utiliza Yang sau un Token Transformare ºi modificã aspectul mountului.
CHANGE_TOOLTIP2_LINE3	Folosind un Token Transformare schimbi înfãşiºarea mountului fãrã sã te coste Yang (se va consuma Tokenul).
CHANGE_TOOLTIP2_LINE4	Dacã schimbi aspectul unui mount cu duratã de timp, durata va ramane neschimbatã.
CHANGE_TOOLTIP2_LINE5	Dacã mountul este permanent, iar materialul are o duratã, mountul va menşine aspectul schimbat pe toatã durata materialului.
CHANGE_TOOLTIP_LINE1	Pune în stânga obiectul ce doreºti sã îl transformi.
CHANGE_TOOLTIP_LINE2	Pune celãlalt obiect în dreapta.
CHANGE_TOOLTIP_LINE3	Aspectul obiectului din stânga se va schimba.
CHANGE_TOOLTIP_LINE4	imediat ce confirmi transformarea (V) ºi plãteºti Yangul.
CHANGE_TOOLTIP_LINE5	Acest obiect permite
CHANGE_TOOLTIP_LINE6	sã transformi un obiect fãrã a cheltui Yang.
CHANGE_TOOLTIP_TITLE	Transformare
CHANNEL	Canal
CHANNELING_CANNOT_LOGOUT	Nu poşi reveni la ecranul de login.
CHANNEL_EMPTY_SERVER	Niciun server
CHANNEL_NORMAL	Canal %d
CHANNEL_NOTIFY_FULL	Acest canal este plin! Alege te rog altul.
CHANNEL_NOT_FIND_INFO	Nicio informaşie gãsitã via Canal.
CHANNEL_PVP	Duel liber
CHANNEL_SELECT_CHANNEL	Alege canalul
CHANNEL_SELECT_REGION	Selecteazã regiunea.
CHANNEL_SELECT_SERVER	Alege serverul
CHANNEL_STATUS_BUSY	Ocupat
CHANNEL_STATUS_FULL	Plin
CHANNEL_STATUS_OFFLINE	Necunoscut
CHANNEL_STATUS_RECOMMENDED	Recomandat
CHANNEL_STATUS_VACANT	Scãzut
CHANNEL_TEST_SERVER	Testeazã serverul
CHANNEL_TEST_SERVER_ADDR	Test %s:%d
CHARACTER_CREATE_MODE	Creaza caracter
CHARACTER_NAME	Nume
CHARACTER_SELECT_MODE	Alege caracter
CHARGE_BEAD_QUESTION	Animasfere necesare: %d. Doreºti sã continui?
CHATTING_SETTING_ADD	Adauga filã.
CHATTING_SETTING_ADD_MAX	Nu mai poşi adãuga.
CHATTING_SETTING_CHANGE_TITLE_NAME	Doreºti sã salvezi numele pentru acest chat?
CHATTING_SETTING_CHANGE_TITLE_NOT	Numele chatului general nu poate fi schimbat.
CHATTING_SETTING_CLEAR_QUESTION	Resetezi?
CHATTING_SETTING_DEL	ªterge câmp
CHATTING_SETTING_LANGUAGE_OFF	Nu
CHATTING_SETTING_LANGUAGE_ON	Da
CHATTING_SETTING_QUESTION_DESC_1	1. Seteazã un mesaj pentru EXP câºtigat din uciderea monºtrilor sau pierderea EXP.
CHATTING_SETTING_QUESTION_DESC_2	2. Seteazã un mesaj pentru prada sau Yang-ul obşinut.
CHATTING_SETTING_RETURN	Reseteazã câmpuri.
CHATTING_SETTING_SETTING	Setãri
CHAT_ALL	Toşi
CHAT_BLOCK	Blocheazã
CHAT_DICE_INFO	Aruncã
CHAT_GUILD	Breaslã
CHAT_INFORMATION	Info
CHAT_INSULT_STRING	Propozişia conşine cuvinte nepermise.
CHAT_LOG	Aratã mesaje vechi [L]
CHAT_LOG_TITLE	Log Chat
CHAT_MESSAGE_CLIENT_VERSION_NOT_MATCH	Ai fost deconectat deoarece versiunea clientului tãu nu corespunde. Te rugãm sã îşi actualizezi versiunea ºi sã te conectezi din nou.
CHAT_NORMAL	Normal
CHAT_NOTICE	Server
CHAT_PARTY	Grup
CHAT_SEND_CHAT	Trimite mesaj
CHAT_SEND_MEMO	Trimite ºoaptã [Shift+Enter]
CHAT_SHOUT	Strigã
CHAT_SHOUT_LIMIT	Poşi striga doar o datã la 15 secunde.
CHAT_WHISPER	ªoaptã
CHEQUE_SYSTEM_DO_NOT_DROP_MONEY	Nu poşi arunca bani.
CHEQUE_SYSTEM_PICK_WON	Ai primit %s Won.
CHEQUE_SYSTEM_SELL_PRICE	[Preş de vânzare]
CHEQUE_SYSTEM_UNIT_WON	Won
CHEQUE_SYSTEM_UNIT_YANG	Yang
CHEQUE_SYSTEM_WON	%s Won
CHEQUE_SYSTEM_YANG	%s Yang
CHEQUE_USE_WON	%s Won a fost dedus.
CLEAR_FLOOR	Nivel
CLEAR_TIME	Timp
CLICK_BEAD_DESCRIPTION	Animasferele sunt necesare pentru a obşine intrarea în Templul Zodiacului. Mergi la Teleporterul din sat pentru a face acest lucru.
ClosePetChangeWndButton	Închis
COMB_ACCE_IS_CONTINUE_PROCESS	Doreºti sã continui?
COMB_ACCE_WARNING_MESSAGE	Sursa va fi distrusã la succesul complet sau parşial. Transferul poate eºua. Rata de absorbşie a obiectului şintã va fi redusã la succesul parşial sau eºec.
COMB_ACCE_WARNING_MESSAGE1	Sursa va fi distrusã la succesul complet sau parşial.
COMB_ACCE_WARNING_MESSAGE2	Transferul poate eºua.
COMB_ACCE_WARNING_MESSAGE3	Rata de absorbşie a obiectului şintã va fi redusã la succesul parşial sau eºec.
COMB_ACCE_WILL_REMOVE_MATERIAL	Sursa va fi distrusã la succesul complet sau parşial.
COMB_ALREADY_APPEND	Acest obiect a fost deja ales.
COMB_CANT_APPEND_ITEM	Acest articol nu poate fi folosit.
COMB_CANT_APPEND_SEALED_ITEM	Nu poti folosi niciun obiect personalizat.
COMB_CANT_BASE_ITEM	O eºarfã care are deja un bonus nu poate fi folositã ca şintã.
COMB_CANT_MATCH_DRAINRATE	Rata de absorbşie a ambelor obiecte trebuie sã fie identicã pentru un transfer de bonus.
COMB_CANT_MATCH_GRADE	Gradul ambelor obiecte trebuie sã fie identic pentru un transfer de bonus.
COMB_CANT_MATERIAL_ITEM	Obiectul sursã trebuie sã aibã un bonus.
COMB_COST	Pret: %s
COMB_IS_CONTINUE_PROCESS	Vrei sa continui?
COMB_NOTICE	Nu poti deschide un magazin privat in timp ce faci negot de carti.
COMB_NOTICE_NOT_OPEN	Nu poti face negot de carti daca ai un magazin privat deschis.
COMB_NOT_ALL_SLOT_APPEND_ITEM	Aveşi nevoie de un obiect sursã ºi unul şintã plus obiectul de transfer pentru a transfera bonusuri.
COMB_NOT_FULL_BOOK	Nu, nu putem face afaceri in acest fel. Ti-am spus deja ca fac negot cu tine doar daca imi oferi 10 carti la schimb.
COMB_NOT_ITEM_IN_INVENTORY	Nu poti folosi obiectele echipate.
COMB_NOT_MEDIUM_ITEM	Acest articol nu poate fi folosit.
COMB_WILL_REMOVE_MATERIAL	Obiectul sursã va fi distrus în transferul cu succes.
COMMUNITY_ADD_BLOCK	%s a fost blocat.
COMMUNITY_ADD_FRIEND	%s a fost adãugat la lista ta de prieteni.
COMMUNITY_ALREADY_BLOCKED	Deja blocat.
COMMUNITY_ALREADY_FRIEND	Sunteşi deja prieteni.
COMMUNITY_ALREADY_REQUESTED_BEFORE	Ai trimis deja o cerere de prietenie.
COMMUNITY_BLOCKED_ALREADY	%s este deja blocat.
COMMUNITY_BLOCKED_EXCHANGE	Negoş
COMMUNITY_BLOCKED_FRIEND_REQUEST	Cerere de Prietenie
COMMUNITY_BLOCKED_FUNCTION	Blocat:
COMMUNITY_BLOCKED_GUILD_INVITE	Invitaşie Breaslã
COMMUNITY_BLOCKED_PARTY_INVITE	Invitaşie în Grup
COMMUNITY_BLOCKED_PARTY_JOIN	Alãturare Grup
COMMUNITY_BLOCKED_PARTY_WHISPER	ªoaptã
COMMUNITY_CANT_ACTION_TIMER	Te rugãm, încearcã mai târziu.
COMMUNITY_CANT_ADD_BLOCK_ANYMORE	Nu mai poşi bloca alşi jucãtori (max. %d).
COMMUNITY_CANT_ADD_FRIEND_ANYMORE	Nu mai poşi avea alşi prieteni (max. %d).
COMMUNITY_CANT_ADD_FRIEND_SELF	Nu poşi sã te împrieteneºti cu tine însuşi.
COMMUNITY_CANT_ADD_GM	Nu poşi adãuga GM la prieteni.
COMMUNITY_CANT_BLOCK_FAMILY	Nu îşi poşi bloca partenerul.
